,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,34.121984,P05804,Beta-glucuronidase,Escherichia coli (strain K12) OX=83333,1.0,MNXR195279,MNXR119265_0.26947294258279425_0.23856464202869201|MNXR132792_0.38331337189521764_0.11250509876646136,3.2.1.31,1.0,0.0,0.35515,0.349290,-1,0.352218,29.5,26.6,22.3,24.4,68447.00,5.1217,45.605,CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)N(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)C3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O>>CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)NC3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
2,18.121984,T2KN75,Beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR195279,MNXR119265_0.26947294258279425_0.23856464202869201|MNXR132792_0.38331337189521764_0.11250509876646136,3.2.1.31,1.0,0.0,0.35515,0.349290,-1,0.352218,29.2,22.9,24.5,25.1,111684.03,5.7343,49.337,CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)N(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)C3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O>>CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)NC3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
3,18.021984,T2KNA8,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR195279,MNXR119265_0.26947294258279425_0.23856464202869201|MNXR132792_0.38331337189521764_0.11250509876646136,3.2.1.31,2.0,0.0,0.35515,0.349290,-1,0.352218,38.1,22.1,18.3,22.8,130221.87,6.6613,46.518,CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)N(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)C3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O>>CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)NC3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
4,18.021984,T2KPJ7,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR195279,MNXR119265_0.26947294258279425_0.23856464202869201|MNXR132792_0.38331337189521764_0.11250509876646136,3.2.1.31,2.0,0.0,0.35515,0.349290,-1,0.352218,30.2,23.9,23.9,24.0,93897.06,6.6852,49.029,CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)N(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)C3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O>>CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)NC3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
5,18.021984,T2KM09,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR195279,MNXR119265_0.26947294258279425_0.23856464202869201|MNXR132792_0.38331337189521764_0.11250509876646136,3.2.1.31,2.0,0.0,0.35515,0.349290,-1,0.352218,25.0,23.2,24.7,28.7,117463.61,6.8255,48.066,CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)N(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)C3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O>>CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)NC3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
6,17.701803,O68282,Glucose-6-phosphate 1-dehydrogenase,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964,12.0,MNXR118956,-,1.1.1.363,1.0,0.0,0.14384,0.452196,1,0.298019,44.0,21.4,18.8,19.2,55620.46,5.6813,43.149,CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)N(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)C3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O>>CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)NC3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[*]O[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H]([n+]3cccc(C(N)=O)c3)[C@H](O)[C@@H]2O)O[C@H]1n1cnc2c(N)ncnc21>>O=C1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]1O.[*]O[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](N3C=CCC(C(N)=O)=C3)[C@H](O)[C@@H]2O)O[C@H]1n1cnc2c(N)ncnc21
7,17.635524,Q8P3J4,Cellobionic acid phosphorylase,Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25) OX=190485,12.0,MNXR172028,-,2.4.1.321,1.0,0.0,0.35887,0.235840,-1,0.297353,29.0,26.6,23.0,23.4,88422.62,5.9481,39.098,CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)N(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)C3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O>>CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)NC3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=P([O-])([O-])O.O=C[C@H](O)[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)C(=O)[O-].[H+]>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O.O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
8,17.601377,Q53TZ2,L-arabinose 1-dehydrogenase (NAD(P)(+)),Azospirillum brasilense OX=192,12.0,MNXR122474,-,1.1.1.376,1.0,0.0,0.14805,0.445978,-1,0.297013,46.1,20.8,19.1,19.5,33795.56,5.8856,39.159,CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)N(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)C3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O>>CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)NC3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=C1O[C@@H](CO)[C@H](O)[C@H]1O.[*]O[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](N3C=CCC(C(N)=O)=C3)[C@H](O)[C@@H]2O)O[C@H]1n1cnc2c(N)ncnc21>>OC[C@@H]1OC(O)[C@H](O)[C@H]1O.[*]O[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H]([n+]3cccc(C(N)=O)c3)[C@H](O)[C@@H]2O)O[C@H]1n1cnc2c(N)ncnc21
9,16.377303,P40288,Glucose 1-dehydrogenase,Priestia megaterium OX=1404 PE=1 SV=1,15.0,MNXR115918,MNXR175473_0.17735097274868517_0.4521960619076673,1.1.1.47,1.0,0.0,0.17735,0.452196,-1,0.314774,53.1,21.2,9.4,22.9,28085.02,4.7128,43.295,CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)N(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)C3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O>>CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)NC3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.[*]O[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](N3C=CCC(C(N)=O)=C3)[C@H](O)[C@@H]2O)O[C@H]1n1cnc2c(N)ncnc21>>OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[*]O[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H]([n+]3cccc(C(N)=O)c3)[C@H](O)[C@@H]2O)O[C@H]1n1cnc2c(N)ncnc21
10,16.377303,P39485,Glucose 1-dehydrogenase 4,Priestia megaterium OX=1404,15.0,MNXR115918,MNXR175473_0.17735097274868517_0.4521960619076673,1.1.1.47,1.0,0.0,0.17735,0.452196,-1,0.314774,47.8,25.3,9.0,24.5,28157.02,4.4839,41.762,CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)N(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)C3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O>>CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)NC3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.[*]O[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](N3C=CCC(C(N)=O)=C3)[C@H](O)[C@@H]2O)O[C@H]1n1cnc2c(N)ncnc21>>OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[*]O[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H]([n+]3cccc(C(N)=O)c3)[C@H](O)[C@@H]2O)O[C@H]1n1cnc2c(N)ncnc21
