,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,69.63437,P0A6F1,Carbamoyl-phosphate synthase small chain,Escherichia coli (strain K12) OX=83333,1,MNXR96485,-,6.3.4.16;6.3.5.5,1.0,0.0,0.67996,0.734727,-1,0.707342,44.5,20.5,13.9,25.4,41431.01,6.3442,44.764,*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(=O)[O-].NC(=O)CC[C@H]([NH3+])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H]>>*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(N)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-].O=C([O-])O>>O=P([O-])([O-])O.NC(=O)OP(=O)([O-])[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
2,67.43437,P63737,Carbamoyl-phosphate synthase large chain,Escherichia coli O157:H7 OX=83334,3,MNXR96485,-,6.3.4.16;6.3.5.5,3.0,0.0,0.67996,0.734727,-1,0.707342,54.0,20.6,10.8,16.1,117855.75,4.9844,43.989,*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(=O)[O-].NC(=O)CC[C@H]([NH3+])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H]>>*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(N)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-].O=C([O-])O>>O=P([O-])([O-])O.NC(=O)OP(=O)([O-])[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
3,67.43437,Q8FLB1,Carbamoyl-phosphate synthase small chain,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310,3,MNXR96485,-,6.3.4.16;6.3.5.5,3.0,0.0,0.67996,0.734727,-1,0.707342,42.3,21.6,14.5,26.0,41415.01,6.4546,44.503,*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(=O)[O-].NC(=O)CC[C@H]([NH3+])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H]>>*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(N)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-].O=C([O-])O>>O=P([O-])([O-])O.NC(=O)OP(=O)([O-])[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
4,62.43437,Q8Z9L8,Carbamoyl-phosphate synthase small chain,Salmonella typhi OX=90370,8,MNXR96485,-,6.3.4.16;6.3.5.5,3.0,0.0,0.67996,0.734727,-1,0.707342,42.1,23.5,15.8,23.0,41662.29,6.6141,46.073,*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(=O)[O-].NC(=O)CC[C@H]([NH3+])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H]>>*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(N)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-].O=C([O-])O>>O=P([O-])([O-])O.NC(=O)OP(=O)([O-])[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
5,61.43437,Q8ZIL4,Carbamoyl-phosphate synthase large chain,Yersinia pestis OX=632,9,MNXR96485,-,6.3.4.16;6.3.5.5,3.0,0.0,0.67996,0.734727,-1,0.707342,51.7,20.6,11.9,17.2,118244.25,4.9473,43.825,*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(=O)[O-].NC(=O)CC[C@H]([NH3+])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H]>>*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(N)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-].O=C([O-])O>>O=P([O-])([O-])O.NC(=O)OP(=O)([O-])[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
6,61.43437,Q8D3H7,Carbamoyl-phosphate synthase small chain,Wigglesworthia glossinidia brevipalpis OX=36870,9,MNXR96485,-,6.3.4.16;6.3.5.5,3.0,0.0,0.67996,0.734727,-1,0.707342,32.8,35.0,16.7,20.0,42469.69,10.2985,47.340,*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(=O)[O-].NC(=O)CC[C@H]([NH3+])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H]>>*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(N)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-].O=C([O-])O>>O=P([O-])([O-])O.NC(=O)OP(=O)([O-])[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
7,61.43437,P14845,Carbamoyl-phosphate synthase small chain,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287,9,MNXR96485,-,6.3.4.16;6.3.5.5,3.0,0.0,0.67996,0.734727,-1,0.707342,41.8,23.5,15.6,23.5,41651.26,6.4552,45.812,*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(=O)[O-].NC(=O)CC[C@H]([NH3+])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H]>>*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(N)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-].O=C([O-])O>>O=P([O-])([O-])O.NC(=O)OP(=O)([O-])[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
8,61.43437,Q8ZIL5,Carbamoyl-phosphate synthase small chain,Yersinia pestis OX=632,9,MNXR96485,-,6.3.4.16;6.3.5.5,3.0,0.0,0.67996,0.734727,-1,0.707342,39.5,25.6,16.0,23.2,42422.15,6.0757,44.501,*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(=O)[O-].NC(=O)CC[C@H]([NH3+])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H]>>*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(N)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-].O=C([O-])O>>O=P([O-])([O-])O.NC(=O)OP(=O)([O-])[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
9,60.43437,P57245,Carbamoyl-phosphate synthase small chain,Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) OX=107806,10,MNXR96485,-,6.3.4.16;6.3.5.5,3.0,0.0,0.67996,0.734727,-1,0.707342,22.1,36.9,21.6,23.7,43020.15,9.6164,49.354,*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(=O)[O-].NC(=O)CC[C@H]([NH3+])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H]>>*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(N)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-].O=C([O-])O>>O=P([O-])([O-])O.NC(=O)OP(=O)([O-])[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
10,60.43437,P59576,Carbamoyl-phosphate synthase small chain,Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp) OX=224915,10,MNXR96485,-,6.3.4.16;6.3.5.5,3.0,0.0,0.67996,0.734727,-1,0.707342,29.4,34.9,21.8,18.1,44773.88,10.2369,50.630,*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(=O)[O-].NC(=O)CC[C@H]([NH3+])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H]>>*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(N)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-].O=C([O-])O>>O=P([O-])([O-])O.NC(=O)OP(=O)([O-])[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
11,60.43437,P57244,Carbamoyl-phosphate synthase large chain,Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) OX=107806,10,MNXR96485,-,6.3.4.16;6.3.5.5,3.0,0.0,0.67996,0.734727,-1,0.707342,42.1,25.0,16.9,17.4,120516.15,8.0314,46.247,*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(=O)[O-].NC(=O)CC[C@H]([NH3+])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H]>>*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OC(=O)[C@@H]([NH3+])CCC(N)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-].O=C([O-])O>>O=P([O-])([O-])O.NC(=O)OP(=O)([O-])[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
