,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,35.797238,P05804,Beta-glucuronidase,Escherichia coli (strain K12) OX=83333,1.0,MNXR195279,MNXR119265_0.28279607893699826_0.3541144234381272,3.2.1.31,1.0,0.0,0.35620,0.381745,-1,0.368971,29.5,26.6,22.3,24.4,68447.00,5.1217,45.605,O.O=C(CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C([O-])CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
2,22.069564,P29768,Sialidase,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287,9.0,MNXR131875,-,3.2.1.18,1.0,0.0,0.10215,0.521241,1,0.311696,18.6,35.2,28.1,22.4,42073.10,8.5282,51.571,O.O=C(CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C([O-])CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O>>Cc1cc(=O)oc2cc(O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)ccc12
3,21.365721,B3PC73,Extracellular xylan exo-alpha-(1->2)-glucuronosidase,Cellvibrio japonicus (strain Ueda107) OX=498211,11.0,MNXR118643,-,3.2.1.139,1.0,0.0,0.29520,0.354114,-1,0.324657,33.8,21.9,21.2,25.3,83021.04,7.6615,43.443,O.O=C(CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C([O-])CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,O=C([O-])[C@H]1O[C@H](Oc2ccc([N+](=O)[O-])cc2)[C@H](O)[C@@H](O)[C@@H]1O>>O=[N+]([O-])c1ccc([O-])cc1.[H+].O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
4,20.069564,A5F7A4,Sialidase,Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395) OX=345073,11.0,MNXR131875,-,3.2.1.18,1.0,0.0,0.10215,0.521241,1,0.311696,19.5,30.6,19.3,32.7,85609.25,4.6884,48.528,O.O=C(CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C([O-])CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O>>Cc1cc(=O)oc2cc(O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)ccc12
5,19.797238,T2KN75,Beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR195279,MNXR119265_0.28279607893699826_0.3541144234381272,3.2.1.31,1.0,0.0,0.35620,0.381745,-1,0.368971,29.2,22.9,24.5,25.1,111684.03,5.7343,49.337,O.O=C(CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C([O-])CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
6,19.697238,T2KNA8,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR195279,MNXR119265_0.28279607893699826_0.3541144234381272,3.2.1.31,2.0,0.0,0.35620,0.381745,-1,0.368971,38.1,22.1,18.3,22.8,130221.87,6.6613,46.518,O.O=C(CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C([O-])CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
7,19.697238,T2KPJ7,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR195279,MNXR119265_0.28279607893699826_0.3541144234381272,3.2.1.31,2.0,0.0,0.35620,0.381745,-1,0.368971,30.2,23.9,23.9,24.0,93897.06,6.6852,49.029,O.O=C(CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C([O-])CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
8,19.697238,T2KM09,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR195279,MNXR119265_0.28279607893699826_0.3541144234381272,3.2.1.31,2.0,0.0,0.35620,0.381745,-1,0.368971,25.0,23.2,24.7,28.7,117463.61,6.8255,48.066,O.O=C(CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C([O-])CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
9,17.365721,P96105,Xylan alpha-(1->2)-glucuronosidase,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8) OX=243274,15.0,MNXR118643,-,3.2.1.139,1.0,0.0,0.29520,0.354114,-1,0.324657,35.1,21.9,24.9,20.5,78628.83,7.2502,45.697,O.O=C(CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C([O-])CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,O=C([O-])[C@H]1O[C@H](Oc2ccc([N+](=O)[O-])cc2)[C@H](O)[C@@H](O)[C@@H]1O>>O=[N+]([O-])c1ccc([O-])cc1.[H+].O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
10,17.365721,Q09LY5,Xylan alpha-(1->2)-glucuronosidase,Geobacillus stearothermophilus OX=1422,15.0,MNXR118643,-,3.2.1.139,1.0,0.0,0.29520,0.354114,-1,0.324657,31.1,23.5,23.1,24.7,78484.46,5.6045,46.244,O.O=C(CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C([O-])CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,O=C([O-])[C@H]1O[C@H](Oc2ccc([N+](=O)[O-])cc2)[C@H](O)[C@@H](O)[C@@H]1O>>O=[N+]([O-])c1ccc([O-])cc1.[H+].O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
