,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,78.363,P06149,Quinone-dependent D-lactate dehydrogenase,Escherichia coli (strain K12) OX=83333,1.0,MNXR101037,-,1.1.1;1.1.1.27;1.1.1.28,1.0,0.0,0.58926,1.0,1,0.794628,46.5,17.3,19.1,20.0,64612.33,6.6516,47.110,CC(=O)C(=O)[O-].[Fe+2].[Fe+2].[H+].[H+]>>C[C@@H](O)C(=O)[O-].[Fe+3].[Fe+3],NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.C[C@@H](O)C(=O)[O-]>>[H+].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC(=O)C(=O)[O-]
2,64.363,P16115,L-lactate dehydrogenase,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8) OX=243274,15.0,MNXR101037,-,1.1.1;1.1.1.27;1.1.1.28,1.0,0.0,0.58926,1.0,1,0.794628,46.5,26.4,15.2,17.2,34994.43,7.1657,43.260,CC(=O)C(=O)[O-].[Fe+2].[Fe+2].[H+].[H+]>>C[C@@H](O)C(=O)[O-].[Fe+3].[Fe+3],NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.C[C@@H](O)C(=O)[O-]>>[H+].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC(=O)C(=O)[O-]
3,64.363,Q9EVR0,L-lactate dehydrogenase,Selenomonas ruminantium OX=971,15.0,MNXR101037,-,1.1.1;1.1.1.27;1.1.1.28,1.0,0.0,0.58926,1.0,1,0.794628,50.7,24.2,16.2,14.2,34975.01,5.6358,44.969,CC(=O)C(=O)[O-].[Fe+2].[Fe+2].[H+].[H+]>>C[C@@H](O)C(=O)[O-].[Fe+3].[Fe+3],NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.C[C@@H](O)C(=O)[O-]>>[H+].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC(=O)C(=O)[O-]
4,64.363,O32765,L-lactate dehydrogenase,Lactobacillus helveticus OX=1587,15.0,MNXR101037,-,1.1.1;1.1.1.27;1.1.1.28,1.0,0.0,0.58926,1.0,1,0.794628,47.2,26.4,11.4,20.2,35111.14,4.8398,43.963,CC(=O)C(=O)[O-].[Fe+2].[Fe+2].[H+].[H+]>>C[C@@H](O)C(=O)[O-].[Fe+3].[Fe+3],NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.C[C@@H](O)C(=O)[O-]>>[H+].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC(=O)C(=O)[O-]
5,64.363,A9BGZ9,L-lactate dehydrogenase,Petrotoga mobilis (strain DSM 10674 / SJ95) OX=403833,15.0,MNXR101037,-,1.1.1;1.1.1.27;1.1.1.28,1.0,0.0,0.58926,1.0,1,0.794628,38.5,34.4,16.2,16.5,33346.30,5.7799,45.277,CC(=O)C(=O)[O-].[Fe+2].[Fe+2].[H+].[H+]>>C[C@@H](O)C(=O)[O-].[Fe+3].[Fe+3],NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.C[C@@H](O)C(=O)[O-]>>[H+].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC(=O)C(=O)[O-]
6,64.363,P00343,L-lactate dehydrogenase,Lactobacillus casei OX=1582,15.0,MNXR101037,-,1.1.1;1.1.1.27;1.1.1.28,1.0,0.0,0.58926,1.0,1,0.794628,43.9,31.6,9.7,20.0,35530.56,5.0846,44.479,CC(=O)C(=O)[O-].[Fe+2].[Fe+2].[H+].[H+]>>C[C@@H](O)C(=O)[O-].[Fe+3].[Fe+3],NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.C[C@@H](O)C(=O)[O-]>>[H+].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC(=O)C(=O)[O-]
7,64.363,P78007,L-lactate dehydrogenase,Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1) OX=272634,15.0,MNXR101037,-,1.1.1;1.1.1.27;1.1.1.28,1.0,0.0,0.58926,1.0,1,0.794628,47.6,30.7,11.1,15.9,33888.10,8.7603,43.590,CC(=O)C(=O)[O-].[Fe+2].[Fe+2].[H+].[H+]>>C[C@@H](O)C(=O)[O-].[Fe+3].[Fe+3],NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.C[C@@H](O)C(=O)[O-]>>[H+].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC(=O)C(=O)[O-]
8,64.363,P26298,D-lactate dehydrogenase,Lactiplantibacillus pentosus OX=1589 PE=1 SV=1,15.0,MNXR101037,-,1.1.1;1.1.1.27;1.1.1.28,1.0,0.0,0.58926,1.0,1,0.794628,57.9,25.9,8.2,13.0,37183.33,4.7032,46.386,CC(=O)C(=O)[O-].[Fe+2].[Fe+2].[H+].[H+]>>C[C@@H](O)C(=O)[O-].[Fe+3].[Fe+3],NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.C[C@@H](O)C(=O)[O-]>>[H+].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC(=O)C(=O)[O-]
9,64.163,P62056,L-lactate dehydrogenase,Treponema denticola (strain ATCC 35405 / DSM 14222 / CIP 103919 / JCM 8153 / KCTC 15104) OX=243275,15.0,MNXR101037,-,1.1.1;1.1.1.27;1.1.1.28,3.0,0.0,0.58926,1.0,1,0.794628,40.8,29.4,13.7,21.4,33603.04,5.0893,43.810,CC(=O)C(=O)[O-].[Fe+2].[Fe+2].[H+].[H+]>>C[C@@H](O)C(=O)[O-].[Fe+3].[Fe+3],NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.C[C@@H](O)C(=O)[O-]>>[H+].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC(=O)C(=O)[O-]
10,64.163,Q662S5,L-lactate dehydrogenase,Borrelia garinii subsp. bavariensis (strain ATCC BAA-2496 / DSM 23469 / PBi) OX=290434,15.0,MNXR101037,-,1.1.1;1.1.1.27;1.1.1.28,3.0,0.0,0.58926,1.0,1,0.794628,43.0,39.0,10.3,13.0,34913.36,6.5224,44.620,CC(=O)C(=O)[O-].[Fe+2].[Fe+2].[H+].[H+]>>C[C@@H](O)C(=O)[O-].[Fe+3].[Fe+3],NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.C[C@@H](O)C(=O)[O-]>>[H+].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC(=O)C(=O)[O-]
