,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,71.83185,P0ABF6,Cytidine deaminase,Escherichia coli (strain K12) OX=83333,1.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,1.0,0.0,0.61434,0.844297,1,0.729318,51.4,17.3,14.7,22.3,31539.87,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
2,70.63185,B1X7N2,Cytidine deaminase,Escherichia coli (strain K12 / DH10B) OX=316385,2.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.4,17.3,14.7,22.3,31539.87,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
3,70.63185,C4ZSM3,Cytidine deaminase,Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496,2.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.4,17.3,14.7,22.3,31539.87,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
4,69.63185,B1LKP0,Cytidine deaminase,Escherichia coli (strain SMS-3-5 / SECEC) OX=439855,3.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.4,17.3,14.7,22.3,31539.87,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
5,69.63185,Q8X648,Cytidine deaminase,Escherichia coli O157:H7 OX=83334,3.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,54.3,16.5,13.7,21.2,31540.86,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
6,69.63185,Q1R9T0,Cytidine deaminase,Escherichia coli (strain UTI89 / UPEC) OX=364106,3.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.1,16.9,15.5,22.3,31566.89,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
7,69.63185,B7MF55,Cytidine deaminase,Escherichia coli O45:K1 (strain S88 / ExPEC) OX=585035,3.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.1,16.9,15.5,22.3,31566.89,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
8,69.63185,B7NMA8,Cytidine deaminase,Escherichia coli O7:K1 (strain IAI39 / ExPEC) OX=585057,3.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.8,16.5,15.1,22.3,31597.91,5.2917,40.136,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
9,69.63185,Q0TFU8,Cytidine deaminase,Escherichia coli O6:K15:H31 (strain 536 / UPEC) OX=362663,3.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.1,16.9,15.5,22.3,31566.89,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
10,69.63185,A1AD04,Cytidine deaminase,Escherichia coli O1:K1 / APEC OX=405955,3.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.1,16.9,15.5,22.3,31566.89,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
11,69.63185,A8A204,Cytidine deaminase,Escherichia coli O9:H4 (strain HS) OX=331112,3.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.4,17.3,14.7,22.3,31539.87,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
12,69.63185,B6I8J3,Cytidine deaminase,Escherichia coli (strain SE11) OX=409438,3.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.4,17.3,14.7,22.3,31539.87,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
13,69.63185,B1IYC6,Cytidine deaminase,Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks) OX=481805,3.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.8,16.9,14.7,22.3,31569.89,5.5271,40.136,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
14,69.63185,B7LA09,Cytidine deaminase,Escherichia coli (strain 55989 / EAEC) OX=585055,3.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.4,17.3,14.7,22.3,31539.87,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
15,69.63185,B7MXF5,Cytidine deaminase,Escherichia coli O81 (strain ED1a) OX=585397,3.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.1,16.9,15.5,22.3,31566.89,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
16,69.63185,B7M4Y8,Cytidine deaminase,Escherichia coli O8 (strain IAI1) OX=585034,3.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.4,17.3,14.7,22.3,31539.87,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
17,69.63185,B7NCH2,Cytidine deaminase,Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC) OX=585056,3.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.1,16.9,15.5,22.3,31566.89,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
18,69.63185,Q8FFV3,Cytidine deaminase,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310,3.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.1,16.9,15.5,22.3,31566.89,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
19,68.63185,A7ZNW5,Cytidine deaminase,Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111,4.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,50.0,18.7,14.7,22.3,31525.80,5.2780,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
20,68.63185,B5YW75,Cytidine deaminase,Escherichia coli O157:H7 (strain EC4115 / EHEC) OX=444450,4.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,54.3,16.5,13.7,21.2,31540.86,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
21,68.63185,B7UFF9,Cytidine deaminase,Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521,4.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.1,16.9,15.5,22.3,31566.89,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
22,67.63185,B7LVA3,Cytidine deaminase,Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CCUG 18766 / IAM 14443 / JCM 21226 / LMG 7866 / NBRC 102419 / NCTC 12128 / CDC 0568-73) OX=585054,5.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,53.6,16.2,15.1,20.9,31414.79,5.7854,39.456,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
23,66.63185,P0ABF7,Cytidine deaminase,Shigella flexneri OX=623,6.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.4,17.3,14.7,22.3,31539.87,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
24,65.63185,Q322V3,Cytidine deaminase,Shigella boydii serotype 4 (strain Sb227) OX=300268,7.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.4,17.3,14.7,22.3,31539.87,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
25,65.63185,B2TVV2,Cytidine deaminase,Shigella boydii serotype 18 (strain CDC 3083-94 / BS512) OX=344609,7.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.4,17.3,14.7,22.3,31539.87,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
26,65.63185,A7MLJ4,Cytidine deaminase,Cronobacter sakazakii (strain ATCC BAA-894) OX=290339,7.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,52.2,18.0,13.3,22.3,31350.43,4.9154,39.456,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
27,65.63185,Q32EM3,Cytidine deaminase,Shigella dysenteriae serotype 1 (strain Sd197) OX=300267,7.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.4,17.3,14.7,22.3,31496.84,5.2780,39.456,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
28,65.63185,A4WCI1,Cytidine deaminase,Enterobacter sp. (strain 638) OX=399742,7.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,52.5,16.2,16.9,20.1,31571.61,4.8164,40.816,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
29,65.63185,A8AE87,Cytidine deaminase,Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696) OX=290338,7.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,50.0,18.7,18.0,19.1,31732.04,5.0976,39.456,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
30,65.63185,Q3Z062,Cytidine deaminase,Shigella sonnei (strain Ss046) OX=300269,7.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.4,17.3,14.7,22.3,31539.87,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
31,64.63185,B5XP65,Cytidine deaminase,Klebsiella pneumoniae (strain 342) OX=507522,8.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,53.6,15.8,14.7,21.6,31374.65,5.6799,38.435,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
32,64.63185,A9MKS5,Cytidine deaminase,Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980) OX=41514,8.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.1,18.7,15.8,20.1,31522.75,5.6790,40.136,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
33,64.63185,Q0T2Y0,Cytidine deaminase,Shigella flexneri serotype 5b (strain 8401) OX=373384,8.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,51.4,17.3,14.7,22.3,31539.87,5.5271,39.796,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
34,64.63185,Q8Z5A8,Cytidine deaminase,Salmonella typhi OX=90370,8.0,MNXR97207,MNXR190856_0.6098827261356076_0.4865001472732669,3.5.4.14;3.5.4.5,3.0,0.0,0.61434,0.844297,1,0.729318,48.9,19.8,15.8,21.2,31617.84,6.1721,41.156,NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C=C1.O.[H+]>>O=C1C=CN([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)C(=O)N1.[NH4+],[NH4+].O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1>>[H+].Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
