,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,39.179463,J7GQ11,L-tyrosine decarboxylase,Levilactobacillus brevis OX=1580,15.0,MNXR104990,-,4.1.1.25;4.1.1.28,1.0,0.0,0.39464,0.690949,-1,0.542796,51.3,18.2,18.0,15.1,70506.99,5.5181,44.089,[NH3+][C@@H](CC1=CC(O)=C(O)C=C1)C(=O)[O-]>>[NH3+]CCC1=CC(O)=C(O)C=C1,[H+].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>O=C=O.[NH3+]CCc1ccc(O)cc1
2,39.179463,A0A481NV25,L-tyrosine decarboxylase,Enterococcus faecium OX=1352,15.0,MNXR104990,-,4.1.1.25;4.1.1.28,1.0,0.0,0.39464,0.690949,-1,0.542796,55.8,18.0,14.3,14.6,69341.16,4.7886,44.190,[NH3+][C@@H](CC1=CC(O)=C(O)C=C1)C(=O)[O-]>>[NH3+]CCC1=CC(O)=C(O)C=C1,[H+].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>O=C=O.[NH3+]CCc1ccc(O)cc1
3,38.179463,I0DFJ0,Aromatic-L-amino-acid decarboxylase,Bacillus atrophaeus OX=1452 PE=1 SV=1,16.0,MNXR104990,MNXR102650_0.3234579340704766_0.690949260752022|MNXR95085_0.3080901039082238_0.5403264646459026|MNXR151808_0.28004177557584814_0.5403264646459026|MNXR145476_0.24417201203058192_0.5403264646459026,4.1.1.25;4.1.1.28,1.0,0.0,0.39464,0.690949,-1,0.542796,50.6,18.1,14.2,20.5,53548.35,5.8701,46.458,[NH3+][C@@H](CC1=CC(O)=C(O)C=C1)C(=O)[O-]>>[NH3+]CCC1=CC(O)=C(O)C=C1,[H+].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>O=C=O.[NH3+]CCc1ccc(O)cc1
4,38.179463,P0DTQ4,L-tyrosine decarboxylase,Enterococcus faecalis (strain EnGen0310 / MMH594) OX=1158653,16.0,MNXR104990,-,4.1.1.25;4.1.1.28,1.0,0.0,0.39464,0.690949,-1,0.542796,49.7,21.5,16.2,15.2,70053.18,4.7663,44.839,[NH3+][C@@H](CC1=CC(O)=C(O)C=C1)C(=O)[O-]>>[NH3+]CCC1=CC(O)=C(O)C=C1,[H+].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>O=C=O.[NH3+]CCc1ccc(O)cc1
5,38.179463,Q838D6,L-tyrosine decarboxylase,Enterococcus faecalis (strain ATCC 700802 / V583) OX=226185,16.0,MNXR104990,-,4.1.1.25;4.1.1.28,1.0,0.0,0.39464,0.690949,-1,0.542796,49.7,21.5,16.2,15.2,70053.18,4.7663,44.839,[NH3+][C@@H](CC1=CC(O)=C(O)C=C1)C(=O)[O-]>>[NH3+]CCC1=CC(O)=C(O)C=C1,[H+].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>O=C=O.[NH3+]CCc1ccc(O)cc1
6,37.504823,P69908,Glutamate decarboxylase alpha,Escherichia coli (strain K12) OX=83333,1.0,MNXR96077,-,4.1.1.11;4.1.1.15,1.0,0.0,0.23177,0.540326,1,0.386050,36.4,26.0,22.4,18.7,52685.16,5.0438,42.060,[NH3+][C@@H](CC1=CC(O)=C(O)C=C1)C(=O)[O-]>>[NH3+]CCC1=CC(O)=C(O)C=C1,O=C=O.[NH3+]CCC(=O)[O-]>>[H+].[NH3+][C@@H](CC(=O)[O-])C(=O)[O-]
7,37.504823,P0A790,Aspartate 1-decarboxylase,Escherichia coli (strain K12) OX=83333,1.0,MNXR96077,-,4.1.1.11;4.1.1.15,1.0,0.0,0.23177,0.540326,1,0.386050,61.8,26.4,13.6,12.7,13833.73,6.0918,43.651,[NH3+][C@@H](CC1=CC(O)=C(O)C=C1)C(=O)[O-]>>[NH3+]CCC1=CC(O)=C(O)C=C1,O=C=O.[NH3+]CCC(=O)[O-]>>[H+].[NH3+][C@@H](CC(=O)[O-])C(=O)[O-]
8,36.979463,Q8U1P6,Probable L-aspartate decarboxylase,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1) OX=186497,17.0,MNXR104990,-,4.1.1.25;4.1.1.28,3.0,0.0,0.39464,0.690949,-1,0.542796,44.5,21.7,19.4,18.9,40995.65,7.7506,40.162,[NH3+][C@@H](CC1=CC(O)=C(O)C=C1)C(=O)[O-]>>[NH3+]CCC1=CC(O)=C(O)C=C1,[H+].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>O=C=O.[NH3+]CCc1ccc(O)cc1
9,36.179463,Q60358,L-tyrosine/L-aspartate decarboxylase,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232,18.0,MNXR104990,-,4.1.1.25;4.1.1.28,1.0,0.0,0.39464,0.690949,-1,0.542796,47.1,27.6,19.7,9.7,45050.23,7.1772,45.707,[NH3+][C@@H](CC1=CC(O)=C(O)C=C1)C(=O)[O-]>>[NH3+]CCC1=CC(O)=C(O)C=C1,[H+].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>O=C=O.[NH3+]CCc1ccc(O)cc1
10,35.979463,A2STQ3,Probable L-tyrosine/L-aspartate decarboxylase,Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z) OX=410358,18.0,MNXR104990,-,4.1.1.25;4.1.1.28,3.0,0.0,0.39464,0.690949,-1,0.542796,47.0,21.2,16.0,20.3,39704.79,6.0113,40.548,[NH3+][C@@H](CC1=CC(O)=C(O)C=C1)C(=O)[O-]>>[NH3+]CCC1=CC(O)=C(O)C=C1,[H+].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>O=C=O.[NH3+]CCc1ccc(O)cc1
