,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,58.938533,P12758,Uridine phosphorylase,Escherichia coli (strain K12) OX=83333,1.0,MNXR146568,-,2.4.2.2;2.4.2.3;2.4.2.4,1.0,0.0,0.47109,0.729681,-1,0.600385,48.9,26.2,11.8,19.8,27159.08,6.1589,43.874,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O.O=P([O-])([O-])O>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.Cc1c[nH]c(=O)[nH]c1=O
2,58.938533,P07650,Thymidine phosphorylase,Escherichia coli (strain K12) OX=83333,1.0,MNXR146568,-,2.4.2.2;2.4.2.3;2.4.2.4,1.0,0.0,0.47109,0.729681,-1,0.600385,47.9,23.1,9.9,22.9,47207.12,4.9968,41.818,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O.O=P([O-])([O-])O>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.Cc1c[nH]c(=O)[nH]c1=O
3,57.738533,B1XFJ2,Thymidine phosphorylase,Escherichia coli (strain K12 / DH10B) OX=316385,2.0,MNXR146568,-,2.4.2.2;2.4.2.3;2.4.2.4,3.0,0.0,0.47109,0.729681,-1,0.600385,47.9,23.1,9.9,22.9,47207.12,4.9968,41.818,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O.O=P([O-])([O-])O>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.Cc1c[nH]c(=O)[nH]c1=O
4,57.738533,B1XEY0,Pyrimidine/purine nucleoside phosphorylase,Escherichia coli (strain K12 / DH10B) OX=316385,2.0,MNXR146568,-,2.4.2.2;2.4.2.3;2.4.2.4,3.0,0.0,0.47109,0.729681,-1,0.600385,33.3,35.9,17.9,33.3,10234.40,4.1759,44.681,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O.O=P([O-])([O-])O>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.Cc1c[nH]c(=O)[nH]c1=O
5,56.738533,B1IS37,Thymidine phosphorylase,Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks) OX=481805,3.0,MNXR146568,-,2.4.2.2;2.4.2.3;2.4.2.4,3.0,0.0,0.47109,0.729681,-1,0.600385,48.1,23.1,9.9,22.6,47180.10,4.9968,41.818,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O.O=P([O-])([O-])O>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.Cc1c[nH]c(=O)[nH]c1=O
6,56.738533,B7MNI9,Thymidine phosphorylase,Escherichia coli O45:K1 (strain S88 / ExPEC) OX=585035,3.0,MNXR146568,-,2.4.2.2;2.4.2.3;2.4.2.4,3.0,0.0,0.47109,0.729681,-1,0.600385,47.9,23.1,9.9,22.9,47207.12,4.9968,41.818,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O.O=P([O-])([O-])O>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.Cc1c[nH]c(=O)[nH]c1=O
7,56.738533,B7N8U3,Pyrimidine/purine nucleoside phosphorylase,Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC) OX=585056,3.0,MNXR146568,-,2.4.2.2;2.4.2.3;2.4.2.4,3.0,0.0,0.47109,0.729681,-1,0.600385,33.3,35.9,17.9,33.3,10234.40,4.1759,44.681,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O.O=P([O-])([O-])O>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.Cc1c[nH]c(=O)[nH]c1=O
8,56.738533,A1A863,Pyrimidine/purine nucleoside phosphorylase,Escherichia coli O1:K1 / APEC OX=405955,3.0,MNXR146568,-,2.4.2.2;2.4.2.3;2.4.2.4,3.0,0.0,0.47109,0.729681,-1,0.600385,33.3,35.9,17.9,33.3,10234.40,4.1759,44.681,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O.O=P([O-])([O-])O>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.Cc1c[nH]c(=O)[nH]c1=O
9,56.738533,B7NW62,Thymidine phosphorylase,Escherichia coli O7:K1 (strain IAI39 / ExPEC) OX=585057,3.0,MNXR146568,-,2.4.2.2;2.4.2.3;2.4.2.4,3.0,0.0,0.47109,0.729681,-1,0.600385,48.1,23.1,9.9,22.6,47180.10,4.9968,41.818,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O.O=P([O-])([O-])O>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.Cc1c[nH]c(=O)[nH]c1=O
10,56.738533,B7MPF2,Pyrimidine/purine nucleoside phosphorylase,Escherichia coli O81 (strain ED1a) OX=585397,3.0,MNXR146568,-,2.4.2.2;2.4.2.3;2.4.2.4,3.0,0.0,0.47109,0.729681,-1,0.600385,33.3,35.9,17.9,33.3,10234.40,4.1759,44.681,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O.O=P([O-])([O-])O>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.Cc1c[nH]c(=O)[nH]c1=O
