,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,34.997181,P05804,Beta-glucuronidase,Escherichia coli (strain K12) OX=83333,1.0,MNXR132792,MNXR111815_0.2610536493944214_0.3848475727595046|MNXR173554_0.2610536493944214_0.3848475727595046,3.2.1.31,1.0,0.0,0.39105,0.330894,-1,0.360971,29.5,26.6,22.3,24.4,68447.00,5.1217,45.605,O.O=C(O)[C@H]1O[C@@H](OC2=CC=C([C@@H]3[C@@H](CC[C@H](O)C4=CC=C(F)C=C4)C(=O)N3C3=CC=C(F)C=C3)C=C2)[C@H](O)[C@@H](O)[C@@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C1[C@H](CC[C@H](O)C2=CC=C(F)C=C2)[C@@H](C2=CC=C(O)C=C2)N1C1=CC=C(F)C=C1,O=C(O)C1OC(Oc2ccc([N+](=O)[O-])cc2)C(O)C(O)C1O>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O.O=[N+]([O-])c1ccc([O-])cc1.[H+]
2,26.951809,Q8P3J4,Cellobionic acid phosphorylase,Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25) OX=190485,12.0,MNXR172028,-,2.4.1.321,1.0,0.0,0.37161,0.409426,-1,0.390516,29.0,26.6,23.0,23.4,88422.62,5.9481,39.098,O.O=C(O)[C@H]1O[C@@H](OC2=CC=C([C@@H]3[C@@H](CC[C@H](O)C4=CC=C(F)C=C4)C(=O)N3C3=CC=C(F)C=C3)C=C2)[C@H](O)[C@@H](O)[C@@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C1[C@H](CC[C@H](O)C2=CC=C(F)C=C2)[C@@H](C2=CC=C(O)C=C2)N1C1=CC=C(F)C=C1,O=P([O-])([O-])O.O=C[C@H](O)[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@H](O)C(=O)[O-].[H+]>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O.O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
3,22.170214,Q59437,Beta-glucosidase A,Enterobacter agglomerans OX=549,9.0,MNXR192152,-,3.2.1.126;3.2.1.21,3.0,0.0,0.21378,0.415624,-1,0.314704,39.2,23.9,17.9,22.4,53888.73,5.1457,43.750,O.O=C(O)[C@H]1O[C@@H](OC2=CC=C([C@@H]3[C@@H](CC[C@H](O)C4=CC=C(F)C=C4)C(=O)N3C3=CC=C(F)C=C3)C=C2)[C@H](O)[C@@H](O)[C@@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C1[C@H](CC[C@H](O)C2=CC=C(F)C=C2)[C@@H](C2=CC=C(O)C=C2)N1C1=CC=C(F)C=C1,OC/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1>>OC/C=C/c1ccc(O)cc1.OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
4,18.997181,T2KN75,Beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR132792,MNXR111815_0.2610536493944214_0.3848475727595046|MNXR173554_0.2610536493944214_0.3848475727595046,3.2.1.31,1.0,0.0,0.39105,0.330894,-1,0.360971,29.2,22.9,24.5,25.1,111684.03,5.7343,49.337,O.O=C(O)[C@H]1O[C@@H](OC2=CC=C([C@@H]3[C@@H](CC[C@H](O)C4=CC=C(F)C=C4)C(=O)N3C3=CC=C(F)C=C3)C=C2)[C@H](O)[C@@H](O)[C@@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C1[C@H](CC[C@H](O)C2=CC=C(F)C=C2)[C@@H](C2=CC=C(O)C=C2)N1C1=CC=C(F)C=C1,O=C(O)C1OC(Oc2ccc([N+](=O)[O-])cc2)C(O)C(O)C1O>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O.O=[N+]([O-])c1ccc([O-])cc1.[H+]
5,18.897181,T2KNA8,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR132792,MNXR111815_0.2610536493944214_0.3848475727595046|MNXR173554_0.2610536493944214_0.3848475727595046,3.2.1.31,2.0,0.0,0.39105,0.330894,-1,0.360971,38.1,22.1,18.3,22.8,130221.87,6.6613,46.518,O.O=C(O)[C@H]1O[C@@H](OC2=CC=C([C@@H]3[C@@H](CC[C@H](O)C4=CC=C(F)C=C4)C(=O)N3C3=CC=C(F)C=C3)C=C2)[C@H](O)[C@@H](O)[C@@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C1[C@H](CC[C@H](O)C2=CC=C(F)C=C2)[C@@H](C2=CC=C(O)C=C2)N1C1=CC=C(F)C=C1,O=C(O)C1OC(Oc2ccc([N+](=O)[O-])cc2)C(O)C(O)C1O>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O.O=[N+]([O-])c1ccc([O-])cc1.[H+]
6,18.897181,T2KM09,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR132792,MNXR111815_0.2610536493944214_0.3848475727595046|MNXR173554_0.2610536493944214_0.3848475727595046,3.2.1.31,2.0,0.0,0.39105,0.330894,-1,0.360971,25.0,23.2,24.7,28.7,117463.61,6.8255,48.066,O.O=C(O)[C@H]1O[C@@H](OC2=CC=C([C@@H]3[C@@H](CC[C@H](O)C4=CC=C(F)C=C4)C(=O)N3C3=CC=C(F)C=C3)C=C2)[C@H](O)[C@@H](O)[C@@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C1[C@H](CC[C@H](O)C2=CC=C(F)C=C2)[C@@H](C2=CC=C(O)C=C2)N1C1=CC=C(F)C=C1,O=C(O)C1OC(Oc2ccc([N+](=O)[O-])cc2)C(O)C(O)C1O>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O.O=[N+]([O-])c1ccc([O-])cc1.[H+]
7,18.897181,T2KPJ7,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR132792,MNXR111815_0.2610536493944214_0.3848475727595046|MNXR173554_0.2610536493944214_0.3848475727595046,3.2.1.31,2.0,0.0,0.39105,0.330894,-1,0.360971,30.2,23.9,23.9,24.0,93897.06,6.6852,49.029,O.O=C(O)[C@H]1O[C@@H](OC2=CC=C([C@@H]3[C@@H](CC[C@H](O)C4=CC=C(F)C=C4)C(=O)N3C3=CC=C(F)C=C3)C=C2)[C@H](O)[C@@H](O)[C@@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C1[C@H](CC[C@H](O)C2=CC=C(F)C=C2)[C@@H](C2=CC=C(O)C=C2)N1C1=CC=C(F)C=C1,O=C(O)C1OC(Oc2ccc([N+](=O)[O-])cc2)C(O)C(O)C1O>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O.O=[N+]([O-])c1ccc([O-])cc1.[H+]
8,17.170214,P0C946,1;4-beta-D-glucan glucohydrolase (Fragment),Thermotoga neapolitana OX=2337,14.0,MNXR192152,-,3.2.1.126;3.2.1.21,3.0,0.0,0.21378,0.415624,-1,0.314704,29.8,24.0,24.2,25.9,49365.85,5.8942,43.294,O.O=C(O)[C@H]1O[C@@H](OC2=CC=C([C@@H]3[C@@H](CC[C@H](O)C4=CC=C(F)C=C4)C(=O)N3C3=CC=C(F)C=C3)C=C2)[C@H](O)[C@@H](O)[C@@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C1[C@H](CC[C@H](O)C2=CC=C(F)C=C2)[C@@H](C2=CC=C(O)C=C2)N1C1=CC=C(F)C=C1,OC/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1>>OC/C=C/c1ccc(O)cc1.OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
9,17.170214,P27034,Beta-glucosidase,Rhizobium radiobacter OX=358,14.0,MNXR192152,-,3.2.1.126;3.2.1.21,3.0,0.0,0.21378,0.415624,-1,0.314704,38.4,24.1,13.3,26.2,88290.14,4.8201,40.831,O.O=C(O)[C@H]1O[C@@H](OC2=CC=C([C@@H]3[C@@H](CC[C@H](O)C4=CC=C(F)C=C4)C(=O)N3C3=CC=C(F)C=C3)C=C2)[C@H](O)[C@@H](O)[C@@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C1[C@H](CC[C@H](O)C2=CC=C(F)C=C2)[C@@H](C2=CC=C(O)C=C2)N1C1=CC=C(F)C=C1,OC/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1>>OC/C=C/c1ccc(O)cc1.OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
10,16.439071,H1AE12,Glucosylceramidase,Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487) OX=235443,23.0,MNXR131259,-,3.2.1.62,1.0,0.0,0.21658,0.574201,-1,0.395390,38.3,20.4,19.8,23.7,83552.07,6.6630,42.049,O.O=C(O)[C@H]1O[C@@H](OC2=CC=C([C@@H]3[C@@H](CC[C@H](O)C4=CC=C(F)C=C4)C(=O)N3C3=CC=C(F)C=C3)C=C2)[C@H](O)[C@@H](O)[C@@H]1O>>O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=C1[C@H](CC[C@H](O)C2=CC=C(F)C=C2)[C@@H](C2=CC=C(O)C=C2)N1C1=CC=C(F)C=C1,O=c1c(-c2ccc(O[C@@H]3OC[C@](O)(CO)[C@H]3O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12>>OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=c1c(-c2ccc(O)cc2)coc2cc([O-])cc(O)c12
