,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,52.43265,A0A0A1EQ07,3-O-acetylpapaveroxine carboxylesterase CXE2,Papaver somniferum OX=3469,24,MNXR118320,-,3.1.1.105;3.1.1.x,1.0,0.0,0.79057,0.740083,1,0.765326,35.7,22.9,24.6,22.2,35154.30,4.7650,42.812,CC(=O)[O-].[H+].[H][C@]1([C@@]2([H])C3=C(/C=C4/OCO/C4=C/3OC)CCN2C)OC(O)C2=C1C=CC(OC)=C2OC>>[H]O[H].[H][C@]1([C@@H](OC(C)=O)C2=C(C=O)C(OC)=C(OC)C=C2)C2=C(OC)C3=C(C=C2CCN1C)OCO3,COc1ccc([C@H](OC(C)=O)[C@H]2c3c(cc4c(c3OC)OCO4)CCN2C)c(C=O)c1OC>>CC(=O)[O-].COc1ccc2c(c1OC)C(O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C.[H+]
2,52.43265,I3PLR2,3-O-acetylpapaveroxine carboxylesterase CXE1,Papaver somniferum OX=3469,24,MNXR118320,-,3.1.1.105;3.1.1.x,1.0,0.0,0.79057,0.740083,1,0.765326,35.9,24.0,24.0,21.4,36168.40,4.8741,43.438,CC(=O)[O-].[H+].[H][C@]1([C@@]2([H])C3=C(/C=C4/OCO/C4=C/3OC)CCN2C)OC(O)C2=C1C=CC(OC)=C2OC>>[H]O[H].[H][C@]1([C@@H](OC(C)=O)C2=C(C=O)C(OC)=C(OC)C=C2)C2=C(OC)C3=C(C=C2CCN1C)OCO3,COc1ccc([C@H](OC(C)=O)[C@H]2c3c(cc4c(c3OC)OCO4)CCN2C)c(C=O)c1OC>>CC(=O)[O-].COc1ccc2c(c1OC)C(O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C.[H+]
3,NaN,A0A140NEG9,NaN,Escherichia coli,2,MNXR180482,-,1.2.1.38;2.3.1.11;2.6.1.11;2.7.2.8;3.5.1.16,NaN,0.0,0.48827,NaN,-1,0.488271,-,-,-,-,-,-,-,CC(=O)[O-].[H+].[H][C@]1([C@@]2([H])C3=C(/C=C4/OCO/C4=C/3OC)CCN2C)OC(O)C2=C1C=CC(OC)=C2OC>>[H]O[H].[H][C@]1([C@@H](OC(C)=O)C2=C(C=O)C(OC)=C(OC)C=C2)C2=C(OC)C3=C(C=C2CCN1C)OCO3,CC(=O)[O-].O=C([O-])CCC(=O)C(=O)[O-].NCCCC(N)C(=O)O.O=P([O-])([O-])O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]>>CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
4,NaN,B7M711,Acetylornithine deacetylase,Escherichia coli O8 (strain IAI1) OX=585034,3,MNXR180482,-,1.2.1.38;2.3.1.11;2.6.1.11;2.7.2.8;3.5.1.16,3.0,0.0,0.48827,NaN,-1,0.488271,36.0,23.7,19.9,24.8,42337.32,5.7879,42.820,CC(=O)[O-].[H+].[H][C@]1([C@@]2([H])C3=C(/C=C4/OCO/C4=C/3OC)CCN2C)OC(O)C2=C1C=CC(OC)=C2OC>>[H]O[H].[H][C@]1([C@@H](OC(C)=O)C2=C(C=O)C(OC)=C(OC)C=C2)C2=C(OC)C3=C(C=C2CCN1C)OCO3,CC(=O)[O-].O=C([O-])CCC(=O)C(=O)[O-].NCCCC(N)C(=O)O.O=P([O-])([O-])O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]>>CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
5,NaN,P59317,Acetylornithine/succinyldiaminopimelate aminotransferase,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310,3,MNXR180482,-,1.2.1.38;2.3.1.11;2.6.1.11;2.7.2.8;3.5.1.16,3.0,0.0,0.48827,NaN,-1,0.488271,44.9,21.3,15.4,22.6,43800.94,6.1228,38.916,CC(=O)[O-].[H+].[H][C@]1([C@@]2([H])C3=C(/C=C4/OCO/C4=C/3OC)CCN2C)OC(O)C2=C1C=CC(OC)=C2OC>>[H]O[H].[H][C@]1([C@@H](OC(C)=O)C2=C(C=O)C(OC)=C(OC)C=C2)C2=C(OC)C3=C(C=C2CCN1C)OCO3,CC(=O)[O-].O=C([O-])CCC(=O)C(=O)[O-].NCCCC(N)C(=O)O.O=P([O-])([O-])O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]>>CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
6,NaN,B7LA54,Acetylglutamate kinase,Escherichia coli (strain 55989 / EAEC) OX=585055,3,MNXR180482,-,1.2.1.38;2.3.1.11;2.6.1.11;2.7.2.8;3.5.1.16,3.0,0.0,0.48827,NaN,-1,0.488271,41.5,34.4,12.0,18.7,27028.35,5.3188,38.911,CC(=O)[O-].[H+].[H][C@]1([C@@]2([H])C3=C(/C=C4/OCO/C4=C/3OC)CCN2C)OC(O)C2=C1C=CC(OC)=C2OC>>[H]O[H].[H][C@]1([C@@H](OC(C)=O)C2=C(C=O)C(OC)=C(OC)C=C2)C2=C(OC)C3=C(C=C2CCN1C)OCO3,CC(=O)[O-].O=C([O-])CCC(=O)C(=O)[O-].NCCCC(N)C(=O)O.O=P([O-])([O-])O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]>>CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
7,NaN,B7LA57,Acetylornithine deacetylase,Escherichia coli (strain 55989 / EAEC) OX=585055,3,MNXR180482,-,1.2.1.38;2.3.1.11;2.6.1.11;2.7.2.8;3.5.1.16,3.0,0.0,0.48827,NaN,-1,0.488271,36.0,24.0,18.8,25.6,42347.34,5.7882,42.820,CC(=O)[O-].[H+].[H][C@]1([C@@]2([H])C3=C(/C=C4/OCO/C4=C/3OC)CCN2C)OC(O)C2=C1C=CC(OC)=C2OC>>[H]O[H].[H][C@]1([C@@H](OC(C)=O)C2=C(C=O)C(OC)=C(OC)C=C2)C2=C(OC)C3=C(C=C2CCN1C)OCO3,CC(=O)[O-].O=C([O-])CCC(=O)C(=O)[O-].NCCCC(N)C(=O)O.O=P([O-])([O-])O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]>>CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
8,NaN,Q8X742,Acetylornithine deacetylase,Escherichia coli O157:H7 OX=83334,3,MNXR180482,-,1.2.1.38;2.3.1.11;2.6.1.11;2.7.2.8;3.5.1.16,3.0,0.0,0.48827,NaN,-1,0.488271,35.7,23.7,18.8,26.2,42418.36,5.7885,43.081,CC(=O)[O-].[H+].[H][C@]1([C@@]2([H])C3=C(/C=C4/OCO/C4=C/3OC)CCN2C)OC(O)C2=C1C=CC(OC)=C2OC>>[H]O[H].[H][C@]1([C@@H](OC(C)=O)C2=C(C=O)C(OC)=C(OC)C=C2)C2=C(OC)C3=C(C=C2CCN1C)OCO3,CC(=O)[O-].O=C([O-])CCC(=O)C(=O)[O-].NCCCC(N)C(=O)O.O=P([O-])([O-])O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]>>CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
9,NaN,B6I5H5,Acetylglutamate kinase,Escherichia coli (strain SE11) OX=409438,3,MNXR180482,-,1.2.1.38;2.3.1.11;2.6.1.11;2.7.2.8;3.5.1.16,3.0,0.0,0.48827,NaN,-1,0.488271,41.5,34.4,12.0,18.7,27028.35,5.3188,38.911,CC(=O)[O-].[H+].[H][C@]1([C@@]2([H])C3=C(/C=C4/OCO/C4=C/3OC)CCN2C)OC(O)C2=C1C=CC(OC)=C2OC>>[H]O[H].[H][C@]1([C@@H](OC(C)=O)C2=C(C=O)C(OC)=C(OC)C=C2)C2=C(OC)C3=C(C=C2CCN1C)OCO3,CC(=O)[O-].O=C([O-])CCC(=O)C(=O)[O-].NCCCC(N)C(=O)O.O=P([O-])([O-])O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]>>CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
10,NaN,B7LUN8,Acetylornithine deacetylase,Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CCUG 18766 / IAM 14443 / JCM 21226 / LMG 7866 / NBRC 102419 / NCTC 12128 / CDC 0568-73) OX=585054,5,MNXR180482,-,1.2.1.38;2.3.1.11;2.6.1.11;2.7.2.8;3.5.1.16,3.0,0.0,0.48827,NaN,-1,0.488271,33.8,23.4,18.8,28.3,42383.35,5.7673,43.603,CC(=O)[O-].[H+].[H][C@]1([C@@]2([H])C3=C(/C=C4/OCO/C4=C/3OC)CCN2C)OC(O)C2=C1C=CC(OC)=C2OC>>[H]O[H].[H][C@]1([C@@H](OC(C)=O)C2=C(C=O)C(OC)=C(OC)C=C2)C2=C(OC)C3=C(C=C2CCN1C)OCO3,CC(=O)[O-].O=C([O-])CCC(=O)C(=O)[O-].NCCCC(N)C(=O)O.O=P([O-])([O-])O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]>>CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
11,NaN,Q32AB6,Acetylglutamate kinase,Shigella dysenteriae serotype 1 (strain Sd197) OX=300267,7,MNXR180482,-,1.2.1.38;2.3.1.11;2.6.1.11;2.7.2.8;3.5.1.16,3.0,0.0,0.48827,NaN,-1,0.488271,43.4,33.1,12.0,18.2,27201.62,5.3188,38.760,CC(=O)[O-].[H+].[H][C@]1([C@@]2([H])C3=C(/C=C4/OCO/C4=C/3OC)CCN2C)OC(O)C2=C1C=CC(OC)=C2OC>>[H]O[H].[H][C@]1([C@@H](OC(C)=O)C2=C(C=O)C(OC)=C(OC)C=C2)C2=C(OC)C3=C(C=C2CCN1C)OCO3,CC(=O)[O-].O=C([O-])CCC(=O)C(=O)[O-].NCCCC(N)C(=O)O.O=P([O-])([O-])O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]>>CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
12,NaN,B5BJN3,Acetylglutamate kinase,Salmonella paratyphi A (strain AKU_12601) OX=554290,9,MNXR180482,-,1.2.1.38;2.3.1.11;2.6.1.11;2.7.2.8;3.5.1.16,3.0,0.0,0.48827,NaN,-1,0.488271,39.4,40.2,12.0,14.9,26876.14,5.5914,38.521,CC(=O)[O-].[H+].[H][C@]1([C@@]2([H])C3=C(/C=C4/OCO/C4=C/3OC)CCN2C)OC(O)C2=C1C=CC(OC)=C2OC>>[H]O[H].[H][C@]1([C@@H](OC(C)=O)C2=C(C=O)C(OC)=C(OC)C=C2)C2=C(OC)C3=C(C=C2CCN1C)OCO3,CC(=O)[O-].O=C([O-])CCC(=O)C(=O)[O-].NCCCC(N)C(=O)O.O=P([O-])([O-])O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]>>CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
