,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,77.2620,P0A6F2,Carbamoyl-phosphate synthase small chain,Escherichia coli O157:H7 OX=83334,3.0,MNXR96486,-,6.3.4.16;6.3.5.5,3.0,0.0,0.61124,1.0,1,0.805620,44.5,20.5,13.9,25.4,41431.01,6.3442,44.764,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.O=S(=O)([O-])S.[H+]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=S(=O)([O-])S.[H]O[H],[NH4+].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=C([O-])O>>NC(=O)OP(=O)([O-])[O-].O=P([O-])([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
2,74.2620,P63738,Carbamoyl-phosphate synthase large chain,Shigella flexneri OX=623,6.0,MNXR96486,-,6.3.4.16;6.3.5.5,3.0,0.0,0.61124,1.0,1,0.805620,54.0,20.6,10.8,16.1,117855.75,4.9844,43.989,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.O=S(=O)([O-])S.[H+]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=S(=O)([O-])S.[H]O[H],[NH4+].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=C([O-])O>>NC(=O)OP(=O)([O-])[O-].O=P([O-])([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
3,72.2620,Q8Z9L7,Carbamoyl-phosphate synthase large chain,Salmonella typhi OX=90370,8.0,MNXR96486,-,6.3.4.16;6.3.5.5,3.0,0.0,0.61124,1.0,1,0.805620,50.9,21.8,11.8,17.0,118140.85,4.8750,44.465,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.O=S(=O)([O-])S.[H+]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=S(=O)([O-])S.[H]O[H],[NH4+].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=C([O-])O>>NC(=O)OP(=O)([O-])[O-].O=P([O-])([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
4,71.2620,Q8D3H7,Carbamoyl-phosphate synthase small chain,Wigglesworthia glossinidia brevipalpis OX=36870,9.0,MNXR96486,-,6.3.4.16;6.3.5.5,3.0,0.0,0.61124,1.0,1,0.805620,32.8,35.0,16.7,20.0,42469.69,10.2985,47.340,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.O=S(=O)([O-])S.[H+]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=S(=O)([O-])S.[H]O[H],[NH4+].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=C([O-])O>>NC(=O)OP(=O)([O-])[O-].O=P([O-])([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
5,71.2620,Q8ZIL4,Carbamoyl-phosphate synthase large chain,Yersinia pestis OX=632,9.0,MNXR96486,-,6.3.4.16;6.3.5.5,3.0,0.0,0.61124,1.0,1,0.805620,51.7,20.6,11.9,17.2,118244.25,4.9473,43.825,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.O=S(=O)([O-])S.[H+]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=S(=O)([O-])S.[H]O[H],[NH4+].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=C([O-])O>>NC(=O)OP(=O)([O-])[O-].O=P([O-])([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
6,71.2620,Q6D0C8,Carbamoyl-phosphate synthase small chain,Pectobacterium atrosepticum (strain SCRI 1043 / ATCC BAA-672) OX=218491,9.0,MNXR96486,-,6.3.4.16;6.3.5.5,3.0,0.0,0.61124,1.0,1,0.805620,36.3,26.2,17.2,24.6,41488.01,5.8645,44.503,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.O=S(=O)([O-])S.[H+]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=S(=O)([O-])S.[H]O[H],[NH4+].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=C([O-])O>>NC(=O)OP(=O)([O-])[O-].O=P([O-])([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
7,70.2620,Q8K9Z7,Carbamoyl-phosphate synthase large chain,Buchnera aphidicola subsp. Schizaphis graminum (strain Sg) OX=198804,10.0,MNXR96486,-,6.3.4.16;6.3.5.5,3.0,0.0,0.61124,1.0,1,0.805620,44.9,24.0,16.5,16.1,120089.91,7.4261,45.775,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.O=S(=O)([O-])S.[H+]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=S(=O)([O-])S.[H]O[H],[NH4+].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=C([O-])O>>NC(=O)OP(=O)([O-])[O-].O=P([O-])([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
8,70.2620,P59448,Carbamoyl-phosphate synthase large chain,Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp) OX=224915,10.0,MNXR96486,-,6.3.4.16;6.3.5.5,3.0,0.0,0.61124,1.0,1,0.805620,43.2,25.0,16.4,16.9,120060.03,8.8420,47.770,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.O=S(=O)([O-])S.[H+]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=S(=O)([O-])S.[H]O[H],[NH4+].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=C([O-])O>>NC(=O)OP(=O)([O-])[O-].O=P([O-])([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
9,70.2620,Q7N8W2,Carbamoyl-phosphate synthase small chain,Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) OX=243265,10.0,MNXR96486,-,6.3.4.16;6.3.5.5,3.0,0.0,0.61124,1.0,1,0.805620,43.1,23.7,17.5,19.9,42415.40,6.5620,45.478,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.O=S(=O)([O-])S.[H+]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=S(=O)([O-])S.[H]O[H],[NH4+].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=C([O-])O>>NC(=O)OP(=O)([O-])[O-].O=P([O-])([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
10,70.2620,Q8K9Z6,Carbamoyl-phosphate synthase small chain,Buchnera aphidicola subsp. Schizaphis graminum (strain Sg) OX=198804,10.0,MNXR96486,-,6.3.4.16;6.3.5.5,3.0,0.0,0.61124,1.0,1,0.805620,32.5,29.5,22.0,20.3,42790.24,9.7885,48.831,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.O=S(=O)([O-])S.[H+]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=S(=O)([O-])S.[H]O[H],[NH4+].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=C([O-])O>>NC(=O)OP(=O)([O-])[O-].O=P([O-])([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
11,70.2620,P57245,Carbamoyl-phosphate synthase small chain,Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) OX=107806,10.0,MNXR96486,-,6.3.4.16;6.3.5.5,3.0,0.0,0.61124,1.0,1,0.805620,22.1,36.9,21.6,23.7,43020.15,9.6164,49.354,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.O=S(=O)([O-])S.[H+]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=S(=O)([O-])S.[H]O[H],[NH4+].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=C([O-])O>>NC(=O)OP(=O)([O-])[O-].O=P([O-])([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
