,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,98.900000,P0A9P0,Dihydrolipoyl dehydrogenase,Escherichia coli (strain K12) OX=83333,1.0,MNXR182431,MNXR176990_0.900907514138089_0.9999999999999998|MNXR176991_0.900907514138089_0.9999999999999998|MNXR182427_0.900907514138089_0.9999999999999998|MNXR182429_0.900907514138089_0.9999999999999998|MNXR122011_0.89905334856281_0.9999999999999998|MNXR115001_0.8133918153992246_0.9999999999999998|MNXR122405_0.8133918153992246_0.9999999999999998|MNXR182403_0.7873571442442576_0.9999999999999998|MNXR182430_0.7873571442442576_0.9999999999999998|MNXR173981_0.7781370531099994_0.9999999999999998|MNXR111220_0.6640435945015707_0.9999999999999998|MNXR144966_0.6640435945015707_0.9999999999999998|MNXR144967_0.6640435945015707_0.9999999999999998|MNXR144969_0.6640435945015707_0.9999999999999998|MNXR150329_0.6640435945015707_0.9999999999999998|MNXR150330_0.6640435945015707_0.9999999999999998|MNXR173530_0.6640435945015707_0.9999999999999998|MNXR182504_0.6526721803706103_0.9999999999999998|MNXR144968_0.6272637294443385_0.9999999999999998|MNXR100066_0.6342057748460911_0.9427670709940762|MNXR144009_0.6342057748460911_0.9427670709940762|MNXR172872_0.6342057748460911_0.9427670709940762|MNXR179972_0.6342057748460911_0.9427670709940762|MNXR194765_0.5694951135171303_0.9999999999999998,1.8.1.4,1.0,0.0,1.00000,1.000000,1,1.000000,52.0,22.7,11.6,17.2,50688.49,6.0754,40.717,*CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N*.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>*CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+]*.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[*]CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+][*]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[*]CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N[*]
2,96.700000,P0A9P2,Dihydrolipoyl dehydrogenase,Escherichia coli O157:H7 OX=83334,3.0,MNXR182431,MNXR176990_0.900907514138089_0.9999999999999998|MNXR176991_0.900907514138089_0.9999999999999998|MNXR182427_0.900907514138089_0.9999999999999998|MNXR182429_0.900907514138089_0.9999999999999998|MNXR122011_0.89905334856281_0.9999999999999998|MNXR115001_0.8133918153992246_0.9999999999999998|MNXR122405_0.8133918153992246_0.9999999999999998|MNXR182403_0.7873571442442576_0.9999999999999998|MNXR182430_0.7873571442442576_0.9999999999999998|MNXR173981_0.7781370531099994_0.9999999999999998|MNXR111220_0.6640435945015707_0.9999999999999998|MNXR144966_0.6640435945015707_0.9999999999999998|MNXR144967_0.6640435945015707_0.9999999999999998|MNXR144969_0.6640435945015707_0.9999999999999998|MNXR150329_0.6640435945015707_0.9999999999999998|MNXR150330_0.6640435945015707_0.9999999999999998|MNXR173530_0.6640435945015707_0.9999999999999998|MNXR182504_0.6526721803706103_0.9999999999999998|MNXR144968_0.6272637294443385_0.9999999999999998|MNXR100066_0.6342057748460911_0.9427670709940762|MNXR144009_0.6342057748460911_0.9427670709940762|MNXR172872_0.6342057748460911_0.9427670709940762|MNXR179972_0.6342057748460911_0.9427670709940762|MNXR194765_0.5694951135171303_0.9999999999999998,1.8.1.4,3.0,0.0,1.00000,1.000000,1,1.000000,52.0,22.7,11.6,17.2,50688.49,6.0754,40.717,*CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N*.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>*CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+]*.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[*]CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+][*]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[*]CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N[*]
3,96.700000,P0A9P1,Dihydrolipoyl dehydrogenase,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310,3.0,MNXR182431,MNXR176990_0.900907514138089_0.9999999999999998|MNXR176991_0.900907514138089_0.9999999999999998|MNXR182427_0.900907514138089_0.9999999999999998|MNXR182429_0.900907514138089_0.9999999999999998|MNXR122011_0.89905334856281_0.9999999999999998|MNXR115001_0.8133918153992246_0.9999999999999998|MNXR122405_0.8133918153992246_0.9999999999999998|MNXR182403_0.7873571442442576_0.9999999999999998|MNXR182430_0.7873571442442576_0.9999999999999998|MNXR173981_0.7781370531099994_0.9999999999999998|MNXR111220_0.6640435945015707_0.9999999999999998|MNXR144966_0.6640435945015707_0.9999999999999998|MNXR144967_0.6640435945015707_0.9999999999999998|MNXR144969_0.6640435945015707_0.9999999999999998|MNXR150329_0.6640435945015707_0.9999999999999998|MNXR150330_0.6640435945015707_0.9999999999999998|MNXR173530_0.6640435945015707_0.9999999999999998|MNXR182504_0.6526721803706103_0.9999999999999998|MNXR144968_0.6272637294443385_0.9999999999999998|MNXR100066_0.6342057748460911_0.9427670709940762|MNXR144009_0.6342057748460911_0.9427670709940762|MNXR172872_0.6342057748460911_0.9427670709940762|MNXR179972_0.6342057748460911_0.9427670709940762|MNXR194765_0.5694951135171303_0.9999999999999998,1.8.1.4,3.0,0.0,1.00000,1.000000,1,1.000000,52.0,22.7,11.6,17.2,50688.49,6.0754,40.717,*CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N*.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>*CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+]*.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[*]CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+][*]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[*]CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N[*]
4,93.700000,P0A9P3,Dihydrolipoyl dehydrogenase,Shigella flexneri OX=623,6.0,MNXR182431,MNXR176990_0.900907514138089_0.9999999999999998|MNXR176991_0.900907514138089_0.9999999999999998|MNXR182427_0.900907514138089_0.9999999999999998|MNXR182429_0.900907514138089_0.9999999999999998|MNXR122011_0.89905334856281_0.9999999999999998|MNXR115001_0.8133918153992246_0.9999999999999998|MNXR122405_0.8133918153992246_0.9999999999999998|MNXR182403_0.7873571442442576_0.9999999999999998|MNXR182430_0.7873571442442576_0.9999999999999998|MNXR173981_0.7781370531099994_0.9999999999999998|MNXR111220_0.6640435945015707_0.9999999999999998|MNXR144966_0.6640435945015707_0.9999999999999998|MNXR144967_0.6640435945015707_0.9999999999999998|MNXR144969_0.6640435945015707_0.9999999999999998|MNXR150329_0.6640435945015707_0.9999999999999998|MNXR150330_0.6640435945015707_0.9999999999999998|MNXR173530_0.6640435945015707_0.9999999999999998|MNXR182504_0.6526721803706103_0.9999999999999998|MNXR144968_0.6272637294443385_0.9999999999999998|MNXR100066_0.6342057748460911_0.9427670709940762|MNXR144009_0.6342057748460911_0.9427670709940762|MNXR172872_0.6342057748460911_0.9427670709940762|MNXR179972_0.6342057748460911_0.9427670709940762|MNXR194765_0.5694951135171303_0.9999999999999998,1.8.1.4,3.0,0.0,1.00000,1.000000,1,1.000000,52.0,22.7,11.6,17.2,50688.49,6.0754,40.717,*CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N*.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>*CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+]*.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[*]CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+][*]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[*]CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N[*]
5,89.700000,Q89AQ8,Dihydrolipoyl dehydrogenase,Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp) OX=224915,10.0,MNXR182431,MNXR176990_0.900907514138089_0.9999999999999998|MNXR176991_0.900907514138089_0.9999999999999998|MNXR182427_0.900907514138089_0.9999999999999998|MNXR182429_0.900907514138089_0.9999999999999998|MNXR122011_0.89905334856281_0.9999999999999998|MNXR115001_0.8133918153992246_0.9999999999999998|MNXR122405_0.8133918153992246_0.9999999999999998|MNXR182403_0.7873571442442576_0.9999999999999998|MNXR182430_0.7873571442442576_0.9999999999999998|MNXR173981_0.7781370531099994_0.9999999999999998|MNXR111220_0.6640435945015707_0.9999999999999998|MNXR144966_0.6640435945015707_0.9999999999999998|MNXR144967_0.6640435945015707_0.9999999999999998|MNXR144969_0.6640435945015707_0.9999999999999998|MNXR150329_0.6640435945015707_0.9999999999999998|MNXR150330_0.6640435945015707_0.9999999999999998|MNXR173530_0.6640435945015707_0.9999999999999998|MNXR182504_0.6526721803706103_0.9999999999999998|MNXR144968_0.6272637294443385_0.9999999999999998|MNXR100066_0.6342057748460911_0.9427670709940762|MNXR144009_0.6342057748460911_0.9427670709940762|MNXR172872_0.6342057748460911_0.9427670709940762|MNXR179972_0.6342057748460911_0.9427670709940762|MNXR194765_0.5694951135171303_0.9999999999999998,1.8.1.4,3.0,0.0,1.00000,1.000000,1,1.000000,32.0,34.4,20.0,17.0,52408.64,7.9669,44.632,*CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N*.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>*CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+]*.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[*]CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+][*]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[*]CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N[*]
6,89.700000,Q8K9T7,Dihydrolipoyl dehydrogenase,Buchnera aphidicola subsp. Schizaphis graminum (strain Sg) OX=198804,10.0,MNXR182431,MNXR176990_0.900907514138089_0.9999999999999998|MNXR176991_0.900907514138089_0.9999999999999998|MNXR182427_0.900907514138089_0.9999999999999998|MNXR182429_0.900907514138089_0.9999999999999998|MNXR122011_0.89905334856281_0.9999999999999998|MNXR115001_0.8133918153992246_0.9999999999999998|MNXR122405_0.8133918153992246_0.9999999999999998|MNXR182403_0.7873571442442576_0.9999999999999998|MNXR182430_0.7873571442442576_0.9999999999999998|MNXR173981_0.7781370531099994_0.9999999999999998|MNXR111220_0.6640435945015707_0.9999999999999998|MNXR144966_0.6640435945015707_0.9999999999999998|MNXR144967_0.6640435945015707_0.9999999999999998|MNXR144969_0.6640435945015707_0.9999999999999998|MNXR150329_0.6640435945015707_0.9999999999999998|MNXR150330_0.6640435945015707_0.9999999999999998|MNXR173530_0.6640435945015707_0.9999999999999998|MNXR182504_0.6526721803706103_0.9999999999999998|MNXR144968_0.6272637294443385_0.9999999999999998|MNXR100066_0.6342057748460911_0.9427670709940762|MNXR144009_0.6342057748460911_0.9427670709940762|MNXR172872_0.6342057748460911_0.9427670709940762|MNXR179972_0.6342057748460911_0.9427670709940762|MNXR194765_0.5694951135171303_0.9999999999999998,1.8.1.4,3.0,0.0,1.00000,1.000000,1,1.000000,48.7,21.1,15.0,18.7,52187.25,7.1711,47.059,*CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N*.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>*CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+]*.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[*]CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+][*]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[*]CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N[*]
7,89.700000,P57303,Dihydrolipoyl dehydrogenase,Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) OX=107806,10.0,MNXR182431,MNXR176990_0.900907514138089_0.9999999999999998|MNXR176991_0.900907514138089_0.9999999999999998|MNXR182427_0.900907514138089_0.9999999999999998|MNXR182429_0.900907514138089_0.9999999999999998|MNXR122011_0.89905334856281_0.9999999999999998|MNXR115001_0.8133918153992246_0.9999999999999998|MNXR122405_0.8133918153992246_0.9999999999999998|MNXR182403_0.7873571442442576_0.9999999999999998|MNXR182430_0.7873571442442576_0.9999999999999998|MNXR173981_0.7781370531099994_0.9999999999999998|MNXR111220_0.6640435945015707_0.9999999999999998|MNXR144966_0.6640435945015707_0.9999999999999998|MNXR144967_0.6640435945015707_0.9999999999999998|MNXR144969_0.6640435945015707_0.9999999999999998|MNXR150329_0.6640435945015707_0.9999999999999998|MNXR150330_0.6640435945015707_0.9999999999999998|MNXR173530_0.6640435945015707_0.9999999999999998|MNXR182504_0.6526721803706103_0.9999999999999998|MNXR144968_0.6272637294443385_0.9999999999999998|MNXR100066_0.6342057748460911_0.9427670709940762|MNXR144009_0.6342057748460911_0.9427670709940762|MNXR172872_0.6342057748460911_0.9427670709940762|MNXR179972_0.6342057748460911_0.9427670709940762|MNXR194765_0.5694951135171303_0.9999999999999998,1.8.1.4,3.0,0.0,1.00000,1.000000,1,1.000000,38.5,30.6,18.6,15.8,51955.22,8.3564,45.032,*CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N*.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>*CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+]*.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[*]CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+][*]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[*]CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N[*]
8,88.900000,P14218,Dihydrolipoyl dehydrogenase,Pseudomonas fluorescens OX=294,11.0,MNXR182431,MNXR176990_0.900907514138089_0.9999999999999998|MNXR176991_0.900907514138089_0.9999999999999998|MNXR182427_0.900907514138089_0.9999999999999998|MNXR182429_0.900907514138089_0.9999999999999998|MNXR122011_0.89905334856281_0.9999999999999998|MNXR115001_0.8133918153992246_0.9999999999999998|MNXR122405_0.8133918153992246_0.9999999999999998|MNXR182403_0.7873571442442576_0.9999999999999998|MNXR182430_0.7873571442442576_0.9999999999999998|MNXR173981_0.7781370531099994_0.9999999999999998|MNXR111220_0.6640435945015707_0.9999999999999998|MNXR144966_0.6640435945015707_0.9999999999999998|MNXR144967_0.6640435945015707_0.9999999999999998|MNXR144969_0.6640435945015707_0.9999999999999998|MNXR150329_0.6640435945015707_0.9999999999999998|MNXR150330_0.6640435945015707_0.9999999999999998|MNXR173530_0.6640435945015707_0.9999999999999998|MNXR182504_0.6526721803706103_0.9999999999999998|MNXR144968_0.6272637294443385_0.9999999999999998|MNXR100066_0.6342057748460911_0.9427670709940762|MNXR144009_0.6342057748460911_0.9427670709940762|MNXR172872_0.6342057748460911_0.9427670709940762|MNXR179972_0.6342057748460911_0.9427670709940762|MNXR194765_0.5694951135171303_0.9999999999999998,1.8.1.4,1.0,0.0,1.00000,1.000000,1,1.000000,52.8,29.4,7.4,13.9,50150.89,6.9614,40.167,*CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N*.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>*CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+]*.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[*]CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+][*]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[*]CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N[*]
9,88.900000,P31046,Dihydrolipoyl dehydrogenase 3,Pseudomonas putida OX=303,11.0,MNXR182431,MNXR176990_0.900907514138089_0.9999999999999998|MNXR176991_0.900907514138089_0.9999999999999998|MNXR182427_0.900907514138089_0.9999999999999998|MNXR182429_0.900907514138089_0.9999999999999998|MNXR122011_0.89905334856281_0.9999999999999998|MNXR115001_0.8133918153992246_0.9999999999999998|MNXR122405_0.8133918153992246_0.9999999999999998|MNXR182403_0.7873571442442576_0.9999999999999998|MNXR182430_0.7873571442442576_0.9999999999999998|MNXR173981_0.7781370531099994_0.9999999999999998|MNXR111220_0.6640435945015707_0.9999999999999998|MNXR144966_0.6640435945015707_0.9999999999999998|MNXR144967_0.6640435945015707_0.9999999999999998|MNXR144969_0.6640435945015707_0.9999999999999998|MNXR150329_0.6640435945015707_0.9999999999999998|MNXR150330_0.6640435945015707_0.9999999999999998|MNXR173530_0.6640435945015707_0.9999999999999998|MNXR182504_0.6526721803706103_0.9999999999999998|MNXR144968_0.6272637294443385_0.9999999999999998|MNXR100066_0.6342057748460911_0.9427670709940762|MNXR144009_0.6342057748460911_0.9427670709940762|MNXR172872_0.6342057748460911_0.9427670709940762|MNXR179972_0.6342057748460911_0.9427670709940762|MNXR194765_0.5694951135171303_0.9999999999999998,1.8.1.4,1.0,0.0,1.00000,1.000000,1,1.000000,44.2,28.4,12.9,18.0,49256.55,5.8812,41.202,*CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N*.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>*CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+]*.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[*]CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+][*]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[*]CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N[*]
10,88.900000,P18925,Dihydrolipoyl dehydrogenase,Azotobacter vinelandii OX=354 PE=1 SV=1,11.0,MNXR182431,MNXR176990_0.900907514138089_0.9999999999999998|MNXR176991_0.900907514138089_0.9999999999999998|MNXR182427_0.900907514138089_0.9999999999999998|MNXR182429_0.900907514138089_0.9999999999999998|MNXR122011_0.89905334856281_0.9999999999999998|MNXR115001_0.8133918153992246_0.9999999999999998|MNXR122405_0.8133918153992246_0.9999999999999998|MNXR182403_0.7873571442442576_0.9999999999999998|MNXR182430_0.7873571442442576_0.9999999999999998|MNXR173981_0.7781370531099994_0.9999999999999998|MNXR111220_0.6640435945015707_0.9999999999999998|MNXR144966_0.6640435945015707_0.9999999999999998|MNXR144967_0.6640435945015707_0.9999999999999998|MNXR144969_0.6640435945015707_0.9999999999999998|MNXR150329_0.6640435945015707_0.9999999999999998|MNXR150330_0.6640435945015707_0.9999999999999998|MNXR173530_0.6640435945015707_0.9999999999999998|MNXR182504_0.6526721803706103_0.9999999999999998|MNXR144968_0.6272637294443385_0.9999999999999998|MNXR100066_0.6342057748460911_0.9427670709940762|MNXR144009_0.6342057748460911_0.9427670709940762|MNXR172872_0.6342057748460911_0.9427670709940762|MNXR179972_0.6342057748460911_0.9427670709940762|MNXR194765_0.5694951135171303_0.9999999999999998,1.8.1.4,1.0,0.0,1.00000,1.000000,1,1.000000,52.7,33.0,6.5,11.3,49567.13,6.3837,38.784,*CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N*.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>*CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+]*.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[*]CC(=O)[C@H](CCCCNC(=O)CCCCC(S)CCS)[NH2+][*]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[*]CC(=O)C(CCCCNC(=O)CCCC[C@H]1CCSS1)N[*]
