,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,65.655694,P0ADG7,Inosine-5'-monophosphate dehydrogenase,Escherichia coli (strain K12) OX=83333,1.0,MNXR130285,MNXR130282_0.765186682220009_0.4668290680171189|MNXR130284_0.7453559924999299_0.27854487849338283|MNXR144333_0.7768319618570716_0.21311820601915132|MNXR188253_0.765186682220009_0.21311820601915132,1.1.1.205,1.0,0.0,0.77644,0.558674,-1,0.667558,47.9,24.2,14.4,16.9,52022.45,6.3685,44.262,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>N=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(O)nc(=N)[nH]c54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2[O-])c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H],O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>CC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
2,63.455694,P0ADG8,Inosine-5'-monophosphate dehydrogenase,Escherichia coli O157:H7 OX=83334,3.0,MNXR130285,MNXR130282_0.765186682220009_0.4668290680171189|MNXR130284_0.7453559924999299_0.27854487849338283|MNXR144333_0.7768319618570716_0.21311820601915132|MNXR188253_0.765186682220009_0.21311820601915132,1.1.1.205,3.0,0.0,0.77644,0.558674,-1,0.667558,47.9,24.2,14.4,16.9,52022.45,6.3685,44.262,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>N=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(O)nc(=N)[nH]c54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2[O-])c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H],O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>CC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
3,60.455694,P0ADG9,Inosine-5'-monophosphate dehydrogenase,Shigella flexneri OX=623,6.0,MNXR130285,MNXR130282_0.765186682220009_0.4668290680171189|MNXR130284_0.7453559924999299_0.27854487849338283|MNXR144333_0.7768319618570716_0.21311820601915132|MNXR188253_0.765186682220009_0.21311820601915132,1.1.1.205,3.0,0.0,0.77644,0.558674,-1,0.667558,47.9,24.2,14.4,16.9,52022.45,6.3685,44.262,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>N=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(O)nc(=N)[nH]c54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2[O-])c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H],O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>CC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
4,57.455694,Q0WD32,Inosine-5'-monophosphate dehydrogenase,Yersinia pestis OX=632,9.0,MNXR130285,MNXR130282_0.765186682220009_0.4668290680171189|MNXR130284_0.7453559924999299_0.27854487849338283|MNXR144333_0.7768319618570716_0.21311820601915132|MNXR188253_0.765186682220009_0.21311820601915132,1.1.1.205,3.0,0.0,0.77644,0.558674,-1,0.667558,46.7,25.9,12.5,18.3,51824.39,6.7447,44.148,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>N=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(O)nc(=N)[nH]c54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2[O-])c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H],O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>CC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
5,55.455694,P44334,Inosine-5'-monophosphate dehydrogenase,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421,11.0,MNXR130285,MNXR130282_0.765186682220009_0.4668290680171189|MNXR130284_0.7453559924999299_0.27854487849338283|MNXR144333_0.7768319618570716_0.21311820601915132|MNXR188253_0.765186682220009_0.21311820601915132,1.1.1.205,3.0,0.0,0.77644,0.558674,-1,0.667558,52.3,23.3,12.3,15.5,51980.92,8.2102,43.238,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>N=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(O)nc(=N)[nH]c54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2[O-])c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H],O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>CC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
6,55.455694,P31002,Inosine-5'-monophosphate dehydrogenase,Acinetobacter calcoaceticus OX=471,11.0,MNXR130285,MNXR130282_0.765186682220009_0.4668290680171189|MNXR130284_0.7453559924999299_0.27854487849338283|MNXR144333_0.7768319618570716_0.21311820601915132|MNXR188253_0.765186682220009_0.21311820601915132,1.1.1.205,3.0,0.0,0.77644,0.558674,-1,0.667558,36.2,34.1,11.4,21.6,51530.14,6.6459,42.008,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>N=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(O)nc(=N)[nH]c54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2[O-])c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H],O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>CC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
7,54.455694,Q9L6B7,Inosine-5'-monophosphate dehydrogenase,Pasteurella multocida (strain Pm70) OX=272843,12.0,MNXR130285,MNXR130282_0.765186682220009_0.4668290680171189|MNXR130284_0.7453559924999299_0.27854487849338283|MNXR144333_0.7768319618570716_0.21311820601915132|MNXR188253_0.765186682220009_0.21311820601915132,1.1.1.205,3.0,0.0,0.77644,0.558674,-1,0.667558,47.8,26.1,13.2,16.3,52007.84,8.2148,44.148,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>N=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(O)nc(=N)[nH]c54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2[O-])c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H],O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>CC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
8,53.455694,Q9KH33,Inosine-5'-monophosphate dehydrogenase,Rhizobium tropici OX=398,13.0,MNXR130285,MNXR130282_0.765186682220009_0.4668290680171189|MNXR130284_0.7453559924999299_0.27854487849338283|MNXR144333_0.7768319618570716_0.21311820601915132|MNXR188253_0.765186682220009_0.21311820601915132,1.1.1.205,3.0,0.0,0.77644,0.558674,-1,0.667558,45.6,29.3,8.7,19.7,52852.83,7.0203,42.570,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>N=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(O)nc(=N)[nH]c54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2[O-])c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H],O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>CC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
9,51.655694,P49058,Inosine-5'-monophosphate dehydrogenase,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31) OX=224326,15.0,MNXR130285,MNXR130282_0.765186682220009_0.4668290680171189|MNXR130284_0.7453559924999299_0.27854487849338283|MNXR144333_0.7768319618570716_0.21311820601915132|MNXR188253_0.765186682220009_0.21311820601915132,1.1.1.205,1.0,0.0,0.77644,0.558674,-1,0.667558,46.6,26.0,13.1,18.3,43767.56,8.5413,48.020,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>N=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(O)nc(=N)[nH]c54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2[O-])c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H],O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>CC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
10,51.655694,P0C0H6,Inosine-5'-monophosphate dehydrogenase,Streptococcus pyogenes OX=1314,15.0,MNXR130285,MNXR130282_0.765186682220009_0.4668290680171189|MNXR130284_0.7453559924999299_0.27854487849338283|MNXR144333_0.7768319618570716_0.21311820601915132|MNXR188253_0.765186682220009_0.21311820601915132,1.1.1.205,1.0,0.0,0.77644,0.558674,-1,0.667558,48.6,24.3,11.3,19.1,52807.22,5.8761,42.596,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>N=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(O)nc(=N)[nH]c54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2[O-])c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H],O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1>>CC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
