,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,50.840068,P33644,Purine nucleoside phosphorylase YfiH,Escherichia coli (strain K12) OX=83333,1.0,MNXR118608,-,2.4.2.28,1.0,0.0,0.38920,0.649601,1,0.519400,33.9,27.3,25.6,20.3,26338.93,6.6525,39.918,C[C@H]1O[C@@H](N2C=C(F)C(=O)NC2=O)[C@H](O)[C@@H]1O.O=P([O-])(O)O>>C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O.O=C1[N-]C(=O)C(F)=CN1,Nc1ncnc2[nH]cnc12.C[C@H]1O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H]1O>>C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.O=P([O-])([O-])O
2,48.014960,B6I3L9,Orotate phosphoribosyltransferase,Escherichia coli (strain SE11) OX=409438,3.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.33938,0.686919,-1,0.513148,54.3,24.4,14.2,15.2,23567.00,5.1491,41.784,C[C@H]1O[C@@H](N2C=C(F)C(=O)NC2=O)[C@H](O)[C@@H]1O.O=P([O-])(O)O>>C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O.O=C1[N-]C(=O)C(F)=CN1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
3,48.014960,B1IYV8,Orotate phosphoribosyltransferase,Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks) OX=481805,3.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.33938,0.686919,-1,0.513148,53.3,24.4,14.7,15.7,23567.00,5.1491,41.784,C[C@H]1O[C@@H](N2C=C(F)C(=O)NC2=O)[C@H](O)[C@@H]1O.O=P([O-])(O)O>>C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O.O=C1[N-]C(=O)C(F)=CN1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
4,48.014960,B7MFK3,Orotate phosphoribosyltransferase,Escherichia coli O45:K1 (strain S88 / ExPEC) OX=585035,3.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.33938,0.686919,-1,0.513148,53.8,23.9,14.7,15.7,23581.02,5.1491,41.784,C[C@H]1O[C@@H](N2C=C(F)C(=O)NC2=O)[C@H](O)[C@@H]1O.O=P([O-])(O)O>>C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O.O=C1[N-]C(=O)C(F)=CN1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
5,47.014960,B5YWE0,Orotate phosphoribosyltransferase,Escherichia coli O157:H7 (strain EC4115 / EHEC) OX=444450,4.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.33938,0.686919,-1,0.513148,53.8,24.4,14.2,15.7,23536.97,5.1491,41.315,C[C@H]1O[C@@H](N2C=C(F)C(=O)NC2=O)[C@H](O)[C@@H]1O.O=P([O-])(O)O>>C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O.O=C1[N-]C(=O)C(F)=CN1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
6,47.014960,A7ZTJ3,Orotate phosphoribosyltransferase,Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111,4.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.33938,0.686919,-1,0.513148,54.3,24.4,14.2,15.2,23567.00,5.1491,41.784,C[C@H]1O[C@@H](N2C=C(F)C(=O)NC2=O)[C@H](O)[C@@H]1O.O=P([O-])(O)O>>C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O.O=C1[N-]C(=O)C(F)=CN1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
7,45.840068,A0A384KG77,Purine nucleoside phosphorylase YfiH,Shigella flexneri OX=623,6.0,MNXR118608,-,2.4.2.28,1.0,0.0,0.38920,0.649601,1,0.519400,37.4,25.1,26.0,18.5,26380.11,6.9827,39.506,C[C@H]1O[C@@H](N2C=C(F)C(=O)NC2=O)[C@H](O)[C@@H]1O.O=P([O-])(O)O>>C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O.O=C1[N-]C(=O)C(F)=CN1,Nc1ncnc2[nH]cnc12.C[C@H]1O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H]1O>>C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.O=P([O-])([O-])O
8,44.014960,Q31UY4,Orotate phosphoribosyltransferase,Shigella boydii serotype 4 (strain Sb227) OX=300268,7.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.33938,0.686919,-1,0.513148,53.8,24.4,14.2,15.7,23536.97,5.1491,41.315,C[C@H]1O[C@@H](N2C=C(F)C(=O)NC2=O)[C@H](O)[C@@H]1O.O=P([O-])(O)O>>C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O.O=C1[N-]C(=O)C(F)=CN1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
9,44.014960,B2TTV6,Orotate phosphoribosyltransferase,Shigella boydii serotype 18 (strain CDC 3083-94 / BS512) OX=344609,7.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.33938,0.686919,-1,0.513148,53.8,24.4,14.2,15.7,23536.97,5.1491,41.315,C[C@H]1O[C@@H](N2C=C(F)C(=O)NC2=O)[C@H](O)[C@@H]1O.O=P([O-])(O)O>>C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O.O=C1[N-]C(=O)C(F)=CN1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
10,43.014960,Q0SYG9,Orotate phosphoribosyltransferase,Shigella flexneri serotype 5b (strain 8401) OX=373384,8.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.33938,0.686919,-1,0.513148,52.8,24.9,15.2,15.2,23566.06,5.7275,41.784,C[C@H]1O[C@@H](N2C=C(F)C(=O)NC2=O)[C@H](O)[C@@H]1O.O=P([O-])(O)O>>C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O.O=C1[N-]C(=O)C(F)=CN1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
