,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,48.037208,Q54GQ6,Peroxisomal acyl-coenzyme A oxidase 1,Dictyostelium discoideum OX=44689,18.0,MNXR152839,MNXR152841_0.7220910171646747_0.5835758762076789|MNXR152835_0.7178804342015281_0.5796885402959693|MNXR189504_0.7064646494202383_0.5835758762076789|MNXR181034_0.692074900967512_0.5835758762076789|MNXR152834_0.6975176105866358_0.5696866613653971|MNXR167786_0.6787818184797777_0.5835758762076789|MNXR190406_0.6664657731185968_0.5835758762076789|MNXR151473_0.6780291880333476_0.5458749627777909|MNXR132782_0.6389002201001059_0.5319650053004681|MNXR151215_0.6594530134184419_0.4968649347274417|MNXR116657_0.6276716473987963_0.5|MNXR175885_0.6276716473987963_0.5|MNXR132773_0.5938495166584408_0.5319650053004681|MNXR167556_0.6209385159733143_0.5|MNXR117603_0.6154715440573977_0.5|MNXR175252_0.6057454306979917_0.5|MNXR179700_0.6263446284808168_0.43636586575839814|MNXR116480_0.5870598727698786_0.4723332206568855,1.3.3.6,3.0,0.0,0.74253,0.584214,-1,0.663371,28.7,29.8,22.1,21.8,79761.54,7.0801,51.571,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>C/C=C\CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>OO.CCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
2,45.037208,Q9Y7B1,Acyl-coenzyme A oxidase,Komagataella pastoris OX=4922,21.0,MNXR152839,MNXR152841_0.7220910171646747_0.5835758762076789|MNXR152835_0.7178804342015281_0.5796885402959693|MNXR189504_0.7064646494202383_0.5835758762076789|MNXR181034_0.692074900967512_0.5835758762076789|MNXR152834_0.6975176105866358_0.5696866613653971|MNXR167786_0.6787818184797777_0.5835758762076789|MNXR190406_0.6664657731185968_0.5835758762076789|MNXR151473_0.6780291880333476_0.5458749627777909|MNXR132782_0.6389002201001059_0.5319650053004681|MNXR151215_0.6594530134184419_0.4968649347274417|MNXR116657_0.6276716473987963_0.5|MNXR175885_0.6276716473987963_0.5|MNXR132773_0.5938495166584408_0.5319650053004681|MNXR167556_0.6209385159733143_0.5|MNXR117603_0.6154715440573977_0.5|MNXR175252_0.6057454306979917_0.5|MNXR179700_0.6263446284808168_0.43636586575839814|MNXR116480_0.5870598727698786_0.4723332206568855,1.3.3.6,3.0,0.0,0.74253,0.584214,-1,0.663371,43.0,25.7,15.2,18.3,80519.19,8.7967,47.149,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>C/C=C\CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>OO.CCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3,44.237208,O74934,Acyl-coenzyme A oxidase 1,Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591,22.0,MNXR152839,MNXR152841_0.7220910171646747_0.5835758762076789|MNXR152835_0.7178804342015281_0.5796885402959693|MNXR189504_0.7064646494202383_0.5835758762076789|MNXR181034_0.692074900967512_0.5835758762076789|MNXR152834_0.6975176105866358_0.5696866613653971|MNXR167786_0.6787818184797777_0.5835758762076789|MNXR190406_0.6664657731185968_0.5835758762076789|MNXR151473_0.6780291880333476_0.5458749627777909|MNXR132782_0.6389002201001059_0.5319650053004681|MNXR151215_0.6594530134184419_0.4968649347274417|MNXR116657_0.6276716473987963_0.5|MNXR175885_0.6276716473987963_0.5|MNXR132773_0.5938495166584408_0.5319650053004681|MNXR167556_0.6209385159733143_0.5|MNXR117603_0.6154715440573977_0.5|MNXR175252_0.6057454306979917_0.5|MNXR179700_0.6263446284808168_0.43636586575839814|MNXR116480_0.5870598727698786_0.4723332206568855,1.3.3.6,1.0,0.0,0.74253,0.584214,-1,0.663371,34.9,25.9,21.2,20.4,77281.76,6.9324,47.605,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>C/C=C\CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>OO.CCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
4,44.237208,O74936,Acyl-coenzyme A oxidase 3,Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591,22.0,MNXR152839,MNXR152841_0.7220910171646747_0.5835758762076789|MNXR152835_0.7178804342015281_0.5796885402959693|MNXR189504_0.7064646494202383_0.5835758762076789|MNXR181034_0.692074900967512_0.5835758762076789|MNXR152834_0.6975176105866358_0.5696866613653971|MNXR167786_0.6787818184797777_0.5835758762076789|MNXR190406_0.6664657731185968_0.5835758762076789|MNXR151473_0.6780291880333476_0.5458749627777909|MNXR132782_0.6389002201001059_0.5319650053004681|MNXR151215_0.6594530134184419_0.4968649347274417|MNXR116657_0.6276716473987963_0.5|MNXR175885_0.6276716473987963_0.5|MNXR132773_0.5938495166584408_0.5319650053004681|MNXR167556_0.6209385159733143_0.5|MNXR117603_0.6154715440573977_0.5|MNXR175252_0.6057454306979917_0.5|MNXR179700_0.6263446284808168_0.43636586575839814|MNXR116480_0.5870598727698786_0.4723332206568855,1.3.3.6,1.0,0.0,0.74253,0.584214,-1,0.663371,34.1,26.9,21.9,19.4,78009.69,6.6734,45.143,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>C/C=C\CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>OO.CCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
5,44.237208,O74935,Acyl-coenzyme A oxidase 2,Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591,22.0,MNXR152839,MNXR152841_0.7220910171646747_0.5835758762076789|MNXR152835_0.7178804342015281_0.5796885402959693|MNXR189504_0.7064646494202383_0.5835758762076789|MNXR181034_0.692074900967512_0.5835758762076789|MNXR152834_0.6975176105866358_0.5696866613653971|MNXR167786_0.6787818184797777_0.5835758762076789|MNXR190406_0.6664657731185968_0.5835758762076789|MNXR151473_0.6780291880333476_0.5458749627777909|MNXR132782_0.6389002201001059_0.5319650053004681|MNXR151215_0.6594530134184419_0.4968649347274417|MNXR116657_0.6276716473987963_0.5|MNXR175885_0.6276716473987963_0.5|MNXR132773_0.5938495166584408_0.5319650053004681|MNXR167556_0.6209385159733143_0.5|MNXR117603_0.6154715440573977_0.5|MNXR175252_0.6057454306979917_0.5|MNXR179700_0.6263446284808168_0.43636586575839814|MNXR116480_0.5870598727698786_0.4723332206568855,1.3.3.6,1.0,0.0,0.74253,0.584214,-1,0.663371,39.0,21.9,20.0,21.3,78691.09,5.5899,46.143,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>C/C=C\CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>OO.CCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
6,44.037208,P13711,Acyl-coenzyme A oxidase,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292,22.0,MNXR152839,MNXR152841_0.7220910171646747_0.5835758762076789|MNXR152835_0.7178804342015281_0.5796885402959693|MNXR189504_0.7064646494202383_0.5835758762076789|MNXR181034_0.692074900967512_0.5835758762076789|MNXR152834_0.6975176105866358_0.5696866613653971|MNXR167786_0.6787818184797777_0.5835758762076789|MNXR190406_0.6664657731185968_0.5835758762076789|MNXR151473_0.6780291880333476_0.5458749627777909|MNXR132782_0.6389002201001059_0.5319650053004681|MNXR151215_0.6594530134184419_0.4968649347274417|MNXR116657_0.6276716473987963_0.5|MNXR175885_0.6276716473987963_0.5|MNXR132773_0.5938495166584408_0.5319650053004681|MNXR167556_0.6209385159733143_0.5|MNXR117603_0.6154715440573977_0.5|MNXR175252_0.6057454306979917_0.5|MNXR179700_0.6263446284808168_0.43636586575839814|MNXR116480_0.5870598727698786_0.4723332206568855,1.3.3.6,3.0,0.0,0.74253,0.584214,-1,0.663371,33.2,32.0,19.8,17.2,84042.18,8.6999,47.460,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>C/C=C\CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>OO.CCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
7,44.037208,Q756A9,Acyl-coenzyme A oxidase,Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) OX=284811,22.0,MNXR152839,MNXR152841_0.7220910171646747_0.5835758762076789|MNXR152835_0.7178804342015281_0.5796885402959693|MNXR189504_0.7064646494202383_0.5835758762076789|MNXR181034_0.692074900967512_0.5835758762076789|MNXR152834_0.6975176105866358_0.5696866613653971|MNXR167786_0.6787818184797777_0.5835758762076789|MNXR190406_0.6664657731185968_0.5835758762076789|MNXR151473_0.6780291880333476_0.5458749627777909|MNXR132782_0.6389002201001059_0.5319650053004681|MNXR151215_0.6594530134184419_0.4968649347274417|MNXR116657_0.6276716473987963_0.5|MNXR175885_0.6276716473987963_0.5|MNXR132773_0.5938495166584408_0.5319650053004681|MNXR167556_0.6209385159733143_0.5|MNXR117603_0.6154715440573977_0.5|MNXR175252_0.6057454306979917_0.5|MNXR179700_0.6263446284808168_0.43636586575839814|MNXR116480_0.5870598727698786_0.4723332206568855,1.3.3.6,3.0,0.0,0.74253,0.584214,-1,0.663371,37.2,26.6,20.1,18.3,81862.89,8.3173,45.020,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>C/C=C\CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>OO.CCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
8,44.037208,Q6CKK7,Acyl-coenzyme A oxidase,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) OX=284590,22.0,MNXR152839,MNXR152841_0.7220910171646747_0.5835758762076789|MNXR152835_0.7178804342015281_0.5796885402959693|MNXR189504_0.7064646494202383_0.5835758762076789|MNXR181034_0.692074900967512_0.5835758762076789|MNXR152834_0.6975176105866358_0.5696866613653971|MNXR167786_0.6787818184797777_0.5835758762076789|MNXR190406_0.6664657731185968_0.5835758762076789|MNXR151473_0.6780291880333476_0.5458749627777909|MNXR132782_0.6389002201001059_0.5319650053004681|MNXR151215_0.6594530134184419_0.4968649347274417|MNXR116657_0.6276716473987963_0.5|MNXR175885_0.6276716473987963_0.5|MNXR132773_0.5938495166584408_0.5319650053004681|MNXR167556_0.6209385159733143_0.5|MNXR117603_0.6154715440573977_0.5|MNXR175252_0.6057454306979917_0.5|MNXR179700_0.6263446284808168_0.43636586575839814|MNXR116480_0.5870598727698786_0.4723332206568855,1.3.3.6,3.0,0.0,0.74253,0.584214,-1,0.663371,39.4,26.9,18.5,17.4,83144.19,8.1187,48.777,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>C/C=C\CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>OO.CCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
9,44.037208,Q6FY63,Acyl-coenzyme A oxidase,Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) OX=284593,22.0,MNXR152839,MNXR152841_0.7220910171646747_0.5835758762076789|MNXR152835_0.7178804342015281_0.5796885402959693|MNXR189504_0.7064646494202383_0.5835758762076789|MNXR181034_0.692074900967512_0.5835758762076789|MNXR152834_0.6975176105866358_0.5696866613653971|MNXR167786_0.6787818184797777_0.5835758762076789|MNXR190406_0.6664657731185968_0.5835758762076789|MNXR151473_0.6780291880333476_0.5458749627777909|MNXR132782_0.6389002201001059_0.5319650053004681|MNXR151215_0.6594530134184419_0.4968649347274417|MNXR116657_0.6276716473987963_0.5|MNXR175885_0.6276716473987963_0.5|MNXR132773_0.5938495166584408_0.5319650053004681|MNXR167556_0.6209385159733143_0.5|MNXR117603_0.6154715440573977_0.5|MNXR175252_0.6057454306979917_0.5|MNXR179700_0.6263446284808168_0.43636586575839814|MNXR116480_0.5870598727698786_0.4723332206568855,1.3.3.6,3.0,0.0,0.74253,0.584214,-1,0.663371,29.9,30.7,22.7,18.9,84416.54,8.6924,47.326,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>C/C=C\CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>OO.CCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
10,43.137208,P06598,Acyl-coenzyme A oxidase 4,Candida tropicalis OX=5482,23.0,MNXR152839,MNXR152841_0.7220910171646747_0.5835758762076789|MNXR152835_0.7178804342015281_0.5796885402959693|MNXR189504_0.7064646494202383_0.5835758762076789|MNXR181034_0.692074900967512_0.5835758762076789|MNXR152834_0.6975176105866358_0.5696866613653971|MNXR167786_0.6787818184797777_0.5835758762076789|MNXR190406_0.6664657731185968_0.5835758762076789|MNXR151473_0.6780291880333476_0.5458749627777909|MNXR132782_0.6389002201001059_0.5319650053004681|MNXR151215_0.6594530134184419_0.4968649347274417|MNXR116657_0.6276716473987963_0.5|MNXR175885_0.6276716473987963_0.5|MNXR132773_0.5938495166584408_0.5319650053004681|MNXR167556_0.6209385159733143_0.5|MNXR117603_0.6154715440573977_0.5|MNXR175252_0.6057454306979917_0.5|MNXR179700_0.6263446284808168_0.43636586575839814|MNXR116480_0.5870598727698786_0.4723332206568855,1.3.3.6,2.0,0.0,0.74253,0.584214,-1,0.663371,33.0,26.6,21.1,21.6,79094.02,7.5122,47.250,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>C/C=C\CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>OO.CCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
