,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,NaN,Q10941,Putative UDP-glucuronosyltransferase ugt-46,Caenorhabditis elegans OX=6239,26.0,MNXR132327,MNXR130575_0.8192525494017228_nan|MNXR129979_0.8168531746482638_nan|MNXR132325_0.8144110179279556_nan|MNXR133622_0.8130599435941256_nan|MNXR130510_0.8124400681071361_nan|MNXR132263_0.8106904286404139_nan|MNXR133124_0.8055504628423993_nan|MNXR133101_0.8024183875189855_nan|MNXR132597_0.8008184603124657_nan|MNXR130461_0.7981488097412346_nan|MNXR118638_0.7919307347171469_nan,2.4.1.17,1.0,0.0,0.82645,NaN,1,0.826446,42.5,22.1,18.8,19.6,60204.12,7.3064,46.704,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.Oc1ccc(-c2ccccc2)cc1>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
2,NaN,A8WLF6,Putative UDP-glucuronosyltransferase ugt-47,Caenorhabditis briggsae OX=6238,26.0,MNXR132327,MNXR130575_0.8192525494017228_nan|MNXR129979_0.8168531746482638_nan|MNXR132325_0.8144110179279556_nan|MNXR133622_0.8130599435941256_nan|MNXR130510_0.8124400681071361_nan|MNXR132263_0.8106904286404139_nan|MNXR133124_0.8055504628423993_nan|MNXR133101_0.8024183875189855_nan|MNXR132597_0.8008184603124657_nan|MNXR130461_0.7981488097412346_nan|MNXR118638_0.7919307347171469_nan,2.4.1.17,3.0,0.0,0.82645,NaN,1,0.826446,35.2,25.8,19.0,23.1,60621.03,6.7939,43.097,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.Oc1ccc(-c2ccccc2)cc1>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
3,NaN,Q22180,Putative UDP-glucuronosyltransferase ugt-55,Caenorhabditis elegans OX=6239,26.0,MNXR132327,MNXR130575_0.8192525494017228_nan|MNXR129979_0.8168531746482638_nan|MNXR132325_0.8144110179279556_nan|MNXR133622_0.8130599435941256_nan|MNXR130510_0.8124400681071361_nan|MNXR132263_0.8106904286404139_nan|MNXR133124_0.8055504628423993_nan|MNXR133101_0.8024183875189855_nan|MNXR132597_0.8008184603124657_nan|MNXR130461_0.7981488097412346_nan|MNXR118638_0.7919307347171469_nan,2.4.1.17,3.0,0.0,0.82645,NaN,1,0.826446,44.4,25.6,16.1,17.1,58929.26,8.6622,48.438,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.Oc1ccc(-c2ccccc2)cc1>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
4,NaN,Q21706,Putative UDP-glucuronosyltransferase ugt-47,Caenorhabditis elegans OX=6239,26.0,MNXR132327,MNXR130575_0.8192525494017228_nan|MNXR129979_0.8168531746482638_nan|MNXR132325_0.8144110179279556_nan|MNXR133622_0.8130599435941256_nan|MNXR130510_0.8124400681071361_nan|MNXR132263_0.8106904286404139_nan|MNXR133124_0.8055504628423993_nan|MNXR133101_0.8024183875189855_nan|MNXR132597_0.8008184603124657_nan|MNXR130461_0.7981488097412346_nan|MNXR118638_0.7919307347171469_nan,2.4.1.17,1.0,0.0,0.82645,NaN,1,0.826446,39.8,25.4,18.3,19.6,61448.89,7.2104,44.216,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.Oc1ccc(-c2ccccc2)cc1>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
5,NaN,Q20086,Putative UDP-glucuronosyltransferase ugt-58,Caenorhabditis elegans OX=6239,26.0,MNXR132327,MNXR130575_0.8192525494017228_nan|MNXR129979_0.8168531746482638_nan|MNXR132325_0.8144110179279556_nan|MNXR133622_0.8130599435941256_nan|MNXR130510_0.8124400681071361_nan|MNXR132263_0.8106904286404139_nan|MNXR133124_0.8055504628423993_nan|MNXR133101_0.8024183875189855_nan|MNXR132597_0.8008184603124657_nan|MNXR130461_0.7981488097412346_nan|MNXR118638_0.7919307347171469_nan,2.4.1.17,3.0,0.0,0.82645,NaN,1,0.826446,27.5,31.5,21.9,22.2,61143.15,8.1329,44.653,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.Oc1ccc(-c2ccccc2)cc1>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
6,NaN,Q22181,Putative UDP-glucuronosyltransferase ugt-56,Caenorhabditis elegans OX=6239,26.0,MNXR132327,MNXR130575_0.8192525494017228_nan|MNXR129979_0.8168531746482638_nan|MNXR132325_0.8144110179279556_nan|MNXR133622_0.8130599435941256_nan|MNXR130510_0.8124400681071361_nan|MNXR132263_0.8106904286404139_nan|MNXR133124_0.8055504628423993_nan|MNXR133101_0.8024183875189855_nan|MNXR132597_0.8008184603124657_nan|MNXR130461_0.7981488097412346_nan|MNXR118638_0.7919307347171469_nan,2.4.1.17,3.0,0.0,0.82645,NaN,1,0.826446,41.3,25.0,15.6,21.3,59283.73,8.2993,45.802,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.Oc1ccc(-c2ccccc2)cc1>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
7,NaN,Q22295,Putative UDP-glucuronosyltransferase ugt-50,Caenorhabditis elegans OX=6239,26.0,MNXR132327,MNXR130575_0.8192525494017228_nan|MNXR129979_0.8168531746482638_nan|MNXR132325_0.8144110179279556_nan|MNXR133622_0.8130599435941256_nan|MNXR130510_0.8124400681071361_nan|MNXR132263_0.8106904286404139_nan|MNXR133124_0.8055504628423993_nan|MNXR133101_0.8024183875189855_nan|MNXR132597_0.8008184603124657_nan|MNXR130461_0.7981488097412346_nan|MNXR118638_0.7919307347171469_nan,2.4.1.17,1.0,0.0,0.82645,NaN,1,0.826446,45.0,29.0,14.0,15.2,60285.58,7.2006,46.463,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.Oc1ccc(-c2ccccc2)cc1>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
8,NaN,P34317,Putative UDP-glucuronosyltransferase ugt-60,Caenorhabditis elegans OX=6239,26.0,MNXR132327,MNXR130575_0.8192525494017228_nan|MNXR129979_0.8168531746482638_nan|MNXR132325_0.8144110179279556_nan|MNXR133622_0.8130599435941256_nan|MNXR130510_0.8124400681071361_nan|MNXR132263_0.8106904286404139_nan|MNXR133124_0.8055504628423993_nan|MNXR133101_0.8024183875189855_nan|MNXR132597_0.8008184603124657_nan|MNXR130461_0.7981488097412346_nan|MNXR118638_0.7919307347171469_nan,2.4.1.17,3.0,0.0,0.82645,NaN,1,0.826446,49.3,26.3,8.6,19.1,57727.27,7.4956,43.195,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.Oc1ccc(-c2ccccc2)cc1>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
9,NaN,Q18081,Putative UDP-glucuronosyltransferase ugt-48,Caenorhabditis elegans OX=6239,26.0,MNXR132327,MNXR130575_0.8192525494017228_nan|MNXR129979_0.8168531746482638_nan|MNXR132325_0.8144110179279556_nan|MNXR133622_0.8130599435941256_nan|MNXR130510_0.8124400681071361_nan|MNXR132263_0.8106904286404139_nan|MNXR133124_0.8055504628423993_nan|MNXR133101_0.8024183875189855_nan|MNXR132597_0.8008184603124657_nan|MNXR130461_0.7981488097412346_nan|MNXR118638_0.7919307347171469_nan,2.4.1.17,1.0,0.0,0.82645,NaN,1,0.826446,42.9,22.7,16.9,20.6,59627.23,8.0680,46.008,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.Oc1ccc(-c2ccccc2)cc1>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
10,NaN,Q8GWB7,Inositol phosphorylceramide glucuronosyltransferase 1,Arabidopsis thaliana OX=3702,29.0,MNXR132327,MNXR130575_0.8192525494017228_nan|MNXR129979_0.8168531746482638_nan|MNXR132325_0.8144110179279556_nan|MNXR133622_0.8130599435941256_nan|MNXR130510_0.8124400681071361_nan|MNXR132263_0.8106904286404139_nan|MNXR133124_0.8055504628423993_nan|MNXR133101_0.8024183875189855_nan|MNXR132597_0.8008184603124657_nan|MNXR130461_0.7981488097412346_nan|MNXR118638_0.7919307347171469_nan,2.4.1.17,1.0,0.0,0.82645,NaN,1,0.826446,36.9,29.2,19.6,17.5,60010.94,9.1382,40.037,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.Oc1ccc(-c2ccccc2)cc1>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
