,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,45.755775,Q54GQ6,Peroxisomal acyl-coenzyme A oxidase 1,Dictyostelium discoideum OX=44689,18.0,MNXR152835,MNXR152834_0.7038298106085339_0.5682579138147099|MNXR152839_0.688532561956594_0.5768155065253574|MNXR152841_0.6740771717043051_0.5768155065253574|MNXR189504_0.6607819374510294_0.5768155065253574|MNXR151473_0.6867993267621652_0.5427414810539289|MNXR181034_0.6485141734628199_0.5768155065253574|MNXR167786_0.637160610068964_0.5768155065253574|MNXR190406_0.6266239683392673_0.5768155065253574|MNXR132782_0.6395750167922424_0.5319650053004681|MNXR151215_0.6705889674542536_0.49139791548720807|MNXR116657_0.6546939945419392_0.5|MNXR175885_0.6546939945419392_0.5|MNXR167556_0.6470672217171686_0.5|MNXR117603_0.6374139097532612_0.5|MNXR132773_0.6002624683719167_0.5319650053004681|MNXR175252_0.6267284136040823_0.5|MNXR116480_0.5985217403323992_0.4723332206568855|MNXR127546_0.6552964549645818_0.40656657352141085|MNXR116470_0.5122395161507001_0.5319650053004681|MNXR187182_0.6481649965916374_0.3875338792035124|MNXR118909_0.6264405874928586_0.40656657352141085|MNXR118923_0.6264405874928586_0.40656657352141085,1.3.3.6,3.0,0.0,0.70430,0.576816,-1,0.640560,28.7,29.8,22.1,21.8,79761.54,7.0801,51.571,*CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>*/C=C/CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].OO
2,42.755775,Q9Y7B1,Acyl-coenzyme A oxidase,Komagataella pastoris OX=4922,21.0,MNXR152835,MNXR152834_0.7038298106085339_0.5682579138147099|MNXR152839_0.688532561956594_0.5768155065253574|MNXR152841_0.6740771717043051_0.5768155065253574|MNXR189504_0.6607819374510294_0.5768155065253574|MNXR151473_0.6867993267621652_0.5427414810539289|MNXR181034_0.6485141734628199_0.5768155065253574|MNXR167786_0.637160610068964_0.5768155065253574|MNXR190406_0.6266239683392673_0.5768155065253574|MNXR132782_0.6395750167922424_0.5319650053004681|MNXR151215_0.6705889674542536_0.49139791548720807|MNXR116657_0.6546939945419392_0.5|MNXR175885_0.6546939945419392_0.5|MNXR167556_0.6470672217171686_0.5|MNXR117603_0.6374139097532612_0.5|MNXR132773_0.6002624683719167_0.5319650053004681|MNXR175252_0.6267284136040823_0.5|MNXR116480_0.5985217403323992_0.4723332206568855|MNXR127546_0.6552964549645818_0.40656657352141085|MNXR116470_0.5122395161507001_0.5319650053004681|MNXR187182_0.6481649965916374_0.3875338792035124|MNXR118909_0.6264405874928586_0.40656657352141085|MNXR118923_0.6264405874928586_0.40656657352141085,1.3.3.6,3.0,0.0,0.70430,0.576816,-1,0.640560,43.0,25.7,15.2,18.3,80519.19,8.7967,47.149,*CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>*/C=C/CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].OO
3,41.955775,O74934,Acyl-coenzyme A oxidase 1,Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591,22.0,MNXR152835,MNXR152834_0.7038298106085339_0.5682579138147099|MNXR152839_0.688532561956594_0.5768155065253574|MNXR152841_0.6740771717043051_0.5768155065253574|MNXR189504_0.6607819374510294_0.5768155065253574|MNXR151473_0.6867993267621652_0.5427414810539289|MNXR181034_0.6485141734628199_0.5768155065253574|MNXR167786_0.637160610068964_0.5768155065253574|MNXR190406_0.6266239683392673_0.5768155065253574|MNXR132782_0.6395750167922424_0.5319650053004681|MNXR151215_0.6705889674542536_0.49139791548720807|MNXR116657_0.6546939945419392_0.5|MNXR175885_0.6546939945419392_0.5|MNXR167556_0.6470672217171686_0.5|MNXR117603_0.6374139097532612_0.5|MNXR132773_0.6002624683719167_0.5319650053004681|MNXR175252_0.6267284136040823_0.5|MNXR116480_0.5985217403323992_0.4723332206568855|MNXR127546_0.6552964549645818_0.40656657352141085|MNXR116470_0.5122395161507001_0.5319650053004681|MNXR187182_0.6481649965916374_0.3875338792035124|MNXR118909_0.6264405874928586_0.40656657352141085|MNXR118923_0.6264405874928586_0.40656657352141085,1.3.3.6,1.0,0.0,0.70430,0.576816,-1,0.640560,34.9,25.9,21.2,20.4,77281.76,6.9324,47.605,*CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>*/C=C/CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].OO
4,41.955775,O74936,Acyl-coenzyme A oxidase 3,Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591,22.0,MNXR152835,MNXR152834_0.7038298106085339_0.5682579138147099|MNXR152839_0.688532561956594_0.5768155065253574|MNXR152841_0.6740771717043051_0.5768155065253574|MNXR189504_0.6607819374510294_0.5768155065253574|MNXR151473_0.6867993267621652_0.5427414810539289|MNXR181034_0.6485141734628199_0.5768155065253574|MNXR167786_0.637160610068964_0.5768155065253574|MNXR190406_0.6266239683392673_0.5768155065253574|MNXR132782_0.6395750167922424_0.5319650053004681|MNXR151215_0.6705889674542536_0.49139791548720807|MNXR116657_0.6546939945419392_0.5|MNXR175885_0.6546939945419392_0.5|MNXR167556_0.6470672217171686_0.5|MNXR117603_0.6374139097532612_0.5|MNXR132773_0.6002624683719167_0.5319650053004681|MNXR175252_0.6267284136040823_0.5|MNXR116480_0.5985217403323992_0.4723332206568855|MNXR127546_0.6552964549645818_0.40656657352141085|MNXR116470_0.5122395161507001_0.5319650053004681|MNXR187182_0.6481649965916374_0.3875338792035124|MNXR118909_0.6264405874928586_0.40656657352141085|MNXR118923_0.6264405874928586_0.40656657352141085,1.3.3.6,1.0,0.0,0.70430,0.576816,-1,0.640560,34.1,26.9,21.9,19.4,78009.69,6.6734,45.143,*CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>*/C=C/CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].OO
5,41.955775,O74935,Acyl-coenzyme A oxidase 2,Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591,22.0,MNXR152835,MNXR152834_0.7038298106085339_0.5682579138147099|MNXR152839_0.688532561956594_0.5768155065253574|MNXR152841_0.6740771717043051_0.5768155065253574|MNXR189504_0.6607819374510294_0.5768155065253574|MNXR151473_0.6867993267621652_0.5427414810539289|MNXR181034_0.6485141734628199_0.5768155065253574|MNXR167786_0.637160610068964_0.5768155065253574|MNXR190406_0.6266239683392673_0.5768155065253574|MNXR132782_0.6395750167922424_0.5319650053004681|MNXR151215_0.6705889674542536_0.49139791548720807|MNXR116657_0.6546939945419392_0.5|MNXR175885_0.6546939945419392_0.5|MNXR167556_0.6470672217171686_0.5|MNXR117603_0.6374139097532612_0.5|MNXR132773_0.6002624683719167_0.5319650053004681|MNXR175252_0.6267284136040823_0.5|MNXR116480_0.5985217403323992_0.4723332206568855|MNXR127546_0.6552964549645818_0.40656657352141085|MNXR116470_0.5122395161507001_0.5319650053004681|MNXR187182_0.6481649965916374_0.3875338792035124|MNXR118909_0.6264405874928586_0.40656657352141085|MNXR118923_0.6264405874928586_0.40656657352141085,1.3.3.6,1.0,0.0,0.70430,0.576816,-1,0.640560,39.0,21.9,20.0,21.3,78691.09,5.5899,46.143,*CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>*/C=C/CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].OO
6,41.755775,P13711,Acyl-coenzyme A oxidase,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292,22.0,MNXR152835,MNXR152834_0.7038298106085339_0.5682579138147099|MNXR152839_0.688532561956594_0.5768155065253574|MNXR152841_0.6740771717043051_0.5768155065253574|MNXR189504_0.6607819374510294_0.5768155065253574|MNXR151473_0.6867993267621652_0.5427414810539289|MNXR181034_0.6485141734628199_0.5768155065253574|MNXR167786_0.637160610068964_0.5768155065253574|MNXR190406_0.6266239683392673_0.5768155065253574|MNXR132782_0.6395750167922424_0.5319650053004681|MNXR151215_0.6705889674542536_0.49139791548720807|MNXR116657_0.6546939945419392_0.5|MNXR175885_0.6546939945419392_0.5|MNXR167556_0.6470672217171686_0.5|MNXR117603_0.6374139097532612_0.5|MNXR132773_0.6002624683719167_0.5319650053004681|MNXR175252_0.6267284136040823_0.5|MNXR116480_0.5985217403323992_0.4723332206568855|MNXR127546_0.6552964549645818_0.40656657352141085|MNXR116470_0.5122395161507001_0.5319650053004681|MNXR187182_0.6481649965916374_0.3875338792035124|MNXR118909_0.6264405874928586_0.40656657352141085|MNXR118923_0.6264405874928586_0.40656657352141085,1.3.3.6,3.0,0.0,0.70430,0.576816,-1,0.640560,33.2,32.0,19.8,17.2,84042.18,8.6999,47.460,*CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>*/C=C/CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].OO
7,41.755775,Q756A9,Acyl-coenzyme A oxidase,Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) OX=284811,22.0,MNXR152835,MNXR152834_0.7038298106085339_0.5682579138147099|MNXR152839_0.688532561956594_0.5768155065253574|MNXR152841_0.6740771717043051_0.5768155065253574|MNXR189504_0.6607819374510294_0.5768155065253574|MNXR151473_0.6867993267621652_0.5427414810539289|MNXR181034_0.6485141734628199_0.5768155065253574|MNXR167786_0.637160610068964_0.5768155065253574|MNXR190406_0.6266239683392673_0.5768155065253574|MNXR132782_0.6395750167922424_0.5319650053004681|MNXR151215_0.6705889674542536_0.49139791548720807|MNXR116657_0.6546939945419392_0.5|MNXR175885_0.6546939945419392_0.5|MNXR167556_0.6470672217171686_0.5|MNXR117603_0.6374139097532612_0.5|MNXR132773_0.6002624683719167_0.5319650053004681|MNXR175252_0.6267284136040823_0.5|MNXR116480_0.5985217403323992_0.4723332206568855|MNXR127546_0.6552964549645818_0.40656657352141085|MNXR116470_0.5122395161507001_0.5319650053004681|MNXR187182_0.6481649965916374_0.3875338792035124|MNXR118909_0.6264405874928586_0.40656657352141085|MNXR118923_0.6264405874928586_0.40656657352141085,1.3.3.6,3.0,0.0,0.70430,0.576816,-1,0.640560,37.2,26.6,20.1,18.3,81862.89,8.3173,45.020,*CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>*/C=C/CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].OO
8,41.755775,Q6CKK7,Acyl-coenzyme A oxidase,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) OX=284590,22.0,MNXR152835,MNXR152834_0.7038298106085339_0.5682579138147099|MNXR152839_0.688532561956594_0.5768155065253574|MNXR152841_0.6740771717043051_0.5768155065253574|MNXR189504_0.6607819374510294_0.5768155065253574|MNXR151473_0.6867993267621652_0.5427414810539289|MNXR181034_0.6485141734628199_0.5768155065253574|MNXR167786_0.637160610068964_0.5768155065253574|MNXR190406_0.6266239683392673_0.5768155065253574|MNXR132782_0.6395750167922424_0.5319650053004681|MNXR151215_0.6705889674542536_0.49139791548720807|MNXR116657_0.6546939945419392_0.5|MNXR175885_0.6546939945419392_0.5|MNXR167556_0.6470672217171686_0.5|MNXR117603_0.6374139097532612_0.5|MNXR132773_0.6002624683719167_0.5319650053004681|MNXR175252_0.6267284136040823_0.5|MNXR116480_0.5985217403323992_0.4723332206568855|MNXR127546_0.6552964549645818_0.40656657352141085|MNXR116470_0.5122395161507001_0.5319650053004681|MNXR187182_0.6481649965916374_0.3875338792035124|MNXR118909_0.6264405874928586_0.40656657352141085|MNXR118923_0.6264405874928586_0.40656657352141085,1.3.3.6,3.0,0.0,0.70430,0.576816,-1,0.640560,39.4,26.9,18.5,17.4,83144.19,8.1187,48.777,*CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>*/C=C/CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].OO
9,41.755775,Q6FY63,Acyl-coenzyme A oxidase,Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) OX=284593,22.0,MNXR152835,MNXR152834_0.7038298106085339_0.5682579138147099|MNXR152839_0.688532561956594_0.5768155065253574|MNXR152841_0.6740771717043051_0.5768155065253574|MNXR189504_0.6607819374510294_0.5768155065253574|MNXR151473_0.6867993267621652_0.5427414810539289|MNXR181034_0.6485141734628199_0.5768155065253574|MNXR167786_0.637160610068964_0.5768155065253574|MNXR190406_0.6266239683392673_0.5768155065253574|MNXR132782_0.6395750167922424_0.5319650053004681|MNXR151215_0.6705889674542536_0.49139791548720807|MNXR116657_0.6546939945419392_0.5|MNXR175885_0.6546939945419392_0.5|MNXR167556_0.6470672217171686_0.5|MNXR117603_0.6374139097532612_0.5|MNXR132773_0.6002624683719167_0.5319650053004681|MNXR175252_0.6267284136040823_0.5|MNXR116480_0.5985217403323992_0.4723332206568855|MNXR127546_0.6552964549645818_0.40656657352141085|MNXR116470_0.5122395161507001_0.5319650053004681|MNXR187182_0.6481649965916374_0.3875338792035124|MNXR118909_0.6264405874928586_0.40656657352141085|MNXR118923_0.6264405874928586_0.40656657352141085,1.3.3.6,3.0,0.0,0.70430,0.576816,-1,0.640560,29.9,30.7,22.7,18.9,84416.54,8.6924,47.326,*CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>*/C=C/CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].OO
10,40.855775,P06598,Acyl-coenzyme A oxidase 4,Candida tropicalis OX=5482,23.0,MNXR152835,MNXR152834_0.7038298106085339_0.5682579138147099|MNXR152839_0.688532561956594_0.5768155065253574|MNXR152841_0.6740771717043051_0.5768155065253574|MNXR189504_0.6607819374510294_0.5768155065253574|MNXR151473_0.6867993267621652_0.5427414810539289|MNXR181034_0.6485141734628199_0.5768155065253574|MNXR167786_0.637160610068964_0.5768155065253574|MNXR190406_0.6266239683392673_0.5768155065253574|MNXR132782_0.6395750167922424_0.5319650053004681|MNXR151215_0.6705889674542536_0.49139791548720807|MNXR116657_0.6546939945419392_0.5|MNXR175885_0.6546939945419392_0.5|MNXR167556_0.6470672217171686_0.5|MNXR117603_0.6374139097532612_0.5|MNXR132773_0.6002624683719167_0.5319650053004681|MNXR175252_0.6267284136040823_0.5|MNXR116480_0.5985217403323992_0.4723332206568855|MNXR127546_0.6552964549645818_0.40656657352141085|MNXR116470_0.5122395161507001_0.5319650053004681|MNXR187182_0.6481649965916374_0.3875338792035124|MNXR118909_0.6264405874928586_0.40656657352141085|MNXR118923_0.6264405874928586_0.40656657352141085,1.3.3.6,2.0,0.0,0.70430,0.576816,-1,0.640560,33.0,26.6,21.1,21.6,79094.02,7.5122,47.250,*CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O>>*/C=C/CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],O=O.CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]>>CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].OO
