,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,NaN,P0A6Q3,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,Escherichia coli (strain K12) OX=83333,1,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,1,0.0,0.79057,NaN,-1,0.790569,32.1,32.7,17.3,28.2,18969.05,6.5273,36.628,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
2,NaN,B1X8Q8,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,Escherichia coli (strain K12 / DH10B) OX=316385,2,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,3,0.0,0.79057,NaN,-1,0.790569,32.1,32.7,17.3,28.2,18969.05,6.5273,36.628,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
3,NaN,A7ZWC6,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,Escherichia coli O9:H4 (strain HS) OX=331112,3,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,3,0.0,0.79057,NaN,-1,0.790569,60.0,14.1,12.6,25.2,17022.91,7.5132,40.397,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
4,NaN,B7N3B6,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC) OX=585056,3,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,3,0.0,0.79057,NaN,-1,0.790569,32.1,32.7,17.3,28.2,18969.05,6.5273,36.628,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
5,NaN,Q0TJA7,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,Escherichia coli O6:K15:H31 (strain 536 / UPEC) OX=362663,3,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,3,0.0,0.79057,NaN,-1,0.790569,32.7,32.7,17.3,27.6,19027.09,5.8037,37.209,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
6,NaN,B1LJQ9,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,Escherichia coli (strain SMS-3-5 / SECEC) OX=439855,3,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,3,0.0,0.79057,NaN,-1,0.790569,32.1,32.7,17.3,28.2,18969.05,6.5273,36.628,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
7,NaN,B7MS65,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,Escherichia coli O81 (strain ED1a) OX=585397,3,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,3,0.0,0.79057,NaN,-1,0.790569,31.4,32.1,18.6,28.2,18996.08,6.5273,36.628,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
8,NaN,P0A6Q4,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,Escherichia coli O157:H7 OX=83334,3,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,3,0.0,0.79057,NaN,-1,0.790569,32.1,32.7,17.3,28.2,18969.05,6.5273,36.628,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
9,NaN,B7UJ81,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521,4,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,3,0.0,0.79057,NaN,-1,0.790569,60.0,13.3,12.6,25.9,17032.95,7.5132,39.735,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
10,NaN,B7LW77,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CCUG 18766 / IAM 14443 / JCM 21226 / LMG 7866 / NBRC 102419 / NCTC 12128 / CDC 0568-73) OX=585054,5,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,3,0.0,0.79057,NaN,-1,0.790569,60.0,13.3,12.6,25.9,17032.95,7.5132,39.735,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
11,NaN,Q32JS9,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,Shigella dysenteriae serotype 1 (strain Sd197) OX=300267,7,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,3,0.0,0.79057,NaN,-1,0.790569,60.0,13.3,12.6,25.9,17032.95,7.5132,39.735,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
12,NaN,Q3Z3G7,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,Shigella sonnei (strain Ss046) OX=300269,7,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,3,0.0,0.79057,NaN,-1,0.790569,32.1,32.7,17.3,28.2,18969.05,6.5273,36.628,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
13,NaN,B2U323,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,Shigella boydii serotype 18 (strain CDC 3083-94 / BS512) OX=344609,7,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,3,0.0,0.79057,NaN,-1,0.790569,60.0,13.3,12.6,25.9,17032.95,7.5132,39.735,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
14,NaN,A9MPI1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980) OX=41514,8,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,3,0.0,0.79057,NaN,-1,0.790569,60.0,13.3,12.6,25.9,16998.94,7.5132,39.735,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
15,NaN,P32205,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,Yersinia enterocolitica OX=630,8,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,3,0.0,0.79057,NaN,-1,0.790569,61.1,11.7,13.0,24.1,19862.11,6.9494,43.258,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
16,NaN,Q7VRD5,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,Blochmannia floridanus OX=203907,9,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,3,0.0,0.79057,NaN,-1,0.790569,71.1,10.4,13.3,17.0,17145.26,7.9563,37.086,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
17,NaN,C5BD83,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,Edwardsiella ictaluri (strain 93-146) OX=634503,9,MNXR152628,-,2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61,3,0.0,0.79057,NaN,-1,0.790569,39.7,30.1,13.5,26.9,18791.80,6.7867,37.209,*SC(=O)C[C@H](O)CCCCCCCCCCCCC>>*SC(=O)/C=C/CCCCCCCCCCCCC.O,CCCCCCCCCCCCC[C@@H](O)CC(=O)S[*]>>CCCCCCCCCCCCC/C=C/C(=O)S[*]
