,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,61.00948,P0A9P4,Thioredoxin reductase,Escherichia coli (strain K12) OX=83333,1.0,MNXR129909,MNXR129995_0.3030219996507143_0.917459599264886|MNXR129987_0.2849610559432094_0.917459599264886,1.8.1.9,1.0,0.0,0.32473,0.91746,-1,0.621094,-,-,-,-,34623.03,5.2034,44.860,CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC([N+](=O)[O-])=C2.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC(N)=C2.NC(=O)C1=C[N+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)=CC=C1,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=C1C=C(O)C(=O)c2ccccc21>>O=C1C=C(O)C(=O)c2ccccc21.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1
2,59.07598,P25535,2-octaprenylphenol hydroxylase,Escherichia coli (strain K12) OX=83333,1.0,MNXR183728,-,1.14.13.240,1.0,0.0,0.28606,0.91746,-1,0.601760,-,-,-,-,44244.62,7.2820,42.750,CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC([N+](=O)[O-])=C2.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC(N)=C2.NC(=O)C1=C[N+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)=CC=C1,C/C(=C\Cc1ccccc1O)C[*].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O>>C/C(=C\Cc1cccc(O)c1O)C[*].NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1
3,58.93948,P0AGE6,Quinone reductase,Escherichia coli (strain K12) OX=83333,1.0,MNXR108322,-,1.6.5.2,1.0,0.0,0.28333,0.91746,1,0.600393,-,-,-,-,20375.56,4.7660,39.894,CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC([N+](=O)[O-])=C2.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC(N)=C2.NC(=O)C1=C[N+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)=CC=C1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.Cc1c([*])c(O)c2ccccc2c1O>>CC1=C([*])C(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
4,58.80948,P0A9P5,Thioredoxin reductase,Escherichia coli O157:H7 OX=83334,3.0,MNXR129909,MNXR129995_0.3030219996507143_0.917459599264886|MNXR129987_0.2849610559432094_0.917459599264886,1.8.1.9,3.0,0.0,0.32473,0.91746,-1,0.621094,-,-,-,-,34623.03,5.2034,44.860,CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC([N+](=O)[O-])=C2.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC(N)=C2.NC(=O)C1=C[N+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)=CC=C1,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=C1C=C(O)C(=O)c2ccccc21>>O=C1C=C(O)C(=O)c2ccccc21.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1
5,56.73948,B1IPB3,Glutathione-regulated potassium-efflux system ancillary protein KefG,Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks) OX=481805,3.0,MNXR108322,-,1.6.5.2,3.0,0.0,0.28333,0.91746,1,0.600393,-,-,-,-,20836.83,8.2177,39.891,CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC([N+](=O)[O-])=C2.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC(N)=C2.NC(=O)C1=C[N+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)=CC=C1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.Cc1c([*])c(O)c2ccccc2c1O>>CC1=C([*])C(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
6,56.73948,A8A5F9,Glutathione-regulated potassium-efflux system ancillary protein KefG,Escherichia coli O9:H4 (strain HS) OX=331112,3.0,MNXR108322,-,1.6.5.2,3.0,0.0,0.28333,0.91746,1,0.600393,-,-,-,-,20957.98,8.2177,40.217,CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC([N+](=O)[O-])=C2.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC(N)=C2.NC(=O)C1=C[N+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)=CC=C1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.Cc1c([*])c(O)c2ccccc2c1O>>CC1=C([*])C(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
7,56.73948,B1IRD0,Glutathione-regulated potassium-efflux system ancillary protein KefF,Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks) OX=481805,3.0,MNXR108322,-,1.6.5.2,3.0,0.0,0.28333,0.91746,1,0.600393,-,-,-,-,20163.04,6.6739,40.341,CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC([N+](=O)[O-])=C2.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC(N)=C2.NC(=O)C1=C[N+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)=CC=C1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.Cc1c([*])c(O)c2ccccc2c1O>>CC1=C([*])C(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
8,56.73948,B7L4G9,Glutathione-regulated potassium-efflux system ancillary protein KefF,Escherichia coli (strain 55989 / EAEC) OX=585055,3.0,MNXR108322,-,1.6.5.2,3.0,0.0,0.28333,0.91746,1,0.600393,-,-,-,-,20169.98,6.5590,40.341,CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC([N+](=O)[O-])=C2.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC(N)=C2.NC(=O)C1=C[N+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)=CC=C1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.Cc1c([*])c(O)c2ccccc2c1O>>CC1=C([*])C(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
9,55.73948,B7UI92,Glutathione-regulated potassium-efflux system ancillary protein KefF,Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521,4.0,MNXR108322,-,1.6.5.2,3.0,0.0,0.28333,0.91746,1,0.600393,-,-,-,-,20169.98,6.5590,40.341,CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC([N+](=O)[O-])=C2.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC(N)=C2.NC(=O)C1=C[N+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)=CC=C1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.Cc1c([*])c(O)c2ccccc2c1O>>CC1=C([*])C(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
10,52.00948,P80892,Thioredoxin reductase (Fragment),Aliivibrio fischeri OX=668,10.0,MNXR129909,MNXR129995_0.3030219996507143_0.917459599264886|MNXR129987_0.2849610559432094_0.917459599264886,1.8.1.9,1.0,0.0,0.32473,0.91746,-1,0.621094,-,-,-,-,4658.43,10.4526,35.556,CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC([N+](=O)[O-])=C2.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>CN1C(=O)CN=C(C2=CC=CC=C2F)C2=C1C=CC(N)=C2.NC(=O)C1=C[N+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)=CC=C1,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=C1C=C(O)C(=O)c2ccccc21>>O=C1C=C(O)C(=O)c2ccccc21.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1
