,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,39.987008,P45563,Purine nucleoside phosphorylase 2,Escherichia coli (strain K12) OX=83333,1.0,MNXR189834,-,2.4.2.1,1.0,0.0,0.28456,0.53718,-1,0.410868,49.0,23.0,13.8,20.3,29834.62,6.5045,37.545,CCCCCOC(=O)NC1=NC(=O)N([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)C=C1F.O=P([O-])(O)O>>CCCCCOC(=O)NC1=C(F)C=NC(=O)[N-]1.C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O,O=P([O-])([O-])O.OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O>>c1ncc2[nH]cnc2n1.O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
2,39.987008,P33644,Purine nucleoside phosphorylase YfiH,Escherichia coli (strain K12) OX=83333,1.0,MNXR189834,-,2.4.2.1,1.0,0.0,0.28456,0.53718,-1,0.410868,33.9,27.3,25.6,20.3,26338.93,6.6525,39.918,CCCCCOC(=O)NC1=NC(=O)N([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)C=C1F.O=P([O-])(O)O>>CCCCCOC(=O)NC1=C(F)C=NC(=O)[N-]1.C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O,O=P([O-])([O-])O.OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O>>c1ncc2[nH]cnc2n1.O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
3,39.987008,P0ABP8,Purine nucleoside phosphorylase DeoD-type,Escherichia coli (strain K12) OX=83333,1.0,MNXR189834,-,2.4.2.1,1.0,0.0,0.28456,0.53718,-1,0.410868,57.8,26.0,11.2,12.1,25949.91,5.3534,40.586,CCCCCOC(=O)NC1=NC(=O)N([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)C=C1F.O=P([O-])(O)O>>CCCCCOC(=O)NC1=C(F)C=NC(=O)[N-]1.C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O,O=P([O-])([O-])O.OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O>>c1ncc2[nH]cnc2n1.O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
4,38.787008,C4ZT66,Purine nucleoside phosphorylase DeoD-type,Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496,2.0,MNXR189834,-,2.4.2.1,3.0,0.0,0.28456,0.53718,-1,0.410868,57.8,26.0,11.2,12.1,25949.91,5.3534,40.586,CCCCCOC(=O)NC1=NC(=O)N([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)C=C1F.O=P([O-])(O)O>>CCCCCOC(=O)NC1=C(F)C=NC(=O)[N-]1.C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O,O=P([O-])([O-])O.OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O>>c1ncc2[nH]cnc2n1.O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
5,38.787008,B1XFJ4,Purine nucleoside phosphorylase DeoD-type,Escherichia coli (strain K12 / DH10B) OX=316385,2.0,MNXR189834,-,2.4.2.1,3.0,0.0,0.28456,0.53718,-1,0.410868,57.8,26.0,11.2,12.1,25949.91,5.3534,40.586,CCCCCOC(=O)NC1=NC(=O)N([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)C=C1F.O=P([O-])(O)O>>CCCCCOC(=O)NC1=C(F)C=NC(=O)[N-]1.C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O,O=P([O-])([O-])O.OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O>>c1ncc2[nH]cnc2n1.O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
6,38.787008,B1XEY0,Pyrimidine/purine nucleoside phosphorylase,Escherichia coli (strain K12 / DH10B) OX=316385,2.0,MNXR189834,-,2.4.2.1,3.0,0.0,0.28456,0.53718,-1,0.410868,33.3,35.9,17.9,33.3,10234.40,4.1759,44.681,CCCCCOC(=O)NC1=NC(=O)N([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)C=C1F.O=P([O-])(O)O>>CCCCCOC(=O)NC1=C(F)C=NC(=O)[N-]1.C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O,O=P([O-])([O-])O.OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O>>c1ncc2[nH]cnc2n1.O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
7,37.987008,P0ABP9,Purine nucleoside phosphorylase DeoD-type,Escherichia coli O157:H7 OX=83334,3.0,MNXR189834,-,2.4.2.1,1.0,0.0,0.28456,0.53718,-1,0.410868,57.8,26.0,11.2,12.1,25949.91,5.3534,40.586,CCCCCOC(=O)NC1=NC(=O)N([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)C=C1F.O=P([O-])(O)O>>CCCCCOC(=O)NC1=C(F)C=NC(=O)[N-]1.C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O,O=P([O-])([O-])O.OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O>>c1ncc2[nH]cnc2n1.O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
8,37.787008,B1LIS5,Pyrimidine/purine nucleoside phosphorylase,Escherichia coli (strain SMS-3-5 / SECEC) OX=439855,3.0,MNXR189834,-,2.4.2.1,3.0,0.0,0.28456,0.53718,-1,0.410868,33.3,35.9,17.9,33.3,10234.40,4.1759,44.681,CCCCCOC(=O)NC1=NC(=O)N([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)C=C1F.O=P([O-])(O)O>>CCCCCOC(=O)NC1=C(F)C=NC(=O)[N-]1.C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O,O=P([O-])([O-])O.OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O>>c1ncc2[nH]cnc2n1.O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
9,37.787008,Q0T8S9,Purine nucleoside phosphorylase DeoD-type,Escherichia coli O6:K15:H31 (strain 536 / UPEC) OX=362663,3.0,MNXR189834,-,2.4.2.1,3.0,0.0,0.28456,0.53718,-1,0.410868,57.8,26.0,11.2,12.1,25935.88,5.3534,40.586,CCCCCOC(=O)NC1=NC(=O)N([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)C=C1F.O=P([O-])(O)O>>CCCCCOC(=O)NC1=C(F)C=NC(=O)[N-]1.C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O,O=P([O-])([O-])O.OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O>>c1ncc2[nH]cnc2n1.O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
10,37.787008,B7NW64,Purine nucleoside phosphorylase DeoD-type,Escherichia coli O7:K1 (strain IAI39 / ExPEC) OX=585057,3.0,MNXR189834,-,2.4.2.1,3.0,0.0,0.28456,0.53718,-1,0.410868,57.8,26.0,11.2,12.1,25935.88,5.3534,40.586,CCCCCOC(=O)NC1=NC(=O)N([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)C=C1F.O=P([O-])(O)O>>CCCCCOC(=O)NC1=C(F)C=NC(=O)[N-]1.C[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O,O=P([O-])([O-])O.OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O>>c1ncc2[nH]cnc2n1.O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
