,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,21.719227,O52815,(S)-3;5-dihydroxyphenylglycine transaminase,Amycolatopsis orientalis OX=31958,15,MNXR110404,-,2.6.1.103,1.0,0.0,0.52009,0.216295,-1,0.368193,45.3,26.1,13.0,19.4,47776.80,5.0567,41.096,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,O=C([O-])C(=O)c1ccc(O)cc1.[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>N[C@H](C(=O)O)c1ccc(O)cc1.O=C([O-])C(=O)Cc1ccc(O)cc1
2,NaN,P11444,Mandelate racemase,Pseudomonas putida OX=303,11,MNXR108699,-,5.1.2.2,1.0,0.0,0.41833,NaN,0,0.418333,45.2,29.4,9.0,21.0,38564.74,6.0428,36.769,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,O=C([O-])[C@H](O)c1ccc(O)cc1>>O=C([O-])[C@@H](O)c1ccc(O)cc1
3,NaN,R9RJF1,NaN,Pseudomonas aeruginosa,11,MNXR108699,-,5.1.2.2,NaN,0.0,0.41833,NaN,0,0.418333,-,-,-,-,-,-,-,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,O=C([O-])[C@H](O)c1ccc(O)cc1>>O=C([O-])[C@@H](O)c1ccc(O)cc1
4,NaN,P76387,Tyrosine-protein kinase wzc,Escherichia coli (strain K12) OX=83333,1,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,1.0,0.0,0.30391,NaN,1,0.303909,38.2,31.1,11.4,21.6,79343.05,6.8975,47.083,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
5,NaN,P38134,Tyrosine-protein kinase etk,Escherichia coli (strain K12) OX=83333,1,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,1.0,0.0,0.30391,NaN,1,0.303909,43.5,23.7,11.1,23.9,81241.68,6.6126,49.311,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
6,NaN,Q8X7L9,Tyrosine-protein kinase wzc,Escherichia coli O157:H7 OX=83334,3,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,3.0,0.0,0.30391,NaN,1,0.303909,38.6,30.7,11.1,21.9,79395.12,6.8979,47.083,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
7,NaN,Q8XC28,Tyrosine-protein kinase etk,Escherichia coli O157:H7 OX=83334,3,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,3.0,0.0,0.30391,NaN,1,0.303909,43.7,23.5,11.1,23.9,81259.71,6.6126,49.311,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
8,NaN,Q9HUF7,Lipopolysaccharide core heptose(I) kinase RfaP,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964,12,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,1.0,0.0,0.30391,NaN,1,0.303909,52.4,17.5,21.4,15.1,31311.07,10.3742,46.642,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
9,NaN,Q54R58,Probable tyrosine-protein kinase DDB_G0283397,Dictyostelium discoideum OX=44689,18,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,3.0,0.0,0.30391,NaN,1,0.303909,25.3,23.4,28.9,24.2,102616.49,4.8624,58.170,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
10,NaN,Q54QV3,Probable serine/threonine-protein kinase yakA,Dictyostelium discoideum OX=44689,18,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,1.0,0.0,0.30391,NaN,1,0.303909,8.3,21.4,43.2,28.2,166972.69,8.8806,63.032,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
11,NaN,Q76NV1,Probable serine/threonine-protein kinase dyrk1,Dictyostelium discoideum OX=44689,18,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,3.0,0.0,0.30391,NaN,1,0.303909,24.9,16.5,36.5,24.1,97097.92,8.9923,69.139,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
12,NaN,P18160,Dual specificity protein kinase splA,Dictyostelium discoideum OX=44689,18,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,1.0,0.0,0.30391,NaN,1,0.303909,7.9,26.4,34.8,31.5,264918.61,8.8561,58.465,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
13,NaN,P42688,Tyrosine-protein kinase SRK2 (Fragment),Spongilla lacustris OX=6055,19,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,2.0,0.0,0.30391,NaN,1,0.303909,38.2,26.3,22.8,17.3,40937.05,6.7796,43.094,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
14,NaN,A0A0G4DBZ7,NaN,Chlamydomonas reinhardtii,19,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,NaN,0.0,0.30391,NaN,1,0.303909,-,-,-,-,-,-,-,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
15,NaN,Q27656,NaN,Geodia cydonium,20,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,NaN,0.0,0.30391,NaN,1,0.303909,-,-,-,-,-,-,-,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
16,NaN,Q0PKV7,Mitogen-activated protein kinase kinase 5,Leishmania mexicana OX=5665,21,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,1.0,0.0,0.30391,NaN,1,0.303909,37.7,23.2,18.1,24.2,55856.80,5.9023,44.571,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
17,NaN,O94235,Serine/threonine-protein kinase mph1,Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812,21,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,2.0,0.0,0.30391,NaN,1,0.303909,36.1,21.8,16.9,27.6,75354.46,7.3184,51.770,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
18,NaN,P32593,Serine/threonine-protein kinase-transforming protein mos,Moloney murine sarcoma virus (strain ts110) OX=31691,21,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,3.0,0.0,0.30391,NaN,1,0.303909,22.2,33.1,25.1,24.3,38850.79,9.3623,43.220,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
19,NaN,Q9Y884,MAP kinase kinase skh1/pek1,Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812,21,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,3.0,0.0,0.30391,NaN,1,0.303909,28.8,26.8,25.9,23.1,40706.80,8.1973,46.281,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
20,NaN,P53356,Tyrosine-protein kinase HTK16,Hydra vulgaris OX=6087,21,MNXR147699,-,2.7.10.1;2.7.10.2;2.7.12.1;2.7.12.2,2.0,0.0,0.30391,NaN,1,0.303909,31.7,24.7,24.8,20.9,85598.25,6.8435,44.650,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O>>NC(CC(=O)O)C1=CC=C(O)C=C1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC([*])=O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[*]NC(=O)[C@H](Cc1ccc(O)cc1)NC([*])=O
