,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,51.277434,B7M4C7,Orotate phosphoribosyltransferase,Escherichia coli O8 (strain IAI1) OX=585034,3.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.37531,0.716239,-1,0.545775,53.3,24.4,14.7,15.7,23567.00,5.1491,41.784,O=C1NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
2,51.277434,B7NEU6,Orotate phosphoribosyltransferase,Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC) OX=585056,3.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.37531,0.716239,-1,0.545775,53.3,24.4,14.7,15.7,23567.00,5.1491,41.784,O=C1NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
3,51.277434,B7N1U3,Orotate phosphoribosyltransferase,Escherichia coli O81 (strain ED1a) OX=585397,3.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.37531,0.716239,-1,0.545775,53.3,24.4,14.7,15.7,23567.00,5.1491,41.784,O=C1NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
4,51.277434,B7MFK3,Orotate phosphoribosyltransferase,Escherichia coli O45:K1 (strain S88 / ExPEC) OX=585035,3.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.37531,0.716239,-1,0.545775,53.8,23.9,14.7,15.7,23581.02,5.1491,41.784,O=C1NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
5,51.277434,B6I3L9,Orotate phosphoribosyltransferase,Escherichia coli (strain SE11) OX=409438,3.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.37531,0.716239,-1,0.545775,54.3,24.4,14.2,15.2,23567.00,5.1491,41.784,O=C1NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
6,51.277434,Q0TBG7,Orotate phosphoribosyltransferase,Escherichia coli O6:K15:H31 (strain 536 / UPEC) OX=362663,3.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.37531,0.716239,-1,0.545775,53.3,24.4,14.7,15.7,23567.00,5.1491,41.784,O=C1NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
7,51.277434,B1IYV8,Orotate phosphoribosyltransferase,Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks) OX=481805,3.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.37531,0.716239,-1,0.545775,53.3,24.4,14.7,15.7,23567.00,5.1491,41.784,O=C1NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
8,51.277434,A8A6A4,Orotate phosphoribosyltransferase,Escherichia coli O9:H4 (strain HS) OX=331112,3.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.37531,0.716239,-1,0.545775,53.3,24.4,14.7,15.7,23567.00,5.1491,41.784,O=C1NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
9,50.277434,B5YWE0,Orotate phosphoribosyltransferase,Escherichia coli O157:H7 (strain EC4115 / EHEC) OX=444450,4.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.37531,0.716239,-1,0.545775,53.8,24.4,14.2,15.7,23536.97,5.1491,41.315,O=C1NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
10,50.277434,A7ZTJ3,Orotate phosphoribosyltransferase,Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111,4.0,MNXR190472,-,2.4.2.10,3.0,0.0,0.37531,0.716239,-1,0.545775,54.3,24.4,14.2,15.2,23567.00,5.1491,41.784,O=C1NC(=O)N([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C=C1/C=C/Br>>O=C1NC=C(/C=C/Br)C(=O)N1,O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1F.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O.O=c1[nH]cc(F)c(=O)[nH]1
