,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,63.983964,P12758,Uridine phosphorylase,Escherichia coli (strain K12) OX=83333,1.0,MNXR150189,-,2.4.2.3;2.4.2.4,1.0,0.0,0.53824,0.763439,-1,0.650841,48.9,26.2,11.8,19.8,27159.08,6.1589,43.874,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1C(F)(F)F.O=P([O-])(O)O>>O=C1NC=C(C(F)(F)F)C(=O)N1.O=P(O)(O)OC1C[C@H](O)[C@@H](CO)O1,O=P([O-])([O-])O.O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.O=c1[nH]cc(F)c(=O)[nH]1
2,63.983964,P07650,Thymidine phosphorylase,Escherichia coli (strain K12) OX=83333,1.0,MNXR150189,-,2.4.2.3;2.4.2.4,1.0,0.0,0.53824,0.763439,-1,0.650841,47.9,23.1,9.9,22.9,47207.12,4.9968,41.818,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1C(F)(F)F.O=P([O-])(O)O>>O=C1NC=C(C(F)(F)F)C(=O)N1.O=P(O)(O)OC1C[C@H](O)[C@@H](CO)O1,O=P([O-])([O-])O.O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.O=c1[nH]cc(F)c(=O)[nH]1
3,63.983964,P0C037,Pyrimidine/purine nucleoside phosphorylase,Escherichia coli (strain K12) OX=83333,1.0,MNXR150189,-,2.4.2.3;2.4.2.4,1.0,0.0,0.53824,0.763439,-1,0.650841,33.3,35.9,17.9,33.3,10234.40,4.1759,44.681,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1C(F)(F)F.O=P([O-])(O)O>>O=C1NC=C(C(F)(F)F)C(=O)N1.O=P(O)(O)OC1C[C@H](O)[C@@H](CO)O1,O=P([O-])([O-])O.O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.O=c1[nH]cc(F)c(=O)[nH]1
4,62.783964,B1XFJ2,Thymidine phosphorylase,Escherichia coli (strain K12 / DH10B) OX=316385,2.0,MNXR150189,-,2.4.2.3;2.4.2.4,3.0,0.0,0.53824,0.763439,-1,0.650841,47.9,23.1,9.9,22.9,47207.12,4.9968,41.818,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1C(F)(F)F.O=P([O-])(O)O>>O=C1NC=C(C(F)(F)F)C(=O)N1.O=P(O)(O)OC1C[C@H](O)[C@@H](CO)O1,O=P([O-])([O-])O.O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.O=c1[nH]cc(F)c(=O)[nH]1
5,61.783964,B7MTC8,Thymidine phosphorylase,Escherichia coli O81 (strain ED1a) OX=585397,3.0,MNXR150189,-,2.4.2.3;2.4.2.4,3.0,0.0,0.53824,0.763439,-1,0.650841,47.9,23.6,10.1,22.2,47265.20,5.0903,42.045,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1C(F)(F)F.O=P([O-])(O)O>>O=C1NC=C(C(F)(F)F)C(=O)N1.O=P(O)(O)OC1C[C@H](O)[C@@H](CO)O1,O=P([O-])([O-])O.O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.O=c1[nH]cc(F)c(=O)[nH]1
6,61.783964,Q8XB35,Thymidine phosphorylase,Escherichia coli O157:H7 OX=83334,3.0,MNXR150189,-,2.4.2.3;2.4.2.4,3.0,0.0,0.53824,0.763439,-1,0.650841,48.1,23.1,9.9,22.6,47180.10,4.9968,41.818,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1C(F)(F)F.O=P([O-])(O)O>>O=C1NC=C(C(F)(F)F)C(=O)N1.O=P(O)(O)OC1C[C@H](O)[C@@H](CO)O1,O=P([O-])([O-])O.O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.O=c1[nH]cc(F)c(=O)[nH]1
7,61.783964,B7NH50,Thymidine phosphorylase,Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC) OX=585056,3.0,MNXR150189,-,2.4.2.3;2.4.2.4,3.0,0.0,0.53824,0.763439,-1,0.650841,48.1,23.1,9.9,22.6,47180.10,4.9968,41.818,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1C(F)(F)F.O=P([O-])(O)O>>O=C1NC=C(C(F)(F)F)C(=O)N1.O=P(O)(O)OC1C[C@H](O)[C@@H](CO)O1,O=P([O-])([O-])O.O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.O=c1[nH]cc(F)c(=O)[nH]1
8,61.783964,B7LXU4,Thymidine phosphorylase,Escherichia coli O8 (strain IAI1) OX=585034,3.0,MNXR150189,-,2.4.2.3;2.4.2.4,3.0,0.0,0.53824,0.763439,-1,0.650841,48.1,23.1,9.9,22.6,47180.10,4.9968,41.818,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1C(F)(F)F.O=P([O-])(O)O>>O=C1NC=C(C(F)(F)F)C(=O)N1.O=P(O)(O)OC1C[C@H](O)[C@@H](CO)O1,O=P([O-])([O-])O.O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.O=c1[nH]cc(F)c(=O)[nH]1
9,61.783964,Q8FA52,Thymidine phosphorylase,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310,3.0,MNXR150189,-,2.4.2.3;2.4.2.4,3.0,0.0,0.53824,0.763439,-1,0.650841,48.1,23.1,9.9,22.6,47180.10,4.9968,41.818,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1C(F)(F)F.O=P([O-])(O)O>>O=C1NC=C(C(F)(F)F)C(=O)N1.O=P(O)(O)OC1C[C@H](O)[C@@H](CO)O1,O=P([O-])([O-])O.O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.O=c1[nH]cc(F)c(=O)[nH]1
10,61.783964,A8A8B1,Thymidine phosphorylase,Escherichia coli O9:H4 (strain HS) OX=331112,3.0,MNXR150189,-,2.4.2.3;2.4.2.4,3.0,0.0,0.53824,0.763439,-1,0.650841,47.9,23.1,10.4,22.4,47166.07,4.9934,41.818,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1C(F)(F)F.O=P([O-])(O)O>>O=C1NC=C(C(F)(F)F)C(=O)N1.O=P(O)(O)OC1C[C@H](O)[C@@H](CO)O1,O=P([O-])([O-])O.O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F>>O=P([O-])([O-])O[C@@H]1C[C@H](O)[C@@H](CO)O1.O=c1[nH]cc(F)c(=O)[nH]1
