,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,89.434848,P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Escherichia coli (strain K12) OX=83333,1.0,MNXR175640,MNXR145992_0.8675062669555961_0.8519813350272143|MNXR102596_0.8642103770913422_0.8519104503978576|MNXR145988_0.875195734642375_0.8403982477366008|MNXR135940_0.8642103770913422_0.8403263860316865|MNXR188649_0.8611820046969815_0.8403263860316865|MNXR135939_0.8406668766648157_0.8398410842292402,2.7.8.5,1.0,0.0,0.92552,0.885177,1,0.905349,53.6,20.5,13.9,21.7,20700.64,9.1003,29.670,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC.Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1>>O=P([O-])([O-])OC[C@H](O)CO,O=P([O-])([O-])OC[C@H](O)CO.[H+].CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCCCC>>Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1.CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC
2,87.234848,P0ABG0,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Escherichia coli O157:H7 OX=83334,3.0,MNXR175640,MNXR145992_0.8675062669555961_0.8519813350272143|MNXR102596_0.8642103770913422_0.8519104503978576|MNXR145988_0.875195734642375_0.8403982477366008|MNXR135940_0.8642103770913422_0.8403263860316865|MNXR188649_0.8611820046969815_0.8403263860316865|MNXR135939_0.8406668766648157_0.8398410842292402,2.7.8.5,3.0,0.0,0.92552,0.885177,1,0.905349,53.6,20.5,13.9,21.7,20700.64,9.1003,29.670,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC.Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1>>O=P([O-])([O-])OC[C@H](O)CO,O=P([O-])([O-])OC[C@H](O)CO.[H+].CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCCCC>>Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1.CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC
3,87.234848,P0ABF9,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310,3.0,MNXR175640,MNXR145992_0.8675062669555961_0.8519813350272143|MNXR102596_0.8642103770913422_0.8519104503978576|MNXR145988_0.875195734642375_0.8403982477366008|MNXR135940_0.8642103770913422_0.8403263860316865|MNXR188649_0.8611820046969815_0.8403263860316865|MNXR135939_0.8406668766648157_0.8398410842292402,2.7.8.5,3.0,0.0,0.92552,0.885177,1,0.905349,53.6,20.5,13.9,21.7,20700.64,9.1003,29.670,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC.Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1>>O=P([O-])([O-])OC[C@H](O)CO,O=P([O-])([O-])OC[C@H](O)CO.[H+].CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCCCC>>Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1.CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC
4,87.234848,Q1RAM8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Escherichia coli (strain UTI89 / UPEC) OX=364106,3.0,MNXR175640,MNXR145992_0.8675062669555961_0.8519813350272143|MNXR102596_0.8642103770913422_0.8519104503978576|MNXR145988_0.875195734642375_0.8403982477366008|MNXR135940_0.8642103770913422_0.8403263860316865|MNXR188649_0.8611820046969815_0.8403263860316865|MNXR135939_0.8406668766648157_0.8398410842292402,2.7.8.5,3.0,0.0,0.92552,0.885177,1,0.905349,53.6,20.5,13.9,21.7,20700.64,9.1003,29.670,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC.Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1>>O=P([O-])([O-])OC[C@H](O)CO,O=P([O-])([O-])OC[C@H](O)CO.[H+].CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCCCC>>Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1.CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC
5,87.234848,Q0TGS6,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Escherichia coli O6:K15:H31 (strain 536 / UPEC) OX=362663,3.0,MNXR175640,MNXR145992_0.8675062669555961_0.8519813350272143|MNXR102596_0.8642103770913422_0.8519104503978576|MNXR145988_0.875195734642375_0.8403982477366008|MNXR135940_0.8642103770913422_0.8403263860316865|MNXR188649_0.8611820046969815_0.8403263860316865|MNXR135939_0.8406668766648157_0.8398410842292402,2.7.8.5,3.0,0.0,0.92552,0.885177,1,0.905349,53.6,20.5,13.9,21.7,20700.64,9.1003,29.670,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC.Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1>>O=P([O-])([O-])OC[C@H](O)CO,O=P([O-])([O-])OC[C@H](O)CO.[H+].CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCCCC>>Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1.CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC
6,87.234848,A1AC64,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Escherichia coli O1:K1 / APEC OX=405955,3.0,MNXR175640,MNXR145992_0.8675062669555961_0.8519813350272143|MNXR102596_0.8642103770913422_0.8519104503978576|MNXR145988_0.875195734642375_0.8403982477366008|MNXR135940_0.8642103770913422_0.8403263860316865|MNXR188649_0.8611820046969815_0.8403263860316865|MNXR135939_0.8406668766648157_0.8398410842292402,2.7.8.5,3.0,0.0,0.92552,0.885177,1,0.905349,53.6,20.5,13.9,21.7,20700.64,9.1003,29.670,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC.Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1>>O=P([O-])([O-])OC[C@H](O)CO,O=P([O-])([O-])OC[C@H](O)CO.[H+].CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCCCC>>Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1.CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC
7,84.234848,Q83R47,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Shigella flexneri OX=623,6.0,MNXR175640,MNXR145992_0.8675062669555961_0.8519813350272143|MNXR102596_0.8642103770913422_0.8519104503978576|MNXR145988_0.875195734642375_0.8403982477366008|MNXR135940_0.8642103770913422_0.8403263860316865|MNXR188649_0.8611820046969815_0.8403263860316865|MNXR135939_0.8406668766648157_0.8398410842292402,2.7.8.5,3.0,0.0,0.92552,0.885177,1,0.905349,52.4,21.7,14.5,21.1,20728.69,9.1003,29.670,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC.Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1>>O=P([O-])([O-])OC[C@H](O)CO,O=P([O-])([O-])OC[C@H](O)CO.[H+].CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCCCC>>Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1.CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC
8,83.234848,Q32HD9,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Shigella dysenteriae serotype 1 (strain Sd197) OX=300267,7.0,MNXR175640,MNXR145992_0.8675062669555961_0.8519813350272143|MNXR102596_0.8642103770913422_0.8519104503978576|MNXR145988_0.875195734642375_0.8403982477366008|MNXR135940_0.8642103770913422_0.8403263860316865|MNXR188649_0.8611820046969815_0.8403263860316865|MNXR135939_0.8406668766648157_0.8398410842292402,2.7.8.5,3.0,0.0,0.92552,0.885177,1,0.905349,53.6,20.5,13.9,21.7,20700.64,9.1003,29.670,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC.Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1>>O=P([O-])([O-])OC[C@H](O)CO,O=P([O-])([O-])OC[C@H](O)CO.[H+].CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCCCC>>Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1.CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC
9,83.234848,Q322L9,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Shigella boydii serotype 4 (strain Sb227) OX=300268,7.0,MNXR175640,MNXR145992_0.8675062669555961_0.8519813350272143|MNXR102596_0.8642103770913422_0.8519104503978576|MNXR145988_0.875195734642375_0.8403982477366008|MNXR135940_0.8642103770913422_0.8403263860316865|MNXR188649_0.8611820046969815_0.8403263860316865|MNXR135939_0.8406668766648157_0.8398410842292402,2.7.8.5,3.0,0.0,0.92552,0.885177,1,0.905349,52.4,21.7,14.5,21.1,20728.69,9.1003,29.670,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC.Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1>>O=P([O-])([O-])OC[C@H](O)CO,O=P([O-])([O-])OC[C@H](O)CO.[H+].CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCCCC>>Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1.CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC
10,83.234848,Q3Z2T6,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,Shigella sonnei (strain Ss046) OX=300269,7.0,MNXR175640,MNXR145992_0.8675062669555961_0.8519813350272143|MNXR102596_0.8642103770913422_0.8519104503978576|MNXR145988_0.875195734642375_0.8403982477366008|MNXR135940_0.8642103770913422_0.8403263860316865|MNXR188649_0.8611820046969815_0.8403263860316865|MNXR135939_0.8406668766648157_0.8398410842292402,2.7.8.5,3.0,0.0,0.92552,0.885177,1,0.905349,53.6,20.5,13.9,21.7,20700.64,9.1003,29.670,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC.Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1>>O=P([O-])([O-])OC[C@H](O)CO,O=P([O-])([O-])OC[C@H](O)CO.[H+].CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCCCC>>Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1.CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC
