,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,64.997060,P0ACC1,Release factor glutamine methyltransferase,Escherichia coli (strain K12) OX=83333,1,MNXR119058,-,2.1.1.297;2.1.1.298,1.0,0.0,0.52925,0.792691,-1,0.660971,37.9,18.8,20.3,29.1,30975.00,4.6011,44.404,*N[C@@H](CC1=CNC(CC[C@@H](C(=O)[O-])[N+](C)(C)C)=N1)C(*)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+].[H+].[H+]>>*N[C@@H](CC1=CN=C(CC[C@H]([NH3+])C(=O)[O-])N1)C(*)=O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O,CNC(=O)CC[C@H](N[*])C([*])=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O>>C[S@@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[*]N[C@@H](CCC(N)=O)C([*])=O
2,64.997060,P39199,50S ribosomal protein L3 glutamine methyltransferase,Escherichia coli (strain K12) OX=83333,1,MNXR119058,-,2.1.1.297;2.1.1.298,1.0,0.0,0.52925,0.792691,-1,0.660971,37.8,29.3,16.7,21.8,35001.73,4.3678,42.903,*N[C@@H](CC1=CNC(CC[C@@H](C(=O)[O-])[N+](C)(C)C)=N1)C(*)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+].[H+].[H+]>>*N[C@@H](CC1=CN=C(CC[C@H]([NH3+])C(=O)[O-])N1)C(*)=O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O,CNC(=O)CC[C@H](N[*])C([*])=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O>>C[S@@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[*]N[C@@H](CCC(N)=O)C([*])=O
3,63.434060,O29866,Diphthine synthase,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16) OX=224325,17,MNXR118618,MNXR186147_0.5954948758902537_0.7926912086839024|MNXR176005_0.574294434599056_0.7926912086839024|MNXR113662_0.5731681515264815_0.7926912086839024|MNXR150284_0.5713866642928799_0.7926912086839024|MNXR150285_0.5713866642928799_0.7926912086839024|MNXR151438_0.5640580861277203_0.7926912086839024|MNXR176002_0.5611500980831788_0.7926912086839024|MNXR176006_0.5403547814716141_0.7926912086839024|MNXR150283_0.5368830078966795_0.7926912086839024|MNXR108915_0.53003660181518_0.7926912086839024,2.1.1.98,1.0,0.0,0.81799,0.792691,-1,0.805340,66.8,17.4,5.5,17.0,28008.35,6.0510,45.418,*N[C@@H](CC1=CNC(CC[C@@H](C(=O)[O-])[N+](C)(C)C)=N1)C(*)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+].[H+].[H+]>>*N[C@@H](CC1=CN=C(CC[C@H]([NH3+])C(=O)[O-])N1)C(*)=O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O,C[N+](C)(C)[C@@H](CCc1nc(C[C@H](N[*])C([*])=O)c[nH]1)C(=O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O>>C[S@@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[*]N[C@@H](Cc1cnc(CC[C@H]([NH3+])C(=O)[O-])[nH]1)C([*])=O
4,63.434060,O58456,Diphthine synthase,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3) OX=70601,17,MNXR118618,MNXR186147_0.5954948758902537_0.7926912086839024|MNXR176005_0.574294434599056_0.7926912086839024|MNXR113662_0.5731681515264815_0.7926912086839024|MNXR150284_0.5713866642928799_0.7926912086839024|MNXR150285_0.5713866642928799_0.7926912086839024|MNXR151438_0.5640580861277203_0.7926912086839024|MNXR176002_0.5611500980831788_0.7926912086839024|MNXR176006_0.5403547814716141_0.7926912086839024|MNXR150283_0.5368830078966795_0.7926912086839024|MNXR108915_0.53003660181518_0.7926912086839024,2.1.1.98,1.0,0.0,0.81799,0.792691,-1,0.805340,48.2,32.9,10.4,14.9,29576.40,5.9822,39.623,*N[C@@H](CC1=CNC(CC[C@@H](C(=O)[O-])[N+](C)(C)C)=N1)C(*)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+].[H+].[H+]>>*N[C@@H](CC1=CN=C(CC[C@H]([NH3+])C(=O)[O-])N1)C(*)=O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O,C[N+](C)(C)[C@@H](CCc1nc(C[C@H](N[*])C([*])=O)c[nH]1)C(=O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O>>C[S@@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[*]N[C@@H](Cc1cnc(CC[C@H]([NH3+])C(=O)[O-])[nH]1)C([*])=O
5,63.234060,B6YXP9,Diphthine synthase,Thermococcus onnurineus (strain NA1) OX=523850,17,MNXR118618,MNXR186147_0.5954948758902537_0.7926912086839024|MNXR176005_0.574294434599056_0.7926912086839024|MNXR113662_0.5731681515264815_0.7926912086839024|MNXR150284_0.5713866642928799_0.7926912086839024|MNXR150285_0.5713866642928799_0.7926912086839024|MNXR151438_0.5640580861277203_0.7926912086839024|MNXR176002_0.5611500980831788_0.7926912086839024|MNXR176006_0.5403547814716141_0.7926912086839024|MNXR150283_0.5368830078966795_0.7926912086839024|MNXR108915_0.53003660181518_0.7926912086839024,2.1.1.98,3.0,0.0,0.81799,0.792691,-1,0.805340,54.4,23.0,11.3,17.7,29663.31,5.4336,42.803,*N[C@@H](CC1=CNC(CC[C@@H](C(=O)[O-])[N+](C)(C)C)=N1)C(*)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+].[H+].[H+]>>*N[C@@H](CC1=CN=C(CC[C@H]([NH3+])C(=O)[O-])N1)C(*)=O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O,C[N+](C)(C)[C@@H](CCc1nc(C[C@H](N[*])C([*])=O)c[nH]1)C(=O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O>>C[S@@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[*]N[C@@H](Cc1cnc(CC[C@H]([NH3+])C(=O)[O-])[nH]1)C([*])=O
6,63.234060,Q8U377,Diphthine synthase,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1) OX=186497,17,MNXR118618,MNXR186147_0.5954948758902537_0.7926912086839024|MNXR176005_0.574294434599056_0.7926912086839024|MNXR113662_0.5731681515264815_0.7926912086839024|MNXR150284_0.5713866642928799_0.7926912086839024|MNXR150285_0.5713866642928799_0.7926912086839024|MNXR151438_0.5640580861277203_0.7926912086839024|MNXR176002_0.5611500980831788_0.7926912086839024|MNXR176006_0.5403547814716141_0.7926912086839024|MNXR150283_0.5368830078966795_0.7926912086839024|MNXR108915_0.53003660181518_0.7926912086839024,2.1.1.98,3.0,0.0,0.81799,0.792691,-1,0.805340,64.0,21.7,7.5,13.0,30217.32,6.2695,40.892,*N[C@@H](CC1=CNC(CC[C@@H](C(=O)[O-])[N+](C)(C)C)=N1)C(*)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+].[H+].[H+]>>*N[C@@H](CC1=CN=C(CC[C@H]([NH3+])C(=O)[O-])N1)C(*)=O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O,C[N+](C)(C)[C@@H](CCc1nc(C[C@H](N[*])C([*])=O)c[nH]1)C(=O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O>>C[S@@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[*]N[C@@H](Cc1cnc(CC[C@H]([NH3+])C(=O)[O-])[nH]1)C([*])=O
7,63.234060,Q9UZ31,Diphthine synthase,Pyrococcus abyssi (strain GE5 / Orsay) OX=272844,17,MNXR118618,MNXR186147_0.5954948758902537_0.7926912086839024|MNXR176005_0.574294434599056_0.7926912086839024|MNXR113662_0.5731681515264815_0.7926912086839024|MNXR150284_0.5713866642928799_0.7926912086839024|MNXR150285_0.5713866642928799_0.7926912086839024|MNXR151438_0.5640580861277203_0.7926912086839024|MNXR176002_0.5611500980831788_0.7926912086839024|MNXR176006_0.5403547814716141_0.7926912086839024|MNXR150283_0.5368830078966795_0.7926912086839024|MNXR108915_0.53003660181518_0.7926912086839024,2.1.1.98,3.0,0.0,0.81799,0.792691,-1,0.805340,58.5,25.2,11.4,11.4,29592.53,6.8969,40.840,*N[C@@H](CC1=CNC(CC[C@@H](C(=O)[O-])[N+](C)(C)C)=N1)C(*)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+].[H+].[H+]>>*N[C@@H](CC1=CN=C(CC[C@H]([NH3+])C(=O)[O-])N1)C(*)=O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O,C[N+](C)(C)[C@@H](CCc1nc(C[C@H](N[*])C([*])=O)c[nH]1)C(=O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O>>C[S@@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[*]N[C@@H](Cc1cnc(CC[C@H]([NH3+])C(=O)[O-])[nH]1)C([*])=O
8,63.234060,Q9HJT0,Diphthine synthase,Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075,17,MNXR118618,MNXR186147_0.5954948758902537_0.7926912086839024|MNXR176005_0.574294434599056_0.7926912086839024|MNXR113662_0.5731681515264815_0.7926912086839024|MNXR150284_0.5713866642928799_0.7926912086839024|MNXR150285_0.5713866642928799_0.7926912086839024|MNXR151438_0.5640580861277203_0.7926912086839024|MNXR176002_0.5611500980831788_0.7926912086839024|MNXR176006_0.5403547814716141_0.7926912086839024|MNXR150283_0.5368830078966795_0.7926912086839024|MNXR108915_0.53003660181518_0.7926912086839024,2.1.1.98,3.0,0.0,0.81799,0.792691,-1,0.805340,46.1,30.7,14.5,15.4,28767.25,4.8007,44.747,*N[C@@H](CC1=CNC(CC[C@@H](C(=O)[O-])[N+](C)(C)C)=N1)C(*)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+].[H+].[H+]>>*N[C@@H](CC1=CN=C(CC[C@H]([NH3+])C(=O)[O-])N1)C(*)=O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O,C[N+](C)(C)[C@@H](CCc1nc(C[C@H](N[*])C([*])=O)c[nH]1)C(=O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O>>C[S@@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[*]N[C@@H](Cc1cnc(CC[C@H]([NH3+])C(=O)[O-])[nH]1)C([*])=O
9,63.234060,C5A3K4,Diphthine synthase,Thermococcus gammatolerans (strain DSM 15229 / JCM 11827 / EJ3) OX=593117,17,MNXR118618,MNXR186147_0.5954948758902537_0.7926912086839024|MNXR176005_0.574294434599056_0.7926912086839024|MNXR113662_0.5731681515264815_0.7926912086839024|MNXR150284_0.5713866642928799_0.7926912086839024|MNXR150285_0.5713866642928799_0.7926912086839024|MNXR151438_0.5640580861277203_0.7926912086839024|MNXR176002_0.5611500980831788_0.7926912086839024|MNXR176006_0.5403547814716141_0.7926912086839024|MNXR150283_0.5368830078966795_0.7926912086839024|MNXR108915_0.53003660181518_0.7926912086839024,2.1.1.98,3.0,0.0,0.81799,0.792691,-1,0.805340,56.0,22.2,10.9,17.3,29757.44,5.4510,42.424,*N[C@@H](CC1=CNC(CC[C@@H](C(=O)[O-])[N+](C)(C)C)=N1)C(*)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+].[H+].[H+]>>*N[C@@H](CC1=CN=C(CC[C@H]([NH3+])C(=O)[O-])N1)C(*)=O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O,C[N+](C)(C)[C@@H](CCc1nc(C[C@H](N[*])C([*])=O)c[nH]1)C(=O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O>>C[S@@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[*]N[C@@H](Cc1cnc(CC[C@H]([NH3+])C(=O)[O-])[nH]1)C([*])=O
10,63.234060,Q5JFE7,Diphthine synthase,Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) OX=69014,17,MNXR118618,MNXR186147_0.5954948758902537_0.7926912086839024|MNXR176005_0.574294434599056_0.7926912086839024|MNXR113662_0.5731681515264815_0.7926912086839024|MNXR150284_0.5713866642928799_0.7926912086839024|MNXR150285_0.5713866642928799_0.7926912086839024|MNXR151438_0.5640580861277203_0.7926912086839024|MNXR176002_0.5611500980831788_0.7926912086839024|MNXR176006_0.5403547814716141_0.7926912086839024|MNXR150283_0.5368830078966795_0.7926912086839024|MNXR108915_0.53003660181518_0.7926912086839024,2.1.1.98,3.0,0.0,0.81799,0.792691,-1,0.805340,54.8,23.0,13.3,15.3,29687.35,5.4571,42.803,*N[C@@H](CC1=CNC(CC[C@@H](C(=O)[O-])[N+](C)(C)C)=N1)C(*)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+].[H+].[H+]>>*N[C@@H](CC1=CN=C(CC[C@H]([NH3+])C(=O)[O-])N1)C(*)=O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O,C[N+](C)(C)[C@@H](CCc1nc(C[C@H](N[*])C([*])=O)c[nH]1)C(=O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O>>C[S@@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[*]N[C@@H](Cc1cnc(CC[C@H]([NH3+])C(=O)[O-])[nH]1)C([*])=O
11,63.234060,Q979Z8,Diphthine synthase,Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1) OX=273116,17,MNXR118618,MNXR186147_0.5954948758902537_0.7926912086839024|MNXR176005_0.574294434599056_0.7926912086839024|MNXR113662_0.5731681515264815_0.7926912086839024|MNXR150284_0.5713866642928799_0.7926912086839024|MNXR150285_0.5713866642928799_0.7926912086839024|MNXR151438_0.5640580861277203_0.7926912086839024|MNXR176002_0.5611500980831788_0.7926912086839024|MNXR176006_0.5403547814716141_0.7926912086839024|MNXR150283_0.5368830078966795_0.7926912086839024|MNXR108915_0.53003660181518_0.7926912086839024,2.1.1.98,3.0,0.0,0.81799,0.792691,-1,0.805340,44.7,30.0,18.4,15.3,22827.58,8.8047,44.660,*N[C@@H](CC1=CNC(CC[C@@H](C(=O)[O-])[N+](C)(C)C)=N1)C(*)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+].[H+].[H+]>>*N[C@@H](CC1=CN=C(CC[C@H]([NH3+])C(=O)[O-])N1)C(*)=O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O,C[N+](C)(C)[C@@H](CCc1nc(C[C@H](N[*])C([*])=O)c[nH]1)C(=O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O>>C[S@@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[*]N[C@@H](Cc1cnc(CC[C@H]([NH3+])C(=O)[O-])[nH]1)C([*])=O
12,62.434060,Q9YDI2,Diphthine synthase,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1) OX=272557,18,MNXR118618,MNXR186147_0.5954948758902537_0.7926912086839024|MNXR176005_0.574294434599056_0.7926912086839024|MNXR113662_0.5731681515264815_0.7926912086839024|MNXR150284_0.5713866642928799_0.7926912086839024|MNXR150285_0.5713866642928799_0.7926912086839024|MNXR151438_0.5640580861277203_0.7926912086839024|MNXR176002_0.5611500980831788_0.7926912086839024|MNXR176006_0.5403547814716141_0.7926912086839024|MNXR150283_0.5368830078966795_0.7926912086839024|MNXR108915_0.53003660181518_0.7926912086839024,2.1.1.98,1.0,0.0,0.81799,0.792691,-1,0.805340,42.1,33.8,11.9,18.0,31450.86,5.0666,37.415,*N[C@@H](CC1=CNC(CC[C@@H](C(=O)[O-])[N+](C)(C)C)=N1)C(*)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+].[H+].[H+]>>*N[C@@H](CC1=CN=C(CC[C@H]([NH3+])C(=O)[O-])N1)C(*)=O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O,C[N+](C)(C)[C@@H](CCc1nc(C[C@H](N[*])C([*])=O)c[nH]1)C(=O)O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O>>C[S@@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[*]N[C@@H](Cc1cnc(CC[C@H]([NH3+])C(=O)[O-])[nH]1)C([*])=O
