,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,35.684152,P05804,Beta-glucuronidase,Escherichia coli (strain K12) OX=83333,1.0,MNXR195279,MNXR119265_0.2854396059628713_0.3513756685236725,3.2.1.31,1.0,0.0,0.35658,0.379103,-1,0.367840,-,-,-,-,68447.00,5.1217,45.605,CC(C(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O>>CC(C(=O)[O-])C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
2,30.770539,P15877,Quinoprotein glucose dehydrogenase,Escherichia coli (strain K12) OX=83333,1.0,MNXR175471,-,1.1.5.2,1.0,0.0,0.19405,0.443361,-1,0.318706,-,-,-,-,86747.35,5.2944,37.688,CC(C(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O>>CC(C(=O)[O-])C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.COc1c(O)c(C)c(C/C=C(\C)C[*])c(O)c1OC>>COC1=C(OC)C(=O)C(C/C=C(\C)C[*])=C(C)C1=O.OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
3,21.167783,B3PC73,Extracellular xylan exo-alpha-(1->2)-glucuronosidase,Cellvibrio japonicus (strain Ueda107) OX=498211,11.0,MNXR118643,-,3.2.1.139,1.0,0.0,0.29398,0.351376,-1,0.322680,-,-,-,-,83021.04,7.6615,43.443,CC(C(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O>>CC(C(=O)[O-])C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](Oc2ccc([N+](=O)[O-])cc2)[C@H](O)[C@@H](O)[C@@H]1O>>O=[N+]([O-])c1ccc([O-])cc1.[H+].O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
4,20.770539,P13650,Quinoprotein glucose dehydrogenase B,Acinetobacter calcoaceticus OX=471,11.0,MNXR175471,-,1.1.5.2,1.0,0.0,0.19405,0.443361,-1,0.318706,-,-,-,-,52772.61,9.2704,47.280,CC(C(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O>>CC(C(=O)[O-])C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.COc1c(O)c(C)c(C/C=C(\C)C[*])c(O)c1OC>>COC1=C(OC)C(=O)C(C/C=C(\C)C[*])=C(C)C1=O.OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
5,19.684152,T2KN75,Beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR195279,MNXR119265_0.2854396059628713_0.3513756685236725,3.2.1.31,1.0,0.0,0.35658,0.379103,-1,0.367840,29.2,22.9,24.5,25.1,111684.03,5.7343,49.337,CC(C(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O>>CC(C(=O)[O-])C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
6,19.584152,T2KNA8,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR195279,MNXR119265_0.2854396059628713_0.3513756685236725,3.2.1.31,2.0,0.0,0.35658,0.379103,-1,0.367840,-,-,-,-,130221.87,6.6613,46.518,CC(C(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O>>CC(C(=O)[O-])C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
7,19.584152,T2KM09,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR195279,MNXR119265_0.2854396059628713_0.3513756685236725,3.2.1.31,2.0,0.0,0.35658,0.379103,-1,0.367840,-,-,-,-,117463.61,6.8255,48.066,CC(C(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O>>CC(C(=O)[O-])C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
8,19.584152,T2KPJ7,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR195279,MNXR119265_0.2854396059628713_0.3513756685236725,3.2.1.31,2.0,0.0,0.35658,0.379103,-1,0.367840,-,-,-,-,93897.06,6.6852,49.029,CC(C(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O>>CC(C(=O)[O-])C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
9,18.570539,P27175,Quinoprotein glucose dehydrogenase,Gluconobacter oxydans (strain 621H) OX=290633,13.0,MNXR175471,-,1.1.5.2,3.0,0.0,0.19405,0.443361,-1,0.318706,-,-,-,-,87335.31,5.8173,38.985,CC(C(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O>>CC(C(=O)[O-])C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.COc1c(O)c(C)c(C/C=C(\C)C[*])c(O)c1OC>>COC1=C(OC)C(=O)C(C/C=C(\C)C[*])=C(C)C1=O.OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
10,17.167783,Q09LY5,Xylan alpha-(1->2)-glucuronosidase,Geobacillus stearothermophilus OX=1422,15.0,MNXR118643,-,3.2.1.139,1.0,0.0,0.29398,0.351376,-1,0.322680,-,-,-,-,78484.46,5.6045,46.244,CC(C(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O>>CC(C(=O)[O-])C1=CC(C(=O)C2=CC=CC=C2)=CC=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](Oc2ccc([N+](=O)[O-])cc2)[C@H](O)[C@@H](O)[C@@H]1O>>O=[N+]([O-])c1ccc([O-])cc1.[H+].O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
