,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,61.498725,C4ZTQ6,2-dehydro-3-deoxyphosphooctonate aldolase,Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496,2.0,MNXR152039,-,2.5.1.55;4.1.2.16,3.0,0.0,0.62412,0.651855,-1,0.637989,45.9,28.7,14.9,16.4,30832.69,6.7882,41.197,CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)COP(=O)([O-])[O-].O=P([O-])([O-])O>>C=C(OP(=O)([O-])[O-])C(=O)[O-].CC(=O)N[C@H](C=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-].[H]O[H],O=P([O-])([O-])O.O=C([O-])[C@@]1(O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)COP(=O)([O-])[O-])O1>>C=C(OP(=O)([O-])[O-])C(=O)[O-].O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
2,61.498725,B1XAQ6,2-dehydro-3-deoxyphosphooctonate aldolase,Escherichia coli (strain K12 / DH10B) OX=316385,2.0,MNXR152039,-,2.5.1.55;4.1.2.16,3.0,0.0,0.62412,0.651855,-1,0.637989,45.9,28.7,14.9,16.4,30832.69,6.7882,41.197,CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)COP(=O)([O-])[O-].O=P([O-])([O-])O>>C=C(OP(=O)([O-])[O-])C(=O)[O-].CC(=O)N[C@H](C=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-].[H]O[H],O=P([O-])([O-])O.O=C([O-])[C@@]1(O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)COP(=O)([O-])[O-])O1>>C=C(OP(=O)([O-])[O-])C(=O)[O-].O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
3,60.498725,B1ITN8,2-dehydro-3-deoxyphosphooctonate aldolase,Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks) OX=481805,3.0,MNXR152039,-,2.5.1.55;4.1.2.16,3.0,0.0,0.62412,0.651855,-1,0.637989,45.9,28.7,14.9,16.4,30832.69,6.7882,41.197,CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)COP(=O)([O-])[O-].O=P([O-])([O-])O>>C=C(OP(=O)([O-])[O-])C(=O)[O-].CC(=O)N[C@H](C=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-].[H]O[H],O=P([O-])([O-])O.O=C([O-])[C@@]1(O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)COP(=O)([O-])[O-])O1>>C=C(OP(=O)([O-])[O-])C(=O)[O-].O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
4,60.498725,B7NUY1,2-dehydro-3-deoxyphosphooctonate aldolase,Escherichia coli O7:K1 (strain IAI39 / ExPEC) OX=585057,3.0,MNXR152039,-,2.5.1.55;4.1.2.16,3.0,0.0,0.62412,0.651855,-1,0.637989,45.9,28.7,14.9,16.4,30832.69,6.7882,41.197,CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)COP(=O)([O-])[O-].O=P([O-])([O-])O>>C=C(OP(=O)([O-])[O-])C(=O)[O-].CC(=O)N[C@H](C=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-].[H]O[H],O=P([O-])([O-])O.O=C([O-])[C@@]1(O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)COP(=O)([O-])[O-])O1>>C=C(OP(=O)([O-])[O-])C(=O)[O-].O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
5,60.498725,B1LH85,2-dehydro-3-deoxyphosphooctonate aldolase,Escherichia coli (strain SMS-3-5 / SECEC) OX=439855,3.0,MNXR152039,-,2.5.1.55;4.1.2.16,3.0,0.0,0.62412,0.651855,-1,0.637989,45.9,28.7,14.9,16.4,30832.69,6.7882,41.197,CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)COP(=O)([O-])[O-].O=P([O-])([O-])O>>C=C(OP(=O)([O-])[O-])C(=O)[O-].CC(=O)N[C@H](C=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-].[H]O[H],O=P([O-])([O-])O.O=C([O-])[C@@]1(O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)COP(=O)([O-])[O-])O1>>C=C(OP(=O)([O-])[O-])C(=O)[O-].O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
6,60.498725,Q8FHZ8,2-dehydro-3-deoxyphosphooctonate aldolase,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310,3.0,MNXR152039,-,2.5.1.55;4.1.2.16,3.0,0.0,0.62412,0.651855,-1,0.637989,44.8,29.9,14.9,16.4,30862.72,6.7882,41.549,CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)COP(=O)([O-])[O-].O=P([O-])([O-])O>>C=C(OP(=O)([O-])[O-])C(=O)[O-].CC(=O)N[C@H](C=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-].[H]O[H],O=P([O-])([O-])O.O=C([O-])[C@@]1(O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)COP(=O)([O-])[O-])O1>>C=C(OP(=O)([O-])[O-])C(=O)[O-].O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
7,60.498725,B7LXX2,2-dehydro-3-deoxyphosphooctonate aldolase,Escherichia coli O8 (strain IAI1) OX=585034,3.0,MNXR152039,-,2.5.1.55;4.1.2.16,3.0,0.0,0.62412,0.651855,-1,0.637989,45.9,28.7,14.9,16.4,30832.69,6.7882,41.197,CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)COP(=O)([O-])[O-].O=P([O-])([O-])O>>C=C(OP(=O)([O-])[O-])C(=O)[O-].CC(=O)N[C@H](C=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-].[H]O[H],O=P([O-])([O-])O.O=C([O-])[C@@]1(O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)COP(=O)([O-])[O-])O1>>C=C(OP(=O)([O-])[O-])C(=O)[O-].O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
8,60.498725,A7ZZF1,2-dehydro-3-deoxyphosphooctonate aldolase,Escherichia coli O9:H4 (strain HS) OX=331112,3.0,MNXR152039,-,2.5.1.55;4.1.2.16,3.0,0.0,0.62412,0.651855,-1,0.637989,45.9,28.7,14.9,16.4,30832.69,6.7882,41.197,CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)COP(=O)([O-])[O-].O=P([O-])([O-])O>>C=C(OP(=O)([O-])[O-])C(=O)[O-].CC(=O)N[C@H](C=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-].[H]O[H],O=P([O-])([O-])O.O=C([O-])[C@@]1(O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)COP(=O)([O-])[O-])O1>>C=C(OP(=O)([O-])[O-])C(=O)[O-].O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
9,60.498725,B7N426,2-dehydro-3-deoxyphosphooctonate aldolase,Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC) OX=585056,3.0,MNXR152039,-,2.5.1.55;4.1.2.16,3.0,0.0,0.62412,0.651855,-1,0.637989,45.9,28.7,14.9,16.4,30832.69,6.7882,41.197,CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)COP(=O)([O-])[O-].O=P([O-])([O-])O>>C=C(OP(=O)([O-])[O-])C(=O)[O-].CC(=O)N[C@H](C=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-].[H]O[H],O=P([O-])([O-])O.O=C([O-])[C@@]1(O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)COP(=O)([O-])[O-])O1>>C=C(OP(=O)([O-])[O-])C(=O)[O-].O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
10,60.498725,A1AAE2,2-dehydro-3-deoxyphosphooctonate aldolase,Escherichia coli O1:K1 / APEC OX=405955,3.0,MNXR152039,-,2.5.1.55;4.1.2.16,3.0,0.0,0.62412,0.651855,-1,0.637989,45.9,28.7,14.9,16.4,30832.69,6.7882,41.197,CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)COP(=O)([O-])[O-].O=P([O-])([O-])O>>C=C(OP(=O)([O-])[O-])C(=O)[O-].CC(=O)N[C@H](C=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-].[H]O[H],O=P([O-])([O-])O.O=C([O-])[C@@]1(O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)COP(=O)([O-])[O-])O1>>C=C(OP(=O)([O-])[O-])C(=O)[O-].O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
