,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,35.640743,P05804,Beta-glucuronidase,Escherichia coli (strain K12) OX=83333,1.0,MNXR195279,MNXR119265_0.2903768330923297_0.35088659600535993,3.2.1.31,1.0,0.0,0.35629,0.378525,-1,0.367408,29.5,26.6,22.3,24.4,68447.00,5.1217,45.605,COC1=CC=C2C(=C1)C(CC(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O>>COC1=CC=C2C(=C1)C(CC(=O)[O-])=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
2,20.280830,B3PC73,Extracellular xylan exo-alpha-(1->2)-glucuronosidase,Cellvibrio japonicus (strain Ueda107) OX=498211,11.0,MNXR118643,-,3.2.1.139,1.0,0.0,0.27673,0.350887,-1,0.313810,33.8,21.9,21.2,25.3,83021.04,7.6615,43.443,COC1=CC=C2C(=C1)C(CC(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O>>COC1=CC=C2C(=C1)C(CC(=O)[O-])=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](Oc2ccc([N+](=O)[O-])cc2)[C@H](O)[C@@H](O)[C@@H]1O>>O=[N+]([O-])c1ccc([O-])cc1.[H+].O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
3,19.840508,A5F7A4,Sialidase,Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395) OX=345073,11.0,MNXR131875,-,3.2.1.18,1.0,0.0,0.10319,0.515620,1,0.309407,19.5,30.6,19.3,32.7,85609.25,4.6884,48.528,COC1=CC=C2C(=C1)C(CC(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O>>COC1=CC=C2C(=C1)C(CC(=O)[O-])=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O>>Cc1cc(=O)oc2cc(O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)ccc12
4,19.640743,T2KN75,Beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR195279,MNXR119265_0.2903768330923297_0.35088659600535993,3.2.1.31,1.0,0.0,0.35629,0.378525,-1,0.367408,29.2,22.9,24.5,25.1,111684.03,5.7343,49.337,COC1=CC=C2C(=C1)C(CC(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O>>COC1=CC=C2C(=C1)C(CC(=O)[O-])=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
5,19.540743,T2KNA8,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR195279,MNXR119265_0.2903768330923297_0.35088659600535993,3.2.1.31,2.0,0.0,0.35629,0.378525,-1,0.367408,38.1,22.1,18.3,22.8,130221.87,6.6613,46.518,COC1=CC=C2C(=C1)C(CC(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O>>COC1=CC=C2C(=C1)C(CC(=O)[O-])=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
6,19.540743,T2KPJ7,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR195279,MNXR119265_0.2903768330923297_0.35088659600535993,3.2.1.31,2.0,0.0,0.35629,0.378525,-1,0.367408,30.2,23.9,23.9,24.0,93897.06,6.6852,49.029,COC1=CC=C2C(=C1)C(CC(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O>>COC1=CC=C2C(=C1)C(CC(=O)[O-])=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
7,19.540743,T2KM09,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR195279,MNXR119265_0.2903768330923297_0.35088659600535993,3.2.1.31,2.0,0.0,0.35629,0.378525,-1,0.367408,25.0,23.2,24.7,28.7,117463.61,6.8255,48.066,COC1=CC=C2C(=C1)C(CC(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O>>COC1=CC=C2C(=C1)C(CC(=O)[O-])=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)[O-])CC[C@]3(C)CC[C@]21C>>O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
8,16.632303,P39485,Glucose 1-dehydrogenase 4,Priestia megaterium OX=1404,15.0,MNXR115918,MNXR175473_0.18244565283133246_0.4521960619076673,1.1.1.47,1.0,0.0,0.18245,0.452196,-1,0.317321,47.8,25.3,9.0,24.5,28157.02,4.4839,41.762,COC1=CC=C2C(=C1)C(CC(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O>>COC1=CC=C2C(=C1)C(CC(=O)[O-])=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.[*]O[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](N3C=CCC(C(N)=O)=C3)[C@H](O)[C@@H]2O)O[C@H]1n1cnc2c(N)ncnc21>>OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[*]O[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H]([n+]3cccc(C(N)=O)c3)[C@H](O)[C@@H]2O)O[C@H]1n1cnc2c(N)ncnc21
9,16.632303,P40288,Glucose 1-dehydrogenase,Priestia megaterium OX=1404 PE=1 SV=1,15.0,MNXR115918,MNXR175473_0.18244565283133246_0.4521960619076673,1.1.1.47,1.0,0.0,0.18245,0.452196,-1,0.317321,53.1,21.2,9.4,22.9,28085.02,4.7128,43.295,COC1=CC=C2C(=C1)C(CC(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O>>COC1=CC=C2C(=C1)C(CC(=O)[O-])=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.[*]O[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](N3C=CCC(C(N)=O)=C3)[C@H](O)[C@@H]2O)O[C@H]1n1cnc2c(N)ncnc21>>OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[*]O[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H]([n+]3cccc(C(N)=O)c3)[C@H](O)[C@@H]2O)O[C@H]1n1cnc2c(N)ncnc21
10,16.632303,P07999,Glucose 1-dehydrogenase B,Priestia megaterium OX=1404,15.0,MNXR115918,MNXR175473_0.18244565283133246_0.4521960619076673,1.1.1.47,1.0,0.0,0.18245,0.452196,-1,0.317321,52.0,21.1,9.3,24.0,28347.30,4.6482,43.511,COC1=CC=C2C(=C1)C(CC(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O>>COC1=CC=C2C(=C1)C(CC(=O)[O-])=C(C)N2C(=O)C1=CC=C(Cl)C=C1.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.[*]O[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](N3C=CCC(C(N)=O)=C3)[C@H](O)[C@@H]2O)O[C@H]1n1cnc2c(N)ncnc21>>OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[*]O[C@@H]1[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H]([n+]3cccc(C(N)=O)c3)[C@H](O)[C@@H]2O)O[C@H]1n1cnc2c(N)ncnc21
