,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,91.176856,P0AEZ1,5;10-methylenetetrahydrofolate reductase,Escherichia coli (strain K12) OX=83333,1.0,MNXR134078,-,1.1.1;1.1.1.10;1.1.1.153;1.1.1.184;1.1.1.188;1.1.1.213;1.1.1.50;1.5.1.20;1.6.5.12;1.6.5.2;1.8.1.15;1.8.1.9,1.0,0.0,0.8463,0.999237,1,0.922766,46.4,19.3,16.8,23.2,33102.73,6.4052,45.946,CC1=CC(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]>>Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC1=CC(=O)c2ccccc2C1=O.[H+]
2,91.176856,P39315,Quinone oxidoreductase 2,Escherichia coli (strain K12) OX=83333,1.0,MNXR134078,-,1.1.1;1.1.1.10;1.1.1.153;1.1.1.184;1.1.1.188;1.1.1.213;1.1.1.50;1.5.1.20;1.6.5.12;1.6.5.2;1.8.1.15;1.8.1.9,1.0,0.0,0.8463,0.999237,1,0.922766,-,-,-,-,29733.51,5.3019,42.308,CC1=CC(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]>>Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC1=CC(=O)c2ccccc2C1=O.[H+]
3,91.176856,P0A754,Glutathione-regulated potassium-efflux system ancillary protein KefF,Escherichia coli (strain K12) OX=83333,1.0,MNXR134078,-,1.1.1;1.1.1.10;1.1.1.153;1.1.1.184;1.1.1.188;1.1.1.213;1.1.1.50;1.5.1.20;1.6.5.12;1.6.5.2;1.8.1.15;1.8.1.9,1.0,0.0,0.8463,0.999237,1,0.922766,40.0,17.5,22.5,30.0,20169.98,6.5590,40.341,CC1=CC(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]>>Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC1=CC(=O)c2ccccc2C1=O.[H+]
4,89.976856,C4ZPX2,Glutathione-regulated potassium-efflux system ancillary protein KefF,Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496,2.0,MNXR134078,-,1.1.1;1.1.1.10;1.1.1.153;1.1.1.184;1.1.1.188;1.1.1.213;1.1.1.50;1.5.1.20;1.6.5.12;1.6.5.2;1.8.1.15;1.8.1.9,3.0,0.0,0.8463,0.999237,1,0.922766,40.0,17.5,22.5,30.0,20169.98,6.5590,40.341,CC1=CC(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]>>Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC1=CC(=O)c2ccccc2C1=O.[H+]
5,89.976856,C4ZQD2,NAD(P)H dehydrogenase (quinone),Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496,2.0,MNXR134078,-,1.1.1;1.1.1.10;1.1.1.153;1.1.1.184;1.1.1.188;1.1.1.213;1.1.1.50;1.5.1.20;1.6.5.12;1.6.5.2;1.8.1.15;1.8.1.9,3.0,0.0,0.8463,0.999237,1,0.922766,-,-,-,-,20845.56,5.6752,39.899,CC1=CC(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]>>Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC1=CC(=O)c2ccccc2C1=O.[H+]
6,89.976856,C4ZUK7,Glutathione-regulated potassium-efflux system ancillary protein KefG,Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496,2.0,MNXR134078,-,1.1.1;1.1.1.10;1.1.1.153;1.1.1.184;1.1.1.188;1.1.1.213;1.1.1.50;1.5.1.20;1.6.5.12;1.6.5.2;1.8.1.15;1.8.1.9,3.0,0.0,0.8463,0.999237,1,0.922766,35.1,29.8,23.8,20.8,20957.98,8.2177,40.217,CC1=CC(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]>>Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC1=CC(=O)c2ccccc2C1=O.[H+]
7,88.976856,B1LFY0,Glutathione-regulated potassium-efflux system ancillary protein KefF,Escherichia coli (strain SMS-3-5 / SECEC) OX=439855,3.0,MNXR134078,-,1.1.1;1.1.1.10;1.1.1.153;1.1.1.184;1.1.1.188;1.1.1.213;1.1.1.50;1.5.1.20;1.6.5.12;1.6.5.2;1.8.1.15;1.8.1.9,3.0,0.0,0.8463,0.999237,1,0.922766,-,-,-,-,20169.98,6.5590,40.341,CC1=CC(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]>>Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC1=CC(=O)c2ccccc2C1=O.[H+]
8,88.976856,P0A9P5,Thioredoxin reductase,Escherichia coli O157:H7 OX=83334,3.0,MNXR134078,-,1.1.1;1.1.1.10;1.1.1.153;1.1.1.184;1.1.1.188;1.1.1.213;1.1.1.50;1.5.1.20;1.6.5.12;1.6.5.2;1.8.1.15;1.8.1.9,3.0,0.0,0.8463,0.999237,1,0.922766,-,-,-,-,34623.03,5.2034,44.860,CC1=CC(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]>>Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC1=CC(=O)c2ccccc2C1=O.[H+]
9,88.976856,B7M1Q3,Glutathione-regulated potassium-efflux system ancillary protein KefG,Escherichia coli O8 (strain IAI1) OX=585034,3.0,MNXR134078,-,1.1.1;1.1.1.10;1.1.1.153;1.1.1.184;1.1.1.188;1.1.1.213;1.1.1.50;1.5.1.20;1.6.5.12;1.6.5.2;1.8.1.15;1.8.1.9,3.0,0.0,0.8463,0.999237,1,0.922766,-,-,-,-,20957.98,8.2177,40.217,CC1=CC(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]>>Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC1=CC(=O)c2ccccc2C1=O.[H+]
10,88.976856,B1LJ00,NAD(P)H dehydrogenase (quinone),Escherichia coli (strain SMS-3-5 / SECEC) OX=439855,3.0,MNXR134078,-,1.1.1;1.1.1.10;1.1.1.153;1.1.1.184;1.1.1.188;1.1.1.213;1.1.1.50;1.5.1.20;1.6.5.12;1.6.5.2;1.8.1.15;1.8.1.9,3.0,0.0,0.8463,0.999237,1,0.922766,-,-,-,-,20845.56,5.6752,39.899,CC1=CC(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]>>Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC1=CC(=O)c2ccccc2C1=O.[H+]
11,88.976856,B7NMB9,Glutathione-regulated potassium-efflux system ancillary protein KefG,Escherichia coli O7:K1 (strain IAI39 / ExPEC) OX=585057,3.0,MNXR134078,-,1.1.1;1.1.1.10;1.1.1.153;1.1.1.184;1.1.1.188;1.1.1.213;1.1.1.50;1.5.1.20;1.6.5.12;1.6.5.2;1.8.1.15;1.8.1.9,3.0,0.0,0.8463,0.999237,1,0.922766,-,-,-,-,20957.98,8.2177,40.217,CC1=CC(=O)c2ccccc2C1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]>>Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,Cc1cc(O)c2ccccc2c1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CC1=CC(=O)c2ccccc2C1=O.[H+]
