,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,40.134500,E3W9M2,Cyanidin 3-O-glucoside 5-O-glucosyltransferase (acyl-glucose),Dianthus caryophyllus OX=3570,27.0,MNXR113655,MNXR113656_0.671956064204176_0.23671218993299795,2.4.1.299,1.0,0.0,0.84469,0.500000,1,0.672344,31.3,27.0,22.4,22.6,57479.76,5.5330,43.625,COC1=CC(/C=C/C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC(OC)=C1O.OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O>>COC1=CC(/C=C/C(=O)O)=CC(OC)=C1O.OC[C@H]1O[C@@H](OC2=CC(O)=CC3=[O+]C(C4=CC=C(O)C=C4)=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C23)[C@H](O)[C@@H](O)[C@@H]1O,COc1cc(/C=C/C(=O)[O-])cc(OC)c1O.OC[C@H]1O[C@@H](Oc2cc3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O>>COc1cc(/C=C/C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O.[O-]c1cc(O)cc2[o+]c(-c3ccc(O)cc3)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc12
2,22.590534,P77154,Kojibiose phosphorylase,Escherichia coli (strain K12) OX=83333,1.0,MNXR110947,-,2.4.1.230,1.0,0.0,0.18359,0.290221,1,0.236905,36.7,19.8,19.1,26.7,84867.45,5.6185,46.623,COC1=CC(/C=C/C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC(OC)=C1O.OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O>>COC1=CC(/C=C/C(=O)O)=CC(OC)=C1O.OC[C@H]1O[C@@H](OC2=CC(O)=CC3=[O+]C(C4=CC=C(O)C=C4)=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C23)[C@H](O)[C@@H](O)[C@@H]1O,O=P([O-])([O-])O.OC[C@H]1OC(O)[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O>>OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.O=P([O-])([O-])O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
3,15.756228,O33950,Catechol 1;2-dioxygenase 2,Acinetobacter lwoffii OX=28090,10.0,MNXR109463,-,1.13.11.1,1.0,0.0,0.09441,0.422715,-1,0.258563,26.6,28.6,23.2,27.8,30399.08,6.3145,44.727,COC1=CC(/C=C/C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC(OC)=C1O.OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O>>COC1=CC(/C=C/C(=O)O)=CC(OC)=C1O.OC[C@H]1O[C@@H](OC2=CC(O)=CC3=[O+]C(C4=CC=C(O)C=C4)=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C23)[C@H](O)[C@@H](O)[C@@H]1O,Cc1ccc(O)c(O)c1.O=O>>CC(/C=C\C(=O)O)=C/C(=O)O
4,15.756228,P81422,Catechol 1;2-dioxygenase (Fragment),Acinetobacter radioresistens OX=40216 PE=1 SV=1,10.0,MNXR109463,-,1.13.11.1,1.0,0.0,0.09441,0.422715,-1,0.258563,375.0,25.0,0.0,100.0,2278.59,4.2581,50.000,COC1=CC(/C=C/C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC(OC)=C1O.OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O>>COC1=CC(/C=C/C(=O)O)=CC(OC)=C1O.OC[C@H]1O[C@@H](OC2=CC(O)=CC3=[O+]C(C4=CC=C(O)C=C4)=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C23)[C@H](O)[C@@H](O)[C@@H]1O,Cc1ccc(O)c(O)c1.O=O>>CC(/C=C\C(=O)O)=C/C(=O)O
5,15.756228,O33948,Catechol 1;2-dioxygenase 1,Acinetobacter lwoffii OX=28090,10.0,MNXR109463,-,1.13.11.1,1.0,0.0,0.09441,0.422715,-1,0.258563,38.3,26.8,15.9,24.4,33377.58,5.6022,44.373,COC1=CC(/C=C/C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC(OC)=C1O.OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O>>COC1=CC(/C=C/C(=O)O)=CC(OC)=C1O.OC[C@H]1O[C@@H](OC2=CC(O)=CC3=[O+]C(C4=CC=C(O)C=C4)=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C23)[C@H](O)[C@@H](O)[C@@H]1O,Cc1ccc(O)c(O)c1.O=O>>CC(/C=C\C(=O)O)=C/C(=O)O
6,15.656228,Q43984,Catechol 1;2-dioxygenase,Acinetobacter guillouiae OX=106649,10.0,MNXR109463,-,1.13.11.1,2.0,0.0,0.09441,0.422715,-1,0.258563,43.9,26.3,17.0,18.3,33608.95,4.7770,44.590,COC1=CC(/C=C/C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC(OC)=C1O.OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O>>COC1=CC(/C=C/C(=O)O)=CC(OC)=C1O.OC[C@H]1O[C@@H](OC2=CC(O)=CC3=[O+]C(C4=CC=C(O)C=C4)=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C23)[C@H](O)[C@@H](O)[C@@H]1O,Cc1ccc(O)c(O)c1.O=O>>CC(/C=C\C(=O)O)=C/C(=O)O
7,15.556228,P31019,Catechol 1;2-dioxygenase,Pseudomonas sp. (strain EST1001) OX=69012,10.0,MNXR109463,-,1.13.11.1,3.0,0.0,0.09441,0.422715,-1,0.258563,30.4,29.0,17.5,28.7,33362.07,4.6572,45.364,COC1=CC(/C=C/C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC(OC)=C1O.OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O>>COC1=CC(/C=C/C(=O)O)=CC(OC)=C1O.OC[C@H]1O[C@@H](OC2=CC(O)=CC3=[O+]C(C4=CC=C(O)C=C4)=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C23)[C@H](O)[C@@H](O)[C@@H]1O,Cc1ccc(O)c(O)c1.O=O>>CC(/C=C\C(=O)O)=C/C(=O)O
8,15.476669,E3W9M3,Cyanidin 3-O-glucoside 7-O-glucosyltransferase (acyl-glucose),Delphinium grandiflorum OX=85439,25.0,MNXR113653,MNXR113654_0.3692690694645625_0.3631333785509281,2.4.1.300,1.0,0.0,0.44840,0.363133,1,0.405767,24.7,25.8,29.0,23.7,57206.32,5.3100,45.545,COC1=CC(/C=C/C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC(OC)=C1O.OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O>>COC1=CC(/C=C/C(=O)O)=CC(OC)=C1O.OC[C@H]1O[C@@H](OC2=CC(O)=CC3=[O+]C(C4=CC=C(O)C=C4)=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C23)[C@H](O)[C@@H](O)[C@@H]1O,COc1cc(C(=O)[O-])ccc1O.OC[C@H]1O[C@@H](Oc2cc(O)c3cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(-c4ccc(O)cc4)[o+]c3c2)[C@H](O)[C@@H](O)[C@@H]1O>>COc1cc(C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)ccc1O.[O-]c1cc(O)cc2[o+]c(-c3ccc(O)cc3)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc12
9,14.854584,P11452,Chloromuconate cycloisomerase,Pseudomonas putida OX=303,11.0,MNXR111698,-,5.5.1.7,3.0,0.0,0.07764,0.445452,1,0.261547,48.0,25.4,11.3,19.8,39846.64,5.2652,42.432,COC1=CC(/C=C/C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC(OC)=C1O.OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O>>COC1=CC(/C=C/C(=O)O)=CC(OC)=C1O.OC[C@H]1O[C@@H](OC2=CC(O)=CC3=[O+]C(C4=CC=C(O)C=C4)=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C23)[C@H](O)[C@@H](O)[C@@H]1O,O=C(O)/C=C\C=C(\F)C(=O)O>>[H+].O=C1C=C[C@H]([C@@H](F)C(=O)[O-])O1
10,14.756228,P07773,Catechol 1;2-dioxygenase,Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1) OX=62977,11.0,MNXR109463,-,1.13.11.1,1.0,0.0,0.09441,0.422715,-1,0.258563,29.8,31.5,19.0,25.1,34347.27,4.6005,44.695,COC1=CC(/C=C/C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=CC(OC)=C1O.OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O>>COC1=CC(/C=C/C(=O)O)=CC(OC)=C1O.OC[C@H]1O[C@@H](OC2=CC(O)=CC3=[O+]C(C4=CC=C(O)C=C4)=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C23)[C@H](O)[C@@H](O)[C@@H]1O,Cc1ccc(O)c(O)c1.O=O>>CC(/C=C\C(=O)O)=C/C(=O)O
