,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,63.784212,P05804,Beta-glucuronidase,Escherichia coli (strain K12) OX=83333,1.0,MNXR111815,MNXR173554_0.6769006591005154_0.6207842361650254,3.2.1.31,1.0,0.0,0.67690,0.620784,-1,0.648842,29.5,26.6,22.3,24.4,68447.00,5.1217,45.605,CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)C=C21)[C@@](O)(CC)C(=O)OC4.O>>CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O)C=C21)[C@@](O)(CC)C(=O)OC4.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CCc1c2c(nc3ccc(O[C@@H]4O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]4O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC>>CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
2,47.784212,T2KN75,Beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR111815,MNXR173554_0.6769006591005154_0.6207842361650254,3.2.1.31,1.0,0.0,0.67690,0.620784,-1,0.648842,29.2,22.9,24.5,25.1,111684.03,5.7343,49.337,CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)C=C21)[C@@](O)(CC)C(=O)OC4.O>>CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O)C=C21)[C@@](O)(CC)C(=O)OC4.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CCc1c2c(nc3ccc(O[C@@H]4O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]4O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC>>CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
3,47.684212,T2KPJ7,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR111815,MNXR173554_0.6769006591005154_0.6207842361650254,3.2.1.31,2.0,0.0,0.67690,0.620784,-1,0.648842,30.2,23.9,23.9,24.0,93897.06,6.6852,49.029,CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)C=C21)[C@@](O)(CC)C(=O)OC4.O>>CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O)C=C21)[C@@](O)(CC)C(=O)OC4.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CCc1c2c(nc3ccc(O[C@@H]4O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]4O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC>>CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
4,47.684212,T2KM09,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR111815,MNXR173554_0.6769006591005154_0.6207842361650254,3.2.1.31,2.0,0.0,0.67690,0.620784,-1,0.648842,25.0,23.2,24.7,28.7,117463.61,6.8255,48.066,CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)C=C21)[C@@](O)(CC)C(=O)OC4.O>>CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O)C=C21)[C@@](O)(CC)C(=O)OC4.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CCc1c2c(nc3ccc(O[C@@H]4O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]4O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC>>CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
5,47.684212,T2KNA8,Putative beta-glucuronidase,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1) OX=1347342,17.0,MNXR111815,MNXR173554_0.6769006591005154_0.6207842361650254,3.2.1.31,2.0,0.0,0.67690,0.620784,-1,0.648842,38.1,22.1,18.3,22.8,130221.87,6.6613,46.518,CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)C=C21)[C@@](O)(CC)C(=O)OC4.O>>CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O)C=C21)[C@@](O)(CC)C(=O)OC4.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CCc1c2c(nc3ccc(O[C@@H]4O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]4O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC>>CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
6,39.784212,Q7SFB0,Beta-glucuronidase,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110,25.0,MNXR111815,MNXR173554_0.6769006591005154_0.6207842361650254,3.2.1.31,1.0,0.0,0.67690,0.620784,-1,0.648842,20.6,32.0,21.4,28.9,60234.67,8.1335,42.576,CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)C=C21)[C@@](O)(CC)C(=O)OC4.O>>CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O)C=C21)[C@@](O)(CC)C(=O)OC4.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CCc1c2c(nc3ccc(O[C@@H]4O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]4O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC>>CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
7,39.784212,A2QEQ6,Beta-glucuronidase,Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513) OX=425011,25.0,MNXR111815,MNXR173554_0.6769006591005154_0.6207842361650254,3.2.1.31,1.0,0.0,0.67690,0.620784,-1,0.648842,26.7,28.4,20.0,28.0,58858.97,5.1575,44.547,CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)C=C21)[C@@](O)(CC)C(=O)OC4.O>>CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O)C=C21)[C@@](O)(CC)C(=O)OC4.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CCc1c2c(nc3ccc(O[C@@H]4O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]4O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC>>CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
8,39.459891,Q22295,Putative UDP-glucuronosyltransferase ugt-50,Caenorhabditis elegans OX=6239,26.0,MNXR111814,-,2.4.1.17,1.0,0.0,0.53428,0.776918,1,0.655599,45.0,29.0,14.0,15.2,60285.58,7.2006,46.463,CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)C=C21)[C@@](O)(CC)C(=O)OC4.O>>CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O)C=C21)[C@@](O)(CC)C(=O)OC4.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC>>CCc1c2c(nc3ccc(O[C@@H]4O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]4O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.[H+].O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
9,39.459891,Q18081,Putative UDP-glucuronosyltransferase ugt-48,Caenorhabditis elegans OX=6239,26.0,MNXR111814,-,2.4.1.17,1.0,0.0,0.53428,0.776918,1,0.655599,42.9,22.7,16.9,20.6,59627.23,8.0680,46.008,CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)C=C21)[C@@](O)(CC)C(=O)OC4.O>>CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O)C=C21)[C@@](O)(CC)C(=O)OC4.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC>>CCc1c2c(nc3ccc(O[C@@H]4O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]4O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.[H+].O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
10,39.459891,Q10941,Putative UDP-glucuronosyltransferase ugt-46,Caenorhabditis elegans OX=6239,26.0,MNXR111814,-,2.4.1.17,1.0,0.0,0.53428,0.776918,1,0.655599,42.5,22.1,18.8,19.6,60204.12,7.3064,46.704,CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)C=C21)[C@@](O)(CC)C(=O)OC4.O>>CCC1=C2CN3C(=O)C4=C(C=C3C2=NC2=CC=C(O)C=C21)[C@@](O)(CC)C(=O)OC4.O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC>>CCc1c2c(nc3ccc(O[C@@H]4O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]4O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.[H+].O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
