,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,NaN,P29946,Cobyrinate a;c-diamide synthase,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287,9.0,MNXR109854,-,6.3.5.11,1,0.0,0.61647,NaN,1,0.616472,38.1,25.7,22.1,17.6,50036.54,6.5013,37.255,NP(=O)([O-])[O-].[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]>>[H]O[H].[NH3+][C@@H](CCC(=O)NP(=O)([O-])[O-])C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-].C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\N([Co+])[C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(=O)[O-])[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@H]([C@H](CC(=O)[O-])[C@@]6(C)CCC(=O)[O-])[C@]6(C)[N+](=C1[C@@H](CCC(=O)[O-])[C@]6(C)CC(N)=O)[Co-2]753)[C@@H](CCC(=O)[O-])C4(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(N)=O.[H+]
2,NaN,A4G3R1,Cobyrinate a;c-diamide synthase,Herminiimonas arsenicoxydans OX=204773,12.0,MNXR109854,-,6.3.5.11,3,0.0,0.61647,NaN,1,0.616472,45.0,27.7,10.9,20.1,46548.70,6.0478,37.215,NP(=O)([O-])[O-].[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]>>[H]O[H].[NH3+][C@@H](CCC(=O)NP(=O)([O-])[O-])C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-].C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\N([Co+])[C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(=O)[O-])[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@H]([C@H](CC(=O)[O-])[C@@]6(C)CCC(=O)[O-])[C@]6(C)[N+](=C1[C@@H](CCC(=O)[O-])[C@]6(C)CC(N)=O)[Co-2]753)[C@@H](CCC(=O)[O-])C4(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(N)=O.[H+]
3,NaN,Q9I471,Hydrogenobyrinate a;c-diamide synthase,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964,12.0,MNXR109402,MNXR165538_0.6164723559742751_nan,6.3.5.9,3,0.0,0.61647,NaN,1,0.616472,48.7,22.7,15.3,17.2,46508.39,6.2922,35.402,NP(=O)([O-])[O-].[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]>>[H]O[H].[NH3+][C@@H](CCC(=O)NP(=O)([O-])[O-])C(=O)[O-],C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[NH2+][C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(=O)[O-])[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-]>>C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[NH2+][C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(N)=O)[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(N)=O.O=P([O-])([O-])O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
4,NaN,Q98KP1,Hydrogenobyrinate a;c-diamide synthase,Mesorhizobium japonicum (strain LMG 29417 / CECT 9101 / MAFF 303099) OX=266835,13.0,MNXR109402,MNXR165538_0.6164723559742751_nan,6.3.5.9,3,0.0,0.61647,NaN,1,0.616472,41.4,25.1,12.3,25.1,45879.31,6.3222,35.991,NP(=O)([O-])[O-].[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]>>[H]O[H].[NH3+][C@@H](CCC(=O)NP(=O)([O-])[O-])C(=O)[O-],C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[NH2+][C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(=O)[O-])[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-]>>C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[NH2+][C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(N)=O)[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(N)=O.O=P([O-])([O-])O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
5,NaN,A0L8B9,Cobyrinate a;c-diamide synthase,Magnetococcus marinus (strain ATCC BAA-1437 / JCM 17883 / MC-1) OX=156889,13.0,MNXR109854,-,6.3.5.11,3,0.0,0.61647,NaN,1,0.616472,34.4,26.2,17.7,25.3,51066.88,7.1198,37.473,NP(=O)([O-])[O-].[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]>>[H]O[H].[NH3+][C@@H](CCC(=O)NP(=O)([O-])[O-])C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-].C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\N([Co+])[C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(=O)[O-])[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@H]([C@H](CC(=O)[O-])[C@@]6(C)CCC(=O)[O-])[C@]6(C)[N+](=C1[C@@H](CCC(=O)[O-])[C@]6(C)CC(N)=O)[Co-2]753)[C@@H](CCC(=O)[O-])C4(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(N)=O.[H+]
6,NaN,O68108,Hydrogenobyrinate a;c-diamide synthase,Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003) OX=272942,13.0,MNXR109402,MNXR165538_0.6164723559742751_nan,6.3.5.9,3,0.0,0.61647,NaN,1,0.616472,40.6,23.6,15.0,24.6,45302.78,7.3053,32.874,NP(=O)([O-])[O-].[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]>>[H]O[H].[NH3+][C@@H](CCC(=O)NP(=O)([O-])[O-])C(=O)[O-],C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[NH2+][C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(=O)[O-])[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-]>>C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[NH2+][C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(N)=O)[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(N)=O.O=P([O-])([O-])O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
7,NaN,A4VJ35,Hydrogenobyrinate a;c-diamide synthase,Stutzerimonas stutzeri (strain A1501) OX=379731,13.0,MNXR109402,MNXR165538_0.6164723559742751_nan,6.3.5.9,3,0.0,0.61647,NaN,1,0.616472,46.4,22.0,15.5,20.0,46279.40,6.7434,36.047,NP(=O)([O-])[O-].[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]>>[H]O[H].[NH3+][C@@H](CCC(=O)NP(=O)([O-])[O-])C(=O)[O-],C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[NH2+][C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(=O)[O-])[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-]>>C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[NH2+][C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(N)=O)[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(N)=O.O=P([O-])([O-])O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
8,NaN,P21632,Hydrogenobyrinate a;c-diamide synthase,Sinorhizobium sp. OX=42445,14.0,MNXR109402,MNXR109854_0.6164723559742751_nan|MNXR165538_0.6164723559742751_nan,6.3.5.9,1,0.0,0.61647,NaN,1,0.616472,48.8,25.6,12.9,16.5,45705.26,6.1493,33.871,NP(=O)([O-])[O-].[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]>>[H]O[H].[NH3+][C@@H](CCC(=O)NP(=O)([O-])[O-])C(=O)[O-],C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[NH2+][C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(=O)[O-])[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-]>>C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[NH2+][C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(N)=O)[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(N)=O.O=P([O-])([O-])O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
9,NaN,Q92P48,Hydrogenobyrinate a;c-diamide synthase,Rhizobium meliloti (strain 1021) OX=266834,14.0,MNXR109402,MNXR165538_0.6164723559742751_nan,6.3.5.9,3,0.0,0.61647,NaN,1,0.616472,48.7,24.9,11.1,19.1,45086.59,6.5106,34.266,NP(=O)([O-])[O-].[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]>>[H]O[H].[NH3+][C@@H](CCC(=O)NP(=O)([O-])[O-])C(=O)[O-],C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[NH2+][C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(=O)[O-])[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-]>>C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[NH2+][C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(N)=O)[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(N)=O.O=P([O-])([O-])O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
10,NaN,Q8G020,Hydrogenobyrinate a;c-diamide synthase,Brucella suis biovar 1 (strain 1330) OX=204722,14.0,MNXR109402,MNXR165538_0.6164723559742751_nan,6.3.5.9,3,0.0,0.61647,NaN,1,0.616472,45.0,26.0,12.1,20.7,46962.11,7.0471,36.239,NP(=O)([O-])[O-].[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]>>[H]O[H].[NH3+][C@@H](CCC(=O)NP(=O)([O-])[O-])C(=O)[O-],C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[NH2+][C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(=O)[O-])[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-]>>C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[NH2+][C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(N)=O)[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(N)=O.O=P([O-])([O-])O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
11,NaN,P29932,Cobyric acid synthase,Sinorhizobium sp. OX=42445,14.0,MNXR149178,-,6.3.5.10,1,0.0,0.61647,NaN,1,0.616472,34.5,34.3,14.5,20.0,51982.32,5.7561,40.000,NP(=O)([O-])[O-].[H+].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]>>[H]O[H].[NH3+][C@@H](CCC(=O)NP(=O)([O-])[O-])C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NC(=O)CC[C@H]([NH3+])C(=O)[O-].C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\N([Co+]C[C@H]5O[C@@H](n6cnc7c(N)ncnc76)[C@H](O)[C@@H]5O)[C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(N)=O)[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(N)=O>>O=P([O-])([O-])O.CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@H]([C@H](CC(N)=O)[C@@]6(C)CCC(=O)[O-])[C@]6(C)[N+](=C1[C@@H](CCC(N)=O)[C@]6(C)CC(N)=O)[Co-2]753C[C@H]1O[C@@H](n3cnc5c(N)ncnc53)[C@H](O)[C@@H]1O)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]
