,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,76.870314,B1XHJ8,N-acetylneuraminate lyase,Escherichia coli (strain K12 / DH10B) OX=316385,2.0,MNXR111364,-,1.14.13.50;2.7.1.59;3.2.1.14;3.2.1.165;4.1.3.3;4.2.1.66;5.1.3.8,3.0,0.0,0.79411,0.789296,-1,0.791705,38.1,36.3,14.2,17.1,32593.47,5.6937,41.414,C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(C#N)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Oc1cc(Br)c(O)c(Br)c1.C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].N#Cc1cc(Br)c([O-])c(Br)c1
2,76.870314,C4ZSW3,N-acetylneuraminate lyase,Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496,2.0,MNXR111364,-,1.14.13.50;2.7.1.59;3.2.1.14;3.2.1.165;4.1.3.3;4.2.1.66;5.1.3.8,3.0,0.0,0.79411,0.789296,-1,0.791705,38.1,36.3,14.2,17.1,32593.47,5.6937,41.414,C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(C#N)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Oc1cc(Br)c(O)c(Br)c1.C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].N#Cc1cc(Br)c([O-])c(Br)c1
3,75.870314,B7MJA6,N-acetyl-D-glucosamine kinase,Escherichia coli O45:K1 (strain S88 / ExPEC) OX=585035,3.0,MNXR111364,-,1.14.13.50;2.7.1.59;3.2.1.14;3.2.1.165;4.1.3.3;4.2.1.66;5.1.3.8,3.0,0.0,0.79411,0.789296,-1,0.791705,29.6,29.6,24.4,22.0,33084.76,5.3535,36.964,C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(C#N)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Oc1cc(Br)c(O)c(Br)c1.C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].N#Cc1cc(Br)c([O-])c(Br)c1
4,75.870314,B7MTP9,N-acetyl-D-glucosamine kinase,Escherichia coli O81 (strain ED1a) OX=585397,3.0,MNXR111364,-,1.14.13.50;2.7.1.59;3.2.1.14;3.2.1.165;4.1.3.3;4.2.1.66;5.1.3.8,3.0,0.0,0.79411,0.789296,-1,0.791705,29.6,29.6,24.4,22.0,33084.76,5.3535,36.964,C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(C#N)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Oc1cc(Br)c(O)c(Br)c1.C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].N#Cc1cc(Br)c([O-])c(Br)c1
5,75.870314,B7LHT3,N-acetylneuraminate lyase,Escherichia coli (strain 55989 / EAEC) OX=585055,3.0,MNXR111364,-,1.14.13.50;2.7.1.59;3.2.1.14;3.2.1.165;4.1.3.3;4.2.1.66;5.1.3.8,3.0,0.0,0.79411,0.789296,-1,0.791705,38.1,36.3,14.2,17.1,32593.47,5.6937,41.414,C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(C#N)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Oc1cc(Br)c(O)c(Br)c1.C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].N#Cc1cc(Br)c([O-])c(Br)c1
6,75.870314,B7LG53,N-acetyl-D-glucosamine kinase,Escherichia coli (strain 55989 / EAEC) OX=585055,3.0,MNXR111364,-,1.14.13.50;2.7.1.59;3.2.1.14;3.2.1.165;4.1.3.3;4.2.1.66;5.1.3.8,3.0,0.0,0.79411,0.789296,-1,0.791705,27.9,31.0,25.1,21.6,33042.67,5.1539,36.964,C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(C#N)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Oc1cc(Br)c(O)c(Br)c1.C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].N#Cc1cc(Br)c([O-])c(Br)c1
7,75.870314,B1LI25,N-acetyl-D-glucosamine kinase,Escherichia coli (strain SMS-3-5 / SECEC) OX=439855,3.0,MNXR111364,-,1.14.13.50;2.7.1.59;3.2.1.14;3.2.1.165;4.1.3.3;4.2.1.66;5.1.3.8,3.0,0.0,0.79411,0.789296,-1,0.791705,27.9,31.0,25.1,21.6,33042.67,5.1539,36.964,C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(C#N)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Oc1cc(Br)c(O)c(Br)c1.C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].N#Cc1cc(Br)c([O-])c(Br)c1
8,75.870314,P0A6L5,N-acetylneuraminate lyase,Escherichia coli O157:H7 OX=83334,3.0,MNXR111364,-,1.14.13.50;2.7.1.59;3.2.1.14;3.2.1.165;4.1.3.3;4.2.1.66;5.1.3.8,3.0,0.0,0.79411,0.789296,-1,0.791705,38.1,36.3,14.2,17.1,32593.47,5.6937,41.414,C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(C#N)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Oc1cc(Br)c(O)c(Br)c1.C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].N#Cc1cc(Br)c([O-])c(Br)c1
9,75.870314,Q8X8E1,N-acetyl-D-glucosamine kinase,Escherichia coli O157:H7 OX=83334,3.0,MNXR111364,-,1.14.13.50;2.7.1.59;3.2.1.14;3.2.1.165;4.1.3.3;4.2.1.66;5.1.3.8,3.0,0.0,0.79411,0.789296,-1,0.791705,28.2,30.7,25.1,21.6,33011.66,5.1539,36.634,C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(C#N)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Oc1cc(Br)c(O)c(Br)c1.C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].N#Cc1cc(Br)c([O-])c(Br)c1
10,75.870314,Q8FD58,N-acetylneuraminate lyase 1,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310,3.0,MNXR111364,-,1.14.13.50;2.7.1.59;3.2.1.14;3.2.1.165;4.1.3.3;4.2.1.66;5.1.3.8,3.0,0.0,0.79411,0.789296,-1,0.791705,38.1,36.3,14.2,17.1,32594.45,5.3936,41.414,C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(C#N)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,Oc1cc(Br)c(O)c(Br)c1.C#N.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O.[H+].N#Cc1cc(Br)c([O-])c(Br)c1
